2025-07-04 01:15:27,769 INFO 📍 Starting GeoNames lookup for city='wolfsberg', country='germany'
2025-07-04 01:15:27,819 INFO 📄 Index 0 | Name: Politischer Bezirk Wolfsberg | fcl: A, fcode: ADM2 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: , ADM4:  | Score: 44.98, Population: 53236 | Fuzzy match: 48.64864864864865
2025-07-04 01:15:27,819 INFO 📄 Index 1 | Name: Bad Sankt Leonhard im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: Bad St. Leonhard im Lavanttal, ADM4:  | Score: 34.85, Population: 1940 | Fuzzy match: 15.000000000000002
2025-07-04 01:15:27,819 INFO 📄 Index 2 | Name: Sankt Paul im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Paul im Lavanttal, ADM4:  | Score: 31.66, Population: 1735 | Fuzzy match: 12.5
2025-07-04 01:15:27,819 INFO 📄 Index 3 | Name: Sankt Andrä | fcl: P, fcode: PPLA3 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Andrä, ADM4:  | Score: 30.50, Population: 1271 | Fuzzy match: 9.999999999999998
2025-07-04 01:15:27,867 INFO 📄 Index 0 | Name: Politischer Bezirk Wolfsberg | fcl: A, fcode: ADM2 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: , ADM4:  | Score: 44.98, Population: 53236 | Fuzzy match: 48.64864864864865
2025-07-04 01:15:27,867 INFO 📄 Index 1 | Name: Bad Sankt Leonhard im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: Bad St. Leonhard im Lavanttal, ADM4:  | Score: 34.85, Population: 1940 | Fuzzy match: 15.000000000000002
2025-07-04 01:15:27,867 INFO 📄 Index 2 | Name: Sankt Paul im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Paul im Lavanttal, ADM4:  | Score: 31.66, Population: 1735 | Fuzzy match: 12.5
2025-07-04 01:15:27,867 INFO 📄 Index 3 | Name: Sankt Andrä | fcl: P, fcode: PPLA3 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Andrä, ADM4:  | Score: 30.50, Population: 1271 | Fuzzy match: 9.999999999999998
2025-07-04 01:15:27,915 INFO 📄 Index 0 | Name: Politischer Bezirk Wolfsberg | fcl: A, fcode: ADM2 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: , ADM4:  | Score: 44.98, Population: 53236 | Fuzzy match: 48.64864864864865
2025-07-04 01:15:27,916 INFO 📄 Index 1 | Name: Bad Sankt Leonhard im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: Bad St. Leonhard im Lavanttal, ADM4:  | Score: 34.85, Population: 1940 | Fuzzy match: 15.000000000000002
2025-07-04 01:15:27,916 INFO 📄 Index 2 | Name: Sankt Paul im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Paul im Lavanttal, ADM4:  | Score: 31.66, Population: 1735 | Fuzzy match: 12.5
2025-07-04 01:15:27,916 INFO 📄 Index 3 | Name: Sankt Andrä | fcl: P, fcode: PPLA3 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Andrä, ADM4:  | Score: 30.50, Population: 1271 | Fuzzy match: 9.999999999999998
2025-07-04 01:15:27,963 INFO 📄 Index 0 | Name: Politischer Bezirk Wolfsberg | fcl: A, fcode: ADM2 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: , ADM4:  | Score: 44.98, Population: 53236 | Fuzzy match: 48.64864864864865
2025-07-04 01:15:27,963 INFO 📄 Index 1 | Name: Bad Sankt Leonhard im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: Bad St. Leonhard im Lavanttal, ADM4:  | Score: 34.85, Population: 1940 | Fuzzy match: 15.000000000000002
2025-07-04 01:15:27,963 INFO 📄 Index 2 | Name: Sankt Paul im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Paul im Lavanttal, ADM4:  | Score: 31.66, Population: 1735 | Fuzzy match: 12.5
2025-07-04 01:15:27,963 INFO 📄 Index 3 | Name: Sankt Andrä | fcl: P, fcode: PPLA3 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Andrä, ADM4:  | Score: 30.50, Population: 1271 | Fuzzy match: 9.999999999999998
2025-07-04 01:15:28,010 INFO 📄 Index 0 | Name: Politischer Bezirk Wolfsberg | fcl: A, fcode: ADM2 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: , ADM4:  | Score: 44.98, Population: 53236 | Fuzzy match: 48.64864864864865
2025-07-04 01:15:28,010 INFO 📄 Index 1 | Name: Bad Sankt Leonhard im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: Bad St. Leonhard im Lavanttal, ADM4:  | Score: 34.85, Population: 1940 | Fuzzy match: 15.000000000000002
2025-07-04 01:15:28,010 INFO 📄 Index 2 | Name: Sankt Paul im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Paul im Lavanttal, ADM4:  | Score: 31.66, Population: 1735 | Fuzzy match: 12.5
2025-07-04 01:15:28,010 INFO 📄 Index 3 | Name: Sankt Andrä | fcl: P, fcode: PPLA3 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Andrä, ADM4:  | Score: 30.50, Population: 1271 | Fuzzy match: 9.999999999999998
2025-07-04 01:15:28,068 INFO 📄 Index 0 | Name: Politischer Bezirk Wolfsberg | fcl: A, fcode: ADM2 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: , ADM4:  | Score: 44.98, Population: 53236 | Fuzzy match: 48.64864864864865
2025-07-04 01:15:28,069 INFO 📄 Index 1 | Name: Bad Sankt Leonhard im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: Bad St. Leonhard im Lavanttal, ADM4:  | Score: 34.85, Population: 1940 | Fuzzy match: 15.000000000000002
2025-07-04 01:15:28,069 INFO 📄 Index 2 | Name: Sankt Paul im Lavanttal | fcl: P, fcode: PPL | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Paul im Lavanttal, ADM4:  | Score: 31.66, Population: 1735 | Fuzzy match: 12.5
2025-07-04 01:15:28,069 INFO 📄 Index 3 | Name: Sankt Andrä | fcl: P, fcode: PPLA3 | ADM1: Carinthia, ADM2: Wolfsberg, ADM3: St. Andrä, ADM4:  | Score: 30.50, Population: 1271 | Fuzzy match: 9.999999999999998
2025-07-04 01:15:28,069 WARNING ❌ No match found with fuzzy score > 80 for city: wolfsberg
2025-07-04 01:15:28,069 WARNING ❌ Lookup failed for city='wolfsberg', iso2='AT'
