2025-07-03 16:40:22,066 INFO 📍 Starting GeoNames lookup for city='foret', country='united states'
2025-07-03 16:40:22,150 INFO 📄 Index 0 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Liège Province, ADM3: Arrondissement of Liège, ADM4: Trooz | Score: 33.36, Population: 5240 | Fuzzy match: 80.0
2025-07-03 16:40:22,150 INFO 📄 Index 1 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Namur Province, ADM3: Arrondissement de Namur, ADM4: Arrondissement of Namur | Score: 16.12, Population: 0 | Fuzzy match: 80.0
2025-07-03 16:40:22,150 INFO 📄 Index 2 | Name: Les Caves de la Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Luxembourg Province, ADM3: Arrondissement of Bastogne, ADM4: Fauvillers | Score: 15.71, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-03 16:40:22,193 INFO 📄 Index 0 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Liège Province, ADM3: Arrondissement of Liège, ADM4: Trooz | Score: 33.36, Population: 5240 | Fuzzy match: 80.0
2025-07-03 16:40:22,193 INFO 📄 Index 1 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Namur Province, ADM3: Arrondissement de Namur, ADM4: Arrondissement of Namur | Score: 16.12, Population: 0 | Fuzzy match: 80.0
2025-07-03 16:40:22,193 INFO 📄 Index 2 | Name: Les Caves de la Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Luxembourg Province, ADM3: Arrondissement of Bastogne, ADM4: Fauvillers | Score: 15.71, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-03 16:40:22,237 INFO 📄 Index 0 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Liège Province, ADM3: Arrondissement of Liège, ADM4: Trooz | Score: 33.36, Population: 5240 | Fuzzy match: 80.0
2025-07-03 16:40:22,237 INFO 📄 Index 1 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Namur Province, ADM3: Arrondissement de Namur, ADM4: Arrondissement of Namur | Score: 16.12, Population: 0 | Fuzzy match: 80.0
2025-07-03 16:40:22,237 INFO 📄 Index 2 | Name: Les Caves de la Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Luxembourg Province, ADM3: Arrondissement of Bastogne, ADM4: Fauvillers | Score: 15.71, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-03 16:40:22,282 INFO 📄 Index 0 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Liège Province, ADM3: Arrondissement of Liège, ADM4: Trooz | Score: 33.36, Population: 5240 | Fuzzy match: 80.0
2025-07-03 16:40:22,282 INFO 📄 Index 1 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Namur Province, ADM3: Arrondissement de Namur, ADM4: Arrondissement of Namur | Score: 16.12, Population: 0 | Fuzzy match: 80.0
2025-07-03 16:40:22,282 INFO 📄 Index 2 | Name: Les Caves de la Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Luxembourg Province, ADM3: Arrondissement of Bastogne, ADM4: Fauvillers | Score: 15.71, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-03 16:40:22,329 INFO 📄 Index 0 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Liège Province, ADM3: Arrondissement of Liège, ADM4: Trooz | Score: 33.36, Population: 5240 | Fuzzy match: 80.0
2025-07-03 16:40:22,329 INFO 📄 Index 1 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Namur Province, ADM3: Arrondissement de Namur, ADM4: Arrondissement of Namur | Score: 16.12, Population: 0 | Fuzzy match: 80.0
2025-07-03 16:40:22,329 INFO 📄 Index 2 | Name: Les Caves de la Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Luxembourg Province, ADM3: Arrondissement of Bastogne, ADM4: Fauvillers | Score: 15.71, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-03 16:40:22,374 INFO 📄 Index 0 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Liège Province, ADM3: Arrondissement of Liège, ADM4: Trooz | Score: 33.36, Population: 5240 | Fuzzy match: 80.0
2025-07-03 16:40:22,374 INFO 📄 Index 1 | Name: Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Namur Province, ADM3: Arrondissement de Namur, ADM4: Arrondissement of Namur | Score: 16.12, Population: 0 | Fuzzy match: 80.0
2025-07-03 16:40:22,374 INFO 📄 Index 2 | Name: Les Caves de la Forêt | fcl: P, fcode: PPL | ADM1: Wallonia, ADM2: Luxembourg Province, ADM3: Arrondissement of Bastogne, ADM4: Fauvillers | Score: 15.71, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-03 16:40:22,374 WARNING ❌ No match found with fuzzy score > 80 for city: foret
2025-07-03 16:40:22,374 WARNING ❌ Lookup failed for city='foret', iso2='BE'
