2025-07-03 16:42:49,010 INFO 📍 Starting GeoNames lookup for city='guangdong', country='australia'
2025-07-03 16:42:49,213 INFO 📄 Index 0 | Name: Guangzhou | fcl: P, fcode: PPLA | ADM1: Guangdong, ADM2: Guangzhou Shi, ADM3: , ADM4:  | Score: 81.08, Population: 16096724 | Fuzzy match: 66.66666666666667
2025-07-03 16:42:49,214 INFO 📄 Index 1 | Name: Shenzhen | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Shenzhen, ADM3: , ADM4:  | Score: 77.73, Population: 17494398 | Fuzzy match: 23.529411764705888
2025-07-03 16:42:49,214 INFO 📄 Index 2 | Name: Dongguan | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Dongguan Shi, ADM3: , ADM4:  | Score: 67.50, Population: 9644871 | Fuzzy match: 47.05882352941176
2025-07-03 16:42:49,214 INFO 📄 Index 3 | Name: Foshan | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Foshan Shi, ADM3: , ADM4:  | Score: 54.02, Population: 9042509 | Fuzzy match: 26.66666666666667
2025-07-03 16:42:49,263 INFO 📄 Index 0 | Name: Guangzhou | fcl: P, fcode: PPLA | ADM1: Guangdong, ADM2: Guangzhou Shi, ADM3: , ADM4:  | Score: 81.08, Population: 16096724 | Fuzzy match: 66.66666666666667
2025-07-03 16:42:49,264 INFO 📄 Index 1 | Name: Shenzhen | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Shenzhen, ADM3: , ADM4:  | Score: 77.73, Population: 17494398 | Fuzzy match: 23.529411764705888
2025-07-03 16:42:49,264 INFO 📄 Index 2 | Name: Dongguan | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Dongguan Shi, ADM3: , ADM4:  | Score: 67.50, Population: 9644871 | Fuzzy match: 47.05882352941176
2025-07-03 16:42:49,264 INFO 📄 Index 3 | Name: Foshan | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Foshan Shi, ADM3: , ADM4:  | Score: 54.02, Population: 9042509 | Fuzzy match: 26.66666666666667
2025-07-03 16:42:49,318 INFO 📄 Index 0 | Name: Guangzhou | fcl: P, fcode: PPLA | ADM1: Guangdong, ADM2: Guangzhou Shi, ADM3: , ADM4:  | Score: 81.08, Population: 16096724 | Fuzzy match: 66.66666666666667
2025-07-03 16:42:49,318 INFO 📄 Index 1 | Name: Shenzhen | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Shenzhen, ADM3: , ADM4:  | Score: 77.73, Population: 17494398 | Fuzzy match: 23.529411764705888
2025-07-03 16:42:49,318 INFO 📄 Index 2 | Name: Dongguan | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Dongguan Shi, ADM3: , ADM4:  | Score: 67.50, Population: 9644871 | Fuzzy match: 47.05882352941176
2025-07-03 16:42:49,318 INFO 📄 Index 3 | Name: Foshan | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Foshan Shi, ADM3: , ADM4:  | Score: 54.02, Population: 9042509 | Fuzzy match: 26.66666666666667
2025-07-03 16:42:49,391 INFO 📄 Index 0 | Name: Guangzhou | fcl: P, fcode: PPLA | ADM1: Guangdong, ADM2: Guangzhou Shi, ADM3: , ADM4:  | Score: 81.08, Population: 16096724 | Fuzzy match: 66.66666666666667
2025-07-03 16:42:49,392 INFO 📄 Index 1 | Name: Shenzhen | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Shenzhen, ADM3: , ADM4:  | Score: 77.73, Population: 17494398 | Fuzzy match: 23.529411764705888
2025-07-03 16:42:49,392 INFO 📄 Index 2 | Name: Dongguan | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Dongguan Shi, ADM3: , ADM4:  | Score: 67.50, Population: 9644871 | Fuzzy match: 47.05882352941176
2025-07-03 16:42:49,392 INFO 📄 Index 3 | Name: Foshan | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Foshan Shi, ADM3: , ADM4:  | Score: 54.02, Population: 9042509 | Fuzzy match: 26.66666666666667
2025-07-03 16:42:49,459 INFO 📄 Index 0 | Name: Guangzhou | fcl: P, fcode: PPLA | ADM1: Guangdong, ADM2: Guangzhou Shi, ADM3: , ADM4:  | Score: 81.08, Population: 16096724 | Fuzzy match: 66.66666666666667
2025-07-03 16:42:49,460 INFO 📄 Index 1 | Name: Shenzhen | fcl: P, fcode: PPLA2 | ADM1: Guangdong, ADM2: Shenzhen, ADM3: , ADM4:  | Score: 77.73, Population: 17494398 | Fuzzy match: 23.529411764705888
