2025-07-03 12:21:37,623 INFO 📍 Starting GeoNames lookup for city='jiangsu huai’an', country='usa'
2025-07-03 12:21:37,671 INFO 📄 Index 0 | Name: Huai'an | fcl: P, fcode: PPL | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 48.96, Population: 2494013 | Fuzzy match: 54.54545454545454
2025-07-03 12:21:37,671 INFO 📄 Index 1 | Name: Huai’an Shi | fcl: A, fcode: ADM2 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 33.89, Population: 4556230 | Fuzzy match: 69.23076923076923
2025-07-03 12:21:37,671 INFO 📄 Index 2 | Name: Gaogou | fcl: P, fcode: PPLA4 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 27.48, Population: 56214 | Fuzzy match: 28.57142857142857
2025-07-03 12:21:37,671 INFO 📄 Index 3 | Name: Jinhu Xian | fcl: A, fcode: ADM3 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: Jinhu Xian, ADM4:  | Score: 22.36, Population: 321000 | Fuzzy match: 48.0
2025-07-03 12:21:37,716 INFO 📄 Index 0 | Name: Huai'an | fcl: P, fcode: PPL | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 48.96, Population: 2494013 | Fuzzy match: 54.54545454545454
2025-07-03 12:21:37,716 INFO 📄 Index 1 | Name: Huai’an Shi | fcl: A, fcode: ADM2 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 33.89, Population: 4556230 | Fuzzy match: 69.23076923076923
2025-07-03 12:21:37,716 INFO 📄 Index 2 | Name: Gaogou | fcl: P, fcode: PPLA4 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 27.48, Population: 56214 | Fuzzy match: 28.57142857142857
2025-07-03 12:21:37,716 INFO 📄 Index 3 | Name: Jinhu Xian | fcl: A, fcode: ADM3 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: Jinhu Xian, ADM4:  | Score: 22.36, Population: 321000 | Fuzzy match: 48.0
2025-07-03 12:21:37,766 INFO 📄 Index 0 | Name: Huai'an | fcl: P, fcode: PPL | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 48.96, Population: 2494013 | Fuzzy match: 54.54545454545454
2025-07-03 12:21:37,766 INFO 📄 Index 1 | Name: Huai’an Shi | fcl: A, fcode: ADM2 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 33.89, Population: 4556230 | Fuzzy match: 69.23076923076923
2025-07-03 12:21:37,766 INFO 📄 Index 2 | Name: Gaogou | fcl: P, fcode: PPLA4 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 27.48, Population: 56214 | Fuzzy match: 28.57142857142857
2025-07-03 12:21:37,766 INFO 📄 Index 3 | Name: Jinhu Xian | fcl: A, fcode: ADM3 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: Jinhu Xian, ADM4:  | Score: 22.36, Population: 321000 | Fuzzy match: 48.0
2025-07-03 12:21:37,815 INFO 📄 Index 0 | Name: Huai'an | fcl: P, fcode: PPL | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 48.96, Population: 2494013 | Fuzzy match: 54.54545454545454
2025-07-03 12:21:37,815 INFO 📄 Index 1 | Name: Huai’an Shi | fcl: A, fcode: ADM2 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 33.89, Population: 4556230 | Fuzzy match: 69.23076923076923
2025-07-03 12:21:37,815 INFO 📄 Index 2 | Name: Gaogou | fcl: P, fcode: PPLA4 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 27.48, Population: 56214 | Fuzzy match: 28.57142857142857
2025-07-03 12:21:37,815 INFO 📄 Index 3 | Name: Jinhu Xian | fcl: A, fcode: ADM3 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: Jinhu Xian, ADM4:  | Score: 22.36, Population: 321000 | Fuzzy match: 48.0
2025-07-03 12:21:37,861 INFO 📄 Index 0 | Name: Huai'an | fcl: P, fcode: PPL | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 48.96, Population: 2494013 | Fuzzy match: 54.54545454545454
2025-07-03 12:21:37,861 INFO 📄 Index 1 | Name: Huai’an Shi | fcl: A, fcode: ADM2 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 33.89, Population: 4556230 | Fuzzy match: 69.23076923076923
2025-07-03 12:21:37,861 INFO 📄 Index 2 | Name: Gaogou | fcl: P, fcode: PPLA4 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 27.48, Population: 56214 | Fuzzy match: 28.57142857142857
2025-07-03 12:21:37,861 INFO 📄 Index 3 | Name: Jinhu Xian | fcl: A, fcode: ADM3 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: Jinhu Xian, ADM4:  | Score: 22.36, Population: 321000 | Fuzzy match: 48.0
2025-07-03 12:21:37,905 INFO 📄 Index 0 | Name: Huai'an | fcl: P, fcode: PPL | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 48.96, Population: 2494013 | Fuzzy match: 54.54545454545454
2025-07-03 12:21:37,905 INFO 📄 Index 1 | Name: Huai’an Shi | fcl: A, fcode: ADM2 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 33.89, Population: 4556230 | Fuzzy match: 69.23076923076923
2025-07-03 12:21:37,905 INFO 📄 Index 2 | Name: Gaogou | fcl: P, fcode: PPLA4 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: , ADM4:  | Score: 27.48, Population: 56214 | Fuzzy match: 28.57142857142857
2025-07-03 12:21:37,905 INFO 📄 Index 3 | Name: Jinhu Xian | fcl: A, fcode: ADM3 | ADM1: Jiangsu, ADM2: Huai’an Shi, ADM3: Jinhu Xian, ADM4:  | Score: 22.36, Population: 321000 | Fuzzy match: 48.0
2025-07-03 12:21:37,905 WARNING ❌ No match found with fuzzy score > 80 for city: jiangsu huai’an
2025-07-03 12:21:37,905 WARNING ❌ Lookup failed for city='jiangsu huai’an', iso2='CN'
