2025-07-03 16:40:51,322 INFO 📍 Starting GeoNames lookup for city='peking', country='germany'
2025-07-03 16:40:51,453 INFO 📄 Index 0 | Name: Beijing | fcl: P, fcode: PPLC | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 141.93, Population: 18960744 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,453 INFO 📄 Index 1 | Name: Beijing | fcl: A, fcode: ADM1 | ADM1: Beijing, ADM2: , ADM3: , ADM4:  | Score: 47.57, Population: 14933274 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,454 INFO 📄 Index 2 | Name: Beijing | fcl: A, fcode: ADM2 | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 33.85, Population: 0 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,454 INFO 📄 Index 3 | Name: Tongzhou | fcl: P, fcode: PPL | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 30.40, Population: 163326 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:51,499 INFO 📄 Index 0 | Name: Beijing | fcl: P, fcode: PPLC | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 141.93, Population: 18960744 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,500 INFO 📄 Index 1 | Name: Beijing | fcl: A, fcode: ADM1 | ADM1: Beijing, ADM2: , ADM3: , ADM4:  | Score: 47.57, Population: 14933274 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,500 INFO 📄 Index 2 | Name: Beijing | fcl: A, fcode: ADM2 | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 33.85, Population: 0 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,500 INFO 📄 Index 3 | Name: Tongzhou | fcl: P, fcode: PPL | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 30.40, Population: 163326 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:51,542 INFO 📄 Index 0 | Name: Beijing | fcl: P, fcode: PPLC | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 141.93, Population: 18960744 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,542 INFO 📄 Index 1 | Name: Beijing | fcl: A, fcode: ADM1 | ADM1: Beijing, ADM2: , ADM3: , ADM4:  | Score: 47.57, Population: 14933274 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,542 INFO 📄 Index 2 | Name: Beijing | fcl: A, fcode: ADM2 | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 33.85, Population: 0 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,542 INFO 📄 Index 3 | Name: Tongzhou | fcl: P, fcode: PPL | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 30.40, Population: 163326 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:51,585 INFO 📄 Index 0 | Name: Beijing | fcl: P, fcode: PPLC | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 141.93, Population: 18960744 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,585 INFO 📄 Index 1 | Name: Beijing | fcl: A, fcode: ADM1 | ADM1: Beijing, ADM2: , ADM3: , ADM4:  | Score: 47.57, Population: 14933274 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,585 INFO 📄 Index 2 | Name: Beijing | fcl: A, fcode: ADM2 | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 33.85, Population: 0 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,586 INFO 📄 Index 3 | Name: Tongzhou | fcl: P, fcode: PPL | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 30.40, Population: 163326 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:51,630 INFO 📄 Index 0 | Name: Beijing | fcl: P, fcode: PPLC | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 141.93, Population: 18960744 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,630 INFO 📄 Index 1 | Name: Beijing | fcl: A, fcode: ADM1 | ADM1: Beijing, ADM2: , ADM3: , ADM4:  | Score: 47.57, Population: 14933274 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,630 INFO 📄 Index 2 | Name: Beijing | fcl: A, fcode: ADM2 | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 33.85, Population: 0 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,630 INFO 📄 Index 3 | Name: Tongzhou | fcl: P, fcode: PPL | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 30.40, Population: 163326 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:51,676 INFO 📄 Index 0 | Name: Beijing | fcl: P, fcode: PPLC | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 141.93, Population: 18960744 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,677 INFO 📄 Index 1 | Name: Beijing | fcl: A, fcode: ADM1 | ADM1: Beijing, ADM2: , ADM3: , ADM4:  | Score: 47.57, Population: 14933274 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,677 INFO 📄 Index 2 | Name: Beijing | fcl: A, fcode: ADM2 | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 33.85, Population: 0 | Fuzzy match: 61.53846153846154
2025-07-03 16:40:51,677 INFO 📄 Index 3 | Name: Tongzhou | fcl: P, fcode: PPL | ADM1: Beijing, ADM2: Beijing, ADM3: , ADM4:  | Score: 30.40, Population: 163326 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:51,677 WARNING ❌ No match found with fuzzy score > 80 for city: peking
2025-07-03 16:40:51,677 WARNING ❌ Lookup failed for city='peking', iso2='CN'
