2025-07-03 13:51:09,537 INFO 📍 Starting GeoNames lookup for city='jablonec', country='united states'
2025-07-03 13:51:09,599 INFO 📄 Index 0 | Name: Jablonec nad Nisou | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Jablonec nad Nisou, ADM4:  | Score: 71.97, Population: 44878 | Fuzzy match: 61.53846153846154
2025-07-03 13:51:09,599 INFO 📄 Index 1 | Name: Jablonec nad Nisou District | fcl: A, fcode: ADM2 | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: , ADM4:  | Score: 58.15, Population: 90528 | Fuzzy match: 45.714285714285715
2025-07-03 13:51:09,599 INFO 📄 Index 2 | Name: Malá Skála | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Malá Skála, ADM4:  | Score: 44.81, Population: 1067 | Fuzzy match: 22.22222222222222
2025-07-03 13:51:09,599 INFO 📄 Index 3 | Name: Lučany nad Nisou | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Lučany nad Nisou, ADM4:  | Score: 44.81, Population: 1636 | Fuzzy match: 16.666666666666664
2025-07-03 13:51:09,641 INFO 📄 Index 0 | Name: Jablonec nad Nisou | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Jablonec nad Nisou, ADM4:  | Score: 71.97, Population: 44878 | Fuzzy match: 61.53846153846154
2025-07-03 13:51:09,641 INFO 📄 Index 1 | Name: Jablonec nad Nisou District | fcl: A, fcode: ADM2 | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: , ADM4:  | Score: 58.15, Population: 90528 | Fuzzy match: 45.714285714285715
2025-07-03 13:51:09,641 INFO 📄 Index 2 | Name: Malá Skála | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Malá Skála, ADM4:  | Score: 44.81, Population: 1067 | Fuzzy match: 22.22222222222222
2025-07-03 13:51:09,641 INFO 📄 Index 3 | Name: Lučany nad Nisou | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Lučany nad Nisou, ADM4:  | Score: 44.81, Population: 1636 | Fuzzy match: 16.666666666666664
2025-07-03 13:51:09,680 INFO 📄 Index 0 | Name: Jablonec nad Nisou | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Jablonec nad Nisou, ADM4:  | Score: 71.97, Population: 44878 | Fuzzy match: 61.53846153846154
2025-07-03 13:51:09,680 INFO 📄 Index 1 | Name: Jablonec nad Nisou District | fcl: A, fcode: ADM2 | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: , ADM4:  | Score: 58.15, Population: 90528 | Fuzzy match: 45.714285714285715
2025-07-03 13:51:09,680 INFO 📄 Index 2 | Name: Malá Skála | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Malá Skála, ADM4:  | Score: 44.81, Population: 1067 | Fuzzy match: 22.22222222222222
2025-07-03 13:51:09,680 INFO 📄 Index 3 | Name: Lučany nad Nisou | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Lučany nad Nisou, ADM4:  | Score: 44.81, Population: 1636 | Fuzzy match: 16.666666666666664
2025-07-03 13:51:09,721 INFO 📄 Index 0 | Name: Jablonec nad Nisou | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Jablonec nad Nisou, ADM4:  | Score: 71.97, Population: 44878 | Fuzzy match: 61.53846153846154
2025-07-03 13:51:09,721 INFO 📄 Index 1 | Name: Jablonec nad Nisou District | fcl: A, fcode: ADM2 | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: , ADM4:  | Score: 58.15, Population: 90528 | Fuzzy match: 45.714285714285715
2025-07-03 13:51:09,721 INFO 📄 Index 2 | Name: Malá Skála | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Malá Skála, ADM4:  | Score: 44.81, Population: 1067 | Fuzzy match: 22.22222222222222
2025-07-03 13:51:09,721 INFO 📄 Index 3 | Name: Lučany nad Nisou | fcl: P, fcode: PPL | ADM1: Liberecký kraj, ADM2: Jablonec nad Nisou District, ADM3: Lučany nad Nisou, ADM4:  | Score: 44.81, Population: 1636 | Fuzzy match: 16.666666666666664
