2025-07-03 13:50:35,451 INFO 📍 Starting GeoNames lookup for city='kolin', country='usa'
2025-07-03 13:50:35,530 INFO 📄 Index 0 | Name: Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Kolín, ADM4:  | Score: 68.71, Population: 29690 | Fuzzy match: 80.0
2025-07-03 13:50:35,531 INFO 📄 Index 1 | Name: Okres Kolín | fcl: A, fcode: ADM2 | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: , ADM4:  | Score: 46.01, Population: 101604 | Fuzzy match: 50.0
2025-07-03 13:50:35,531 INFO 📄 Index 2 | Name: Starý Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Starý Kolín, ADM4:  | Score: 36.11, Population: 1561 | Fuzzy match: 50.0
2025-07-03 13:50:35,531 INFO 📄 Index 3 | Name: Cerhenice | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Cerhenice, ADM4:  | Score: 33.54, Population: 1491 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:35,577 INFO 📄 Index 0 | Name: Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Kolín, ADM4:  | Score: 68.71, Population: 29690 | Fuzzy match: 80.0
2025-07-03 13:50:35,577 INFO 📄 Index 1 | Name: Okres Kolín | fcl: A, fcode: ADM2 | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: , ADM4:  | Score: 46.01, Population: 101604 | Fuzzy match: 50.0
2025-07-03 13:50:35,577 INFO 📄 Index 2 | Name: Starý Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Starý Kolín, ADM4:  | Score: 36.11, Population: 1561 | Fuzzy match: 50.0
2025-07-03 13:50:35,577 INFO 📄 Index 3 | Name: Cerhenice | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Cerhenice, ADM4:  | Score: 33.54, Population: 1491 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:35,623 INFO 📄 Index 0 | Name: Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Kolín, ADM4:  | Score: 68.71, Population: 29690 | Fuzzy match: 80.0
2025-07-03 13:50:35,623 INFO 📄 Index 1 | Name: Okres Kolín | fcl: A, fcode: ADM2 | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: , ADM4:  | Score: 46.01, Population: 101604 | Fuzzy match: 50.0
2025-07-03 13:50:35,623 INFO 📄 Index 2 | Name: Starý Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Starý Kolín, ADM4:  | Score: 36.11, Population: 1561 | Fuzzy match: 50.0
2025-07-03 13:50:35,623 INFO 📄 Index 3 | Name: Cerhenice | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Cerhenice, ADM4:  | Score: 33.54, Population: 1491 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:35,666 INFO 📄 Index 0 | Name: Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Kolín, ADM4:  | Score: 68.71, Population: 29690 | Fuzzy match: 80.0
2025-07-03 13:50:35,666 INFO 📄 Index 1 | Name: Okres Kolín | fcl: A, fcode: ADM2 | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: , ADM4:  | Score: 46.01, Population: 101604 | Fuzzy match: 50.0
2025-07-03 13:50:35,666 INFO 📄 Index 2 | Name: Starý Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Starý Kolín, ADM4:  | Score: 36.11, Population: 1561 | Fuzzy match: 50.0
2025-07-03 13:50:35,666 INFO 📄 Index 3 | Name: Cerhenice | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Cerhenice, ADM4:  | Score: 33.54, Population: 1491 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:35,709 INFO 📄 Index 0 | Name: Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Kolín, ADM4:  | Score: 68.71, Population: 29690 | Fuzzy match: 80.0
2025-07-03 13:50:35,709 INFO 📄 Index 1 | Name: Okres Kolín | fcl: A, fcode: ADM2 | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: , ADM4:  | Score: 46.01, Population: 101604 | Fuzzy match: 50.0
2025-07-03 13:50:35,709 INFO 📄 Index 2 | Name: Starý Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Starý Kolín, ADM4:  | Score: 36.11, Population: 1561 | Fuzzy match: 50.0
2025-07-03 13:50:35,710 INFO 📄 Index 3 | Name: Cerhenice | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Cerhenice, ADM4:  | Score: 33.54, Population: 1491 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:35,753 INFO 📄 Index 0 | Name: Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Kolín, ADM4:  | Score: 68.71, Population: 29690 | Fuzzy match: 80.0
2025-07-03 13:50:35,753 INFO 📄 Index 1 | Name: Okres Kolín | fcl: A, fcode: ADM2 | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: , ADM4:  | Score: 46.01, Population: 101604 | Fuzzy match: 50.0
2025-07-03 13:50:35,753 INFO 📄 Index 2 | Name: Starý Kolín | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Starý Kolín, ADM4:  | Score: 36.11, Population: 1561 | Fuzzy match: 50.0
2025-07-03 13:50:35,753 INFO 📄 Index 3 | Name: Cerhenice | fcl: P, fcode: PPL | ADM1: Central Bohemia, ADM2: Okres Kolín, ADM3: Cerhenice, ADM4:  | Score: 33.54, Population: 1491 | Fuzzy match: 14.28571428571429
2025-07-03 13:50:35,753 WARNING ❌ No match found with fuzzy score > 80 for city: kolin
2025-07-03 13:50:35,753 WARNING ❌ Lookup failed for city='kolin', iso2='CZ'
