2025-07-03 13:50:36,878 INFO 📍 Starting GeoNames lookup for city='alzenau', country='usa'
2025-07-03 13:50:36,941 INFO 📄 Index 0 | Name: Alzenau in Unterfranken | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 32.04, Population: 18932 | Fuzzy match: 46.666666666666664
2025-07-03 13:50:36,942 INFO 📄 Index 1 | Name: Alzenau i.UFr. | fcl: A, fcode: ADM4 | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 18.22, Population: 18542 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:36,942 INFO 📄 Index 2 | Name: Maisenhausen | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 52.63157894736843
2025-07-03 13:50:36,942 INFO 📄 Index 3 | Name: Albstadt | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 40.0
2025-07-03 13:50:36,985 INFO 📄 Index 0 | Name: Alzenau in Unterfranken | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 32.04, Population: 18932 | Fuzzy match: 46.666666666666664
2025-07-03 13:50:36,985 INFO 📄 Index 1 | Name: Alzenau i.UFr. | fcl: A, fcode: ADM4 | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 18.22, Population: 18542 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:36,985 INFO 📄 Index 2 | Name: Maisenhausen | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 52.63157894736843
2025-07-03 13:50:36,985 INFO 📄 Index 3 | Name: Albstadt | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 40.0
2025-07-03 13:50:37,031 INFO 📄 Index 0 | Name: Alzenau in Unterfranken | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 32.04, Population: 18932 | Fuzzy match: 46.666666666666664
2025-07-03 13:50:37,031 INFO 📄 Index 1 | Name: Alzenau i.UFr. | fcl: A, fcode: ADM4 | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 18.22, Population: 18542 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:37,031 INFO 📄 Index 2 | Name: Maisenhausen | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 52.63157894736843
2025-07-03 13:50:37,031 INFO 📄 Index 3 | Name: Albstadt | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 40.0
2025-07-03 13:50:37,072 INFO 📄 Index 0 | Name: Alzenau in Unterfranken | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 32.04, Population: 18932 | Fuzzy match: 46.666666666666664
2025-07-03 13:50:37,072 INFO 📄 Index 1 | Name: Alzenau i.UFr. | fcl: A, fcode: ADM4 | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 18.22, Population: 18542 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:37,072 INFO 📄 Index 2 | Name: Maisenhausen | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 52.63157894736843
2025-07-03 13:50:37,072 INFO 📄 Index 3 | Name: Albstadt | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 40.0
2025-07-03 13:50:37,115 INFO 📄 Index 0 | Name: Alzenau in Unterfranken | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 32.04, Population: 18932 | Fuzzy match: 46.666666666666664
2025-07-03 13:50:37,115 INFO 📄 Index 1 | Name: Alzenau i.UFr. | fcl: A, fcode: ADM4 | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 18.22, Population: 18542 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:37,115 INFO 📄 Index 2 | Name: Maisenhausen | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 52.63157894736843
2025-07-03 13:50:37,115 INFO 📄 Index 3 | Name: Albstadt | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 9.56, Population: 0 | Fuzzy match: 40.0
2025-07-03 13:50:37,159 INFO 📄 Index 0 | Name: Alzenau in Unterfranken | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Aschaffenburg, ADM4: Alzenau i.UFr. | Score: 32.04, Population: 18932 | Fuzzy match: 46.666666666666664
