2025-07-03 12:21:44,521 INFO 📍 Starting GeoNames lookup for city='bitburg-prüm', country='usa'
2025-07-03 12:21:44,571 INFO 📄 Index 0 | Name: Prüm | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Prüm | Score: 44.75, Population: 5471 | Fuzzy match: 50.0
2025-07-03 12:21:44,571 INFO 📄 Index 1 | Name: Bitburg | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Bitburg | Score: 32.65, Population: 12908 | Fuzzy match: 73.6842105263158
2025-07-03 12:21:44,571 INFO 📄 Index 2 | Name: Kyllburg | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Kyllburg | Score: 27.22, Population: 1054 | Fuzzy match: 40.0
2025-07-03 12:21:44,571 INFO 📄 Index 3 | Name: Eifelkreis Bitburg-Prüm | fcl: A, fcode: ADM3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4:  | Score: 24.52, Population: 100959 | Fuzzy match: 68.57142857142857
2025-07-03 12:21:44,621 INFO 📄 Index 0 | Name: Prüm | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Prüm | Score: 44.75, Population: 5471 | Fuzzy match: 50.0
2025-07-03 12:21:44,621 INFO 📄 Index 1 | Name: Bitburg | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Bitburg | Score: 32.65, Population: 12908 | Fuzzy match: 73.6842105263158
2025-07-03 12:21:44,621 INFO 📄 Index 2 | Name: Kyllburg | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Kyllburg | Score: 27.22, Population: 1054 | Fuzzy match: 40.0
2025-07-03 12:21:44,621 INFO 📄 Index 3 | Name: Eifelkreis Bitburg-Prüm | fcl: A, fcode: ADM3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4:  | Score: 24.52, Population: 100959 | Fuzzy match: 68.57142857142857
2025-07-03 12:21:44,670 INFO 📄 Index 0 | Name: Prüm | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Prüm | Score: 44.75, Population: 5471 | Fuzzy match: 50.0
2025-07-03 12:21:44,671 INFO 📄 Index 1 | Name: Bitburg | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Bitburg | Score: 32.65, Population: 12908 | Fuzzy match: 73.6842105263158
2025-07-03 12:21:44,671 INFO 📄 Index 2 | Name: Kyllburg | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Kyllburg | Score: 27.22, Population: 1054 | Fuzzy match: 40.0
2025-07-03 12:21:44,671 INFO 📄 Index 3 | Name: Eifelkreis Bitburg-Prüm | fcl: A, fcode: ADM3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4:  | Score: 24.52, Population: 100959 | Fuzzy match: 68.57142857142857
2025-07-03 12:21:44,721 INFO 📄 Index 0 | Name: Prüm | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Prüm | Score: 44.75, Population: 5471 | Fuzzy match: 50.0
2025-07-03 12:21:44,721 INFO 📄 Index 1 | Name: Bitburg | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Bitburg | Score: 32.65, Population: 12908 | Fuzzy match: 73.6842105263158
2025-07-03 12:21:44,721 INFO 📄 Index 2 | Name: Kyllburg | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Kyllburg | Score: 27.22, Population: 1054 | Fuzzy match: 40.0
2025-07-03 12:21:44,721 INFO 📄 Index 3 | Name: Eifelkreis Bitburg-Prüm | fcl: A, fcode: ADM3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4:  | Score: 24.52, Population: 100959 | Fuzzy match: 68.57142857142857
2025-07-03 12:21:44,769 INFO 📄 Index 0 | Name: Prüm | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Eifelkreis Bitburg-Prüm, ADM4: Prüm | Score: 44.75, Population: 5471 | Fuzzy match: 50.0
