2025-07-03 16:39:02,425 INFO 📍 Starting GeoNames lookup for city='bitterfeld', country='germany'
2025-07-03 16:39:03,961 INFO 📄 Index 0 | Name: Bitterfeld-Wolfen | fcl: P, fcode: PPL | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Bitterfeld-Wolfen | Score: 48.25, Population: 15608 | Fuzzy match: 74.07407407407408
2025-07-03 16:39:03,961 INFO 📄 Index 1 | Name: Köthen | fcl: P, fcode: PPLA3 | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Köthen (Anhalt) | Score: 44.59, Population: 28710 | Fuzzy match: 25.0
2025-07-03 16:39:03,961 INFO 📄 Index 2 | Name: Zerbst | fcl: P, fcode: PPL | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Zerbst | Score: 40.34, Population: 15680 | Fuzzy match: 25.0
2025-07-03 16:39:03,961 INFO 📄 Index 3 | Name: Wolfen | fcl: P, fcode: PPL | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Bitterfeld-Wolfen | Score: 33.11, Population: 25251 | Fuzzy match: 25.0
2025-07-03 16:39:04,677 INFO 📄 Index 0 | Name: Bitterfeld-Wolfen | fcl: P, fcode: PPL | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Bitterfeld-Wolfen | Score: 48.25, Population: 15608 | Fuzzy match: 74.07407407407408
2025-07-03 16:39:04,677 INFO 📄 Index 1 | Name: Köthen | fcl: P, fcode: PPLA3 | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Köthen (Anhalt) | Score: 44.59, Population: 28710 | Fuzzy match: 25.0
2025-07-03 16:39:04,677 INFO 📄 Index 2 | Name: Zerbst | fcl: P, fcode: PPL | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Zerbst | Score: 40.34, Population: 15680 | Fuzzy match: 25.0
2025-07-03 16:39:04,677 INFO 📄 Index 3 | Name: Wolfen | fcl: P, fcode: PPL | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Bitterfeld-Wolfen | Score: 33.11, Population: 25251 | Fuzzy match: 25.0
2025-07-03 16:39:04,848 INFO 📄 Index 0 | Name: Bitterfeld-Wolfen | fcl: P, fcode: PPL | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Bitterfeld-Wolfen | Score: 48.25, Population: 15608 | Fuzzy match: 74.07407407407408
2025-07-03 16:39:04,848 INFO 📄 Index 1 | Name: Köthen | fcl: P, fcode: PPLA3 | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Köthen (Anhalt) | Score: 44.59, Population: 28710 | Fuzzy match: 25.0
2025-07-03 16:39:04,848 INFO 📄 Index 2 | Name: Zerbst | fcl: P, fcode: PPL | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Zerbst | Score: 40.34, Population: 15680 | Fuzzy match: 25.0
2025-07-03 16:39:04,848 INFO 📄 Index 3 | Name: Wolfen | fcl: P, fcode: PPL | ADM1: Saxony-Anhalt, ADM2: , ADM3: Anhalt-Bitterfeld, ADM4: Bitterfeld-Wolfen | Score: 33.11, Population: 25251 | Fuzzy match: 25.0
