2025-07-03 13:48:51,909 INFO 📍 Starting GeoNames lookup for city='braunschweig', country='france'
2025-07-03 13:48:51,971 INFO 📄 Index 0 | Name: Brunswick | fcl: P, fcode: PPLA3 | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 67.07, Population: 244715 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:51,971 INFO 📄 Index 1 | Name: Regierungsbezirk Braunschweig | fcl: A, fcode: ADM2H | ADM1: Lower Saxony, ADM2: , ADM3: , ADM4:  | Score: 29.97, Population: 0 | Fuzzy match: 58.53658536585367
2025-07-03 13:48:51,971 INFO 📄 Index 2 | Name: Bevenrode | fcl: P, fcode: PPL | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 25.17, Population: 1613 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:51,972 INFO 📄 Index 3 | Name: Broitzem | fcl: P, fcode: PPL | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 21.65, Population: 5853 | Fuzzy match: 30.000000000000004
2025-07-03 13:48:52,015 INFO 📄 Index 0 | Name: Brunswick | fcl: P, fcode: PPLA3 | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 67.07, Population: 244715 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:52,015 INFO 📄 Index 1 | Name: Regierungsbezirk Braunschweig | fcl: A, fcode: ADM2H | ADM1: Lower Saxony, ADM2: , ADM3: , ADM4:  | Score: 29.97, Population: 0 | Fuzzy match: 58.53658536585367
2025-07-03 13:48:52,015 INFO 📄 Index 2 | Name: Bevenrode | fcl: P, fcode: PPL | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 25.17, Population: 1613 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:52,015 INFO 📄 Index 3 | Name: Broitzem | fcl: P, fcode: PPL | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 21.65, Population: 5853 | Fuzzy match: 30.000000000000004
2025-07-03 13:48:52,058 INFO 📄 Index 0 | Name: Brunswick | fcl: P, fcode: PPLA3 | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 67.07, Population: 244715 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:52,058 INFO 📄 Index 1 | Name: Regierungsbezirk Braunschweig | fcl: A, fcode: ADM2H | ADM1: Lower Saxony, ADM2: , ADM3: , ADM4:  | Score: 29.97, Population: 0 | Fuzzy match: 58.53658536585367
2025-07-03 13:48:52,058 INFO 📄 Index 2 | Name: Bevenrode | fcl: P, fcode: PPL | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 25.17, Population: 1613 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:52,058 INFO 📄 Index 3 | Name: Broitzem | fcl: P, fcode: PPL | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 21.65, Population: 5853 | Fuzzy match: 30.000000000000004
2025-07-03 13:48:52,101 INFO 📄 Index 0 | Name: Brunswick | fcl: P, fcode: PPLA3 | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 67.07, Population: 244715 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:52,101 INFO 📄 Index 1 | Name: Regierungsbezirk Braunschweig | fcl: A, fcode: ADM2H | ADM1: Lower Saxony, ADM2: , ADM3: , ADM4:  | Score: 29.97, Population: 0 | Fuzzy match: 58.53658536585367
2025-07-03 13:48:52,101 INFO 📄 Index 2 | Name: Bevenrode | fcl: P, fcode: PPL | ADM1: Lower Saxony, ADM2: , ADM3: Kreisfreie Stadt Braunschweig, ADM4: Braunschweig | Score: 25.17, Population: 1613 | Fuzzy match: 28.57142857142857
