2025-07-03 13:50:37,646 INFO 📍 Starting GeoNames lookup for city='esslingen', country='usa'
2025-07-03 13:50:37,710 INFO 📄 Index 0 | Name: Esslingen am Neckar | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Esslingen am Neckar | Score: 55.85, Population: 92390 | Fuzzy match: 64.28571428571428
2025-07-03 13:50:37,710 INFO 📄 Index 1 | Name: Nürtingen | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Nürtingen | Score: 40.46, Population: 40210 | Fuzzy match: 55.55555555555556
2025-07-03 13:50:37,710 INFO 📄 Index 2 | Name: Kirchheim unter Teck | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Kirchheim unter Teck | Score: 29.81, Population: 40206 | Fuzzy match: 27.586206896551722
2025-07-03 13:50:37,710 INFO 📄 Index 3 | Name: Leinfelden-Echterdingen | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Leinfelden-Echterdingen | Score: 28.74, Population: 36672 | Fuzzy match: 43.75
2025-07-03 13:50:37,755 INFO 📄 Index 0 | Name: Esslingen am Neckar | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Esslingen am Neckar | Score: 55.85, Population: 92390 | Fuzzy match: 64.28571428571428
2025-07-03 13:50:37,755 INFO 📄 Index 1 | Name: Nürtingen | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Nürtingen | Score: 40.46, Population: 40210 | Fuzzy match: 55.55555555555556
2025-07-03 13:50:37,756 INFO 📄 Index 2 | Name: Kirchheim unter Teck | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Kirchheim unter Teck | Score: 29.81, Population: 40206 | Fuzzy match: 27.586206896551722
2025-07-03 13:50:37,756 INFO 📄 Index 3 | Name: Leinfelden-Echterdingen | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Leinfelden-Echterdingen | Score: 28.74, Population: 36672 | Fuzzy match: 43.75
2025-07-03 13:50:37,799 INFO 📄 Index 0 | Name: Esslingen am Neckar | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Esslingen am Neckar | Score: 55.85, Population: 92390 | Fuzzy match: 64.28571428571428
2025-07-03 13:50:37,799 INFO 📄 Index 1 | Name: Nürtingen | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Nürtingen | Score: 40.46, Population: 40210 | Fuzzy match: 55.55555555555556
2025-07-03 13:50:37,799 INFO 📄 Index 2 | Name: Kirchheim unter Teck | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Kirchheim unter Teck | Score: 29.81, Population: 40206 | Fuzzy match: 27.586206896551722
2025-07-03 13:50:37,799 INFO 📄 Index 3 | Name: Leinfelden-Echterdingen | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Leinfelden-Echterdingen | Score: 28.74, Population: 36672 | Fuzzy match: 43.75
2025-07-03 13:50:37,843 INFO 📄 Index 0 | Name: Esslingen am Neckar | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Esslingen am Neckar | Score: 55.85, Population: 92390 | Fuzzy match: 64.28571428571428
2025-07-03 13:50:37,843 INFO 📄 Index 1 | Name: Nürtingen | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Landkreis Esslingen, ADM4: Nürtingen | Score: 40.46, Population: 40210 | Fuzzy match: 55.55555555555556
