2025-07-04 01:15:35,034 INFO 📍 Starting GeoNames lookup for city='freiburg', country='germany'
2025-07-04 01:15:35,089 INFO 📄 Index 0 | Name: Freiburg im Breisgau | fcl: P, fcode: PPLA2 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Freiburg im Breisgau, ADM4: Freiburg im Breisgau | Score: 70.80, Population: 215966 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:35,090 INFO 📄 Index 1 | Name: Konstanz | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Konstanz, ADM4: Konstanz | Score: 51.87, Population: 81275 | Fuzzy match: 0.0
2025-07-04 01:15:35,090 INFO 📄 Index 2 | Name: Lahr | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Ortenaukreis, ADM4: Lahr/Schwarzwald | Score: 44.99, Population: 47551 | Fuzzy match: 16.666666666666664
2025-07-04 01:15:35,090 INFO 📄 Index 3 | Name: Rottweil | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Rottweil, ADM4: Rottweil | Score: 39.69, Population: 25510 | Fuzzy match: 37.5
2025-07-04 01:15:35,157 INFO 📄 Index 0 | Name: Freiburg im Breisgau | fcl: P, fcode: PPLA2 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Freiburg im Breisgau, ADM4: Freiburg im Breisgau | Score: 70.80, Population: 215966 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:35,158 INFO 📄 Index 1 | Name: Konstanz | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Konstanz, ADM4: Konstanz | Score: 51.87, Population: 81275 | Fuzzy match: 0.0
2025-07-04 01:15:35,158 INFO 📄 Index 2 | Name: Lahr | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Ortenaukreis, ADM4: Lahr/Schwarzwald | Score: 44.99, Population: 47551 | Fuzzy match: 16.666666666666664
2025-07-04 01:15:35,158 INFO 📄 Index 3 | Name: Rottweil | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Rottweil, ADM4: Rottweil | Score: 39.69, Population: 25510 | Fuzzy match: 37.5
2025-07-04 01:15:35,209 INFO 📄 Index 0 | Name: Freiburg im Breisgau | fcl: P, fcode: PPLA2 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Freiburg im Breisgau, ADM4: Freiburg im Breisgau | Score: 70.80, Population: 215966 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:35,209 INFO 📄 Index 1 | Name: Konstanz | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Konstanz, ADM4: Konstanz | Score: 51.87, Population: 81275 | Fuzzy match: 0.0
2025-07-04 01:15:35,209 INFO 📄 Index 2 | Name: Lahr | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Ortenaukreis, ADM4: Lahr/Schwarzwald | Score: 44.99, Population: 47551 | Fuzzy match: 16.666666666666664
2025-07-04 01:15:35,210 INFO 📄 Index 3 | Name: Rottweil | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Rottweil, ADM4: Rottweil | Score: 39.69, Population: 25510 | Fuzzy match: 37.5
2025-07-04 01:15:35,258 INFO 📄 Index 0 | Name: Freiburg im Breisgau | fcl: P, fcode: PPLA2 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Freiburg im Breisgau, ADM4: Freiburg im Breisgau | Score: 70.80, Population: 215966 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:35,259 INFO 📄 Index 1 | Name: Konstanz | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Konstanz, ADM4: Konstanz | Score: 51.87, Population: 81275 | Fuzzy match: 0.0
2025-07-04 01:15:35,259 INFO 📄 Index 2 | Name: Lahr | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Ortenaukreis, ADM4: Lahr/Schwarzwald | Score: 44.99, Population: 47551 | Fuzzy match: 16.666666666666664
2025-07-04 01:15:35,259 INFO 📄 Index 3 | Name: Rottweil | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Rottweil, ADM4: Rottweil | Score: 39.69, Population: 25510 | Fuzzy match: 37.5
2025-07-04 01:15:35,309 INFO 📄 Index 0 | Name: Freiburg im Breisgau | fcl: P, fcode: PPLA2 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Freiburg im Breisgau, ADM4: Freiburg im Breisgau | Score: 70.80, Population: 215966 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:35,309 INFO 📄 Index 1 | Name: Konstanz | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Konstanz, ADM4: Konstanz | Score: 51.87, Population: 81275 | Fuzzy match: 0.0
2025-07-04 01:15:35,309 INFO 📄 Index 2 | Name: Lahr | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Ortenaukreis, ADM4: Lahr/Schwarzwald | Score: 44.99, Population: 47551 | Fuzzy match: 16.666666666666664
2025-07-04 01:15:35,309 INFO 📄 Index 3 | Name: Rottweil | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Rottweil, ADM4: Rottweil | Score: 39.69, Population: 25510 | Fuzzy match: 37.5
2025-07-04 01:15:35,362 INFO 📄 Index 0 | Name: Freiburg im Breisgau | fcl: P, fcode: PPLA2 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Freiburg im Breisgau, ADM4: Freiburg im Breisgau | Score: 70.80, Population: 215966 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:35,362 INFO 📄 Index 1 | Name: Konstanz | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Konstanz, ADM4: Konstanz | Score: 51.87, Population: 81275 | Fuzzy match: 0.0
2025-07-04 01:15:35,362 INFO 📄 Index 2 | Name: Lahr | fcl: P, fcode: PPL | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Ortenaukreis, ADM4: Lahr/Schwarzwald | Score: 44.99, Population: 47551 | Fuzzy match: 16.666666666666664
2025-07-04 01:15:35,362 INFO 📄 Index 3 | Name: Rottweil | fcl: P, fcode: PPLA3 | ADM1: Baden-Wurttemberg, ADM2: Freiburg Region, ADM3: Landkreis Rottweil, ADM4: Rottweil | Score: 39.69, Population: 25510 | Fuzzy match: 37.5
2025-07-04 01:15:35,362 WARNING ❌ No match found with fuzzy score > 80 for city: freiburg
