2025-07-03 16:40:53,051 INFO 📍 Starting GeoNames lookup for city='lausitz', country='germany'
2025-07-03 16:40:53,138 INFO 📄 Index 0 | Name: Lubnjow | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lübbenau/Spreewald | Score: 36.19, Population: 17461 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:53,139 INFO 📄 Index 1 | Name: Senftenberg | fcl: P, fcode: PPLA3 | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Senftenberg | Score: 31.93, Population: 28988 | Fuzzy match: 22.22222222222222
2025-07-03 16:40:53,139 INFO 📄 Index 2 | Name: Lauchhammer | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lauchhammer | Score: 31.93, Population: 18990 | Fuzzy match: 33.333333333333336
2025-07-03 16:40:53,139 INFO 📄 Index 3 | Name: Großräschen | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Großräschen | Score: 31.93, Population: 11523 | Fuzzy match: 11.111111111111116
2025-07-03 16:40:53,183 INFO 📄 Index 0 | Name: Lubnjow | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lübbenau/Spreewald | Score: 36.19, Population: 17461 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:53,184 INFO 📄 Index 1 | Name: Senftenberg | fcl: P, fcode: PPLA3 | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Senftenberg | Score: 31.93, Population: 28988 | Fuzzy match: 22.22222222222222
2025-07-03 16:40:53,184 INFO 📄 Index 2 | Name: Lauchhammer | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lauchhammer | Score: 31.93, Population: 18990 | Fuzzy match: 33.333333333333336
2025-07-03 16:40:53,184 INFO 📄 Index 3 | Name: Großräschen | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Großräschen | Score: 31.93, Population: 11523 | Fuzzy match: 11.111111111111116
2025-07-03 16:40:53,228 INFO 📄 Index 0 | Name: Lubnjow | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lübbenau/Spreewald | Score: 36.19, Population: 17461 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:53,228 INFO 📄 Index 1 | Name: Senftenberg | fcl: P, fcode: PPLA3 | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Senftenberg | Score: 31.93, Population: 28988 | Fuzzy match: 22.22222222222222
2025-07-03 16:40:53,228 INFO 📄 Index 2 | Name: Lauchhammer | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lauchhammer | Score: 31.93, Population: 18990 | Fuzzy match: 33.333333333333336
2025-07-03 16:40:53,228 INFO 📄 Index 3 | Name: Großräschen | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Großräschen | Score: 31.93, Population: 11523 | Fuzzy match: 11.111111111111116
2025-07-03 16:40:53,271 INFO 📄 Index 0 | Name: Lubnjow | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lübbenau/Spreewald | Score: 36.19, Population: 17461 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:53,272 INFO 📄 Index 1 | Name: Senftenberg | fcl: P, fcode: PPLA3 | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Senftenberg | Score: 31.93, Population: 28988 | Fuzzy match: 22.22222222222222
2025-07-03 16:40:53,272 INFO 📄 Index 2 | Name: Lauchhammer | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lauchhammer | Score: 31.93, Population: 18990 | Fuzzy match: 33.333333333333336
2025-07-03 16:40:53,272 INFO 📄 Index 3 | Name: Großräschen | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Großräschen | Score: 31.93, Population: 11523 | Fuzzy match: 11.111111111111116
2025-07-03 16:40:53,315 INFO 📄 Index 0 | Name: Lubnjow | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lübbenau/Spreewald | Score: 36.19, Population: 17461 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:53,315 INFO 📄 Index 1 | Name: Senftenberg | fcl: P, fcode: PPLA3 | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Senftenberg | Score: 31.93, Population: 28988 | Fuzzy match: 22.22222222222222
2025-07-03 16:40:53,315 INFO 📄 Index 2 | Name: Lauchhammer | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lauchhammer | Score: 31.93, Population: 18990 | Fuzzy match: 33.333333333333336
2025-07-03 16:40:53,315 INFO 📄 Index 3 | Name: Großräschen | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Großräschen | Score: 31.93, Population: 11523 | Fuzzy match: 11.111111111111116
2025-07-03 16:40:53,361 INFO 📄 Index 0 | Name: Lubnjow | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lübbenau/Spreewald | Score: 36.19, Population: 17461 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:53,361 INFO 📄 Index 1 | Name: Senftenberg | fcl: P, fcode: PPLA3 | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Senftenberg | Score: 31.93, Population: 28988 | Fuzzy match: 22.22222222222222
2025-07-03 16:40:53,361 INFO 📄 Index 2 | Name: Lauchhammer | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Lauchhammer | Score: 31.93, Population: 18990 | Fuzzy match: 33.333333333333336
2025-07-03 16:40:53,362 INFO 📄 Index 3 | Name: Großräschen | fcl: P, fcode: PPL | ADM1: Brandenburg, ADM2: , ADM3: Landkreis Oberspreewald-Lausitz, ADM4: Großräschen | Score: 31.93, Population: 11523 | Fuzzy match: 11.111111111111116
2025-07-03 16:40:53,362 WARNING ❌ No match found with fuzzy score > 80 for city: lausitz
2025-07-03 16:40:53,362 WARNING ❌ Lookup failed for city='lausitz', iso2='DE'
