2025-07-04 01:15:36,935 INFO 📍 Starting GeoNames lookup for city='ludwigshafen', country='germany'
2025-07-04 01:15:36,987 INFO 📄 Index 0 | Name: Ludwigshafen am Rhein | fcl: P, fcode: PPLA3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Kreisfreie Stadt Ludwigshafen am Rhein, ADM4: Ludwigshafen am Rhein | Score: 69.31, Population: 163196 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:36,987 INFO 📄 Index 1 | Name: Böhl-Iggelheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Böhl-Iggelheim | Score: 21.80, Population: 10797 | Fuzzy match: 38.46153846153846
2025-07-04 01:15:36,987 INFO 📄 Index 2 | Name: Schifferstadt | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Schifferstadt | Score: 21.80, Population: 19209 | Fuzzy match: 31.999999999999996
2025-07-04 01:15:36,987 INFO 📄 Index 3 | Name: Bobenheim-Roxheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Bobenheim-Roxheim | Score: 21.80, Population: 10106 | Fuzzy match: 20.68965517241379
2025-07-04 01:15:37,036 INFO 📄 Index 0 | Name: Ludwigshafen am Rhein | fcl: P, fcode: PPLA3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Kreisfreie Stadt Ludwigshafen am Rhein, ADM4: Ludwigshafen am Rhein | Score: 69.31, Population: 163196 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:37,037 INFO 📄 Index 1 | Name: Böhl-Iggelheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Böhl-Iggelheim | Score: 21.80, Population: 10797 | Fuzzy match: 38.46153846153846
2025-07-04 01:15:37,037 INFO 📄 Index 2 | Name: Schifferstadt | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Schifferstadt | Score: 21.80, Population: 19209 | Fuzzy match: 31.999999999999996
2025-07-04 01:15:37,037 INFO 📄 Index 3 | Name: Bobenheim-Roxheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Bobenheim-Roxheim | Score: 21.80, Population: 10106 | Fuzzy match: 20.68965517241379
2025-07-04 01:15:37,104 INFO 📄 Index 0 | Name: Ludwigshafen am Rhein | fcl: P, fcode: PPLA3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Kreisfreie Stadt Ludwigshafen am Rhein, ADM4: Ludwigshafen am Rhein | Score: 69.31, Population: 163196 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:37,104 INFO 📄 Index 1 | Name: Böhl-Iggelheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Böhl-Iggelheim | Score: 21.80, Population: 10797 | Fuzzy match: 38.46153846153846
2025-07-04 01:15:37,104 INFO 📄 Index 2 | Name: Schifferstadt | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Schifferstadt | Score: 21.80, Population: 19209 | Fuzzy match: 31.999999999999996
2025-07-04 01:15:37,104 INFO 📄 Index 3 | Name: Bobenheim-Roxheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Bobenheim-Roxheim | Score: 21.80, Population: 10106 | Fuzzy match: 20.68965517241379
2025-07-04 01:15:37,159 INFO 📄 Index 0 | Name: Ludwigshafen am Rhein | fcl: P, fcode: PPLA3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Kreisfreie Stadt Ludwigshafen am Rhein, ADM4: Ludwigshafen am Rhein | Score: 69.31, Population: 163196 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:37,159 INFO 📄 Index 1 | Name: Böhl-Iggelheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Böhl-Iggelheim | Score: 21.80, Population: 10797 | Fuzzy match: 38.46153846153846
2025-07-04 01:15:37,159 INFO 📄 Index 2 | Name: Schifferstadt | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Schifferstadt | Score: 21.80, Population: 19209 | Fuzzy match: 31.999999999999996
2025-07-04 01:15:37,160 INFO 📄 Index 3 | Name: Bobenheim-Roxheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Bobenheim-Roxheim | Score: 21.80, Population: 10106 | Fuzzy match: 20.68965517241379
2025-07-04 01:15:37,210 INFO 📄 Index 0 | Name: Ludwigshafen am Rhein | fcl: P, fcode: PPLA3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Kreisfreie Stadt Ludwigshafen am Rhein, ADM4: Ludwigshafen am Rhein | Score: 69.31, Population: 163196 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:37,210 INFO 📄 Index 1 | Name: Böhl-Iggelheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Böhl-Iggelheim | Score: 21.80, Population: 10797 | Fuzzy match: 38.46153846153846
2025-07-04 01:15:37,210 INFO 📄 Index 2 | Name: Schifferstadt | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Schifferstadt | Score: 21.80, Population: 19209 | Fuzzy match: 31.999999999999996
2025-07-04 01:15:37,210 INFO 📄 Index 3 | Name: Bobenheim-Roxheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Bobenheim-Roxheim | Score: 21.80, Population: 10106 | Fuzzy match: 20.68965517241379
2025-07-04 01:15:37,269 INFO 📄 Index 0 | Name: Ludwigshafen am Rhein | fcl: P, fcode: PPLA3 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Kreisfreie Stadt Ludwigshafen am Rhein, ADM4: Ludwigshafen am Rhein | Score: 69.31, Population: 163196 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:37,269 INFO 📄 Index 1 | Name: Böhl-Iggelheim | fcl: P, fcode: PPLA4 | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Rhein-Pfalz-Kreis, ADM4: Böhl-Iggelheim | Score: 21.80, Population: 10797 | Fuzzy match: 38.46153846153846
