2025-07-03 16:40:53,604 INFO 📍 Starting GeoNames lookup for city='nrw', country='germany'
2025-07-03 16:40:53,764 INFO 📄 Index 0 | Name: Cologne | fcl: P, fcode: PPLA2 | ADM1: North Rhine-Westphalia, ADM2: Cologne District, ADM3: Cologne, Urban District, ADM4: Cologne | Score: 95.52, Population: 963395 | Fuzzy match: 19.999999999999996
2025-07-03 16:40:53,765 INFO 📄 Index 1 | Name: Düsseldorf | fcl: P, fcode: PPLA | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Düsseldorf, ADM4: Düsseldorf | Score: 84.25, Population: 620523 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:53,765 INFO 📄 Index 2 | Name: Essen | fcl: P, fcode: PPLA3 | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Essen, ADM4: Essen | Score: 72.31, Population: 593085 | Fuzzy match: 25.0
2025-07-03 16:40:53,765 INFO 📄 Index 3 | Name: Mülheim | fcl: P, fcode: PPL | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Mülheim an der Ruhr, ADM4: Mülheim | Score: 59.70, Population: 170921 | Fuzzy match: 0.0
2025-07-03 16:40:53,816 INFO 📄 Index 0 | Name: Cologne | fcl: P, fcode: PPLA2 | ADM1: North Rhine-Westphalia, ADM2: Cologne District, ADM3: Cologne, Urban District, ADM4: Cologne | Score: 95.52, Population: 963395 | Fuzzy match: 19.999999999999996
2025-07-03 16:40:53,816 INFO 📄 Index 1 | Name: Düsseldorf | fcl: P, fcode: PPLA | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Düsseldorf, ADM4: Düsseldorf | Score: 84.25, Population: 620523 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:53,816 INFO 📄 Index 2 | Name: Essen | fcl: P, fcode: PPLA3 | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Essen, ADM4: Essen | Score: 72.31, Population: 593085 | Fuzzy match: 25.0
2025-07-03 16:40:53,816 INFO 📄 Index 3 | Name: Mülheim | fcl: P, fcode: PPL | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Mülheim an der Ruhr, ADM4: Mülheim | Score: 59.70, Population: 170921 | Fuzzy match: 0.0
2025-07-03 16:40:53,865 INFO 📄 Index 0 | Name: Cologne | fcl: P, fcode: PPLA2 | ADM1: North Rhine-Westphalia, ADM2: Cologne District, ADM3: Cologne, Urban District, ADM4: Cologne | Score: 95.52, Population: 963395 | Fuzzy match: 19.999999999999996
2025-07-03 16:40:53,865 INFO 📄 Index 1 | Name: Düsseldorf | fcl: P, fcode: PPLA | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Düsseldorf, ADM4: Düsseldorf | Score: 84.25, Population: 620523 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:53,866 INFO 📄 Index 2 | Name: Essen | fcl: P, fcode: PPLA3 | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Essen, ADM4: Essen | Score: 72.31, Population: 593085 | Fuzzy match: 25.0
2025-07-03 16:40:53,866 INFO 📄 Index 3 | Name: Mülheim | fcl: P, fcode: PPL | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Mülheim an der Ruhr, ADM4: Mülheim | Score: 59.70, Population: 170921 | Fuzzy match: 0.0
2025-07-03 16:40:53,925 INFO 📄 Index 0 | Name: Cologne | fcl: P, fcode: PPLA2 | ADM1: North Rhine-Westphalia, ADM2: Cologne District, ADM3: Cologne, Urban District, ADM4: Cologne | Score: 95.52, Population: 963395 | Fuzzy match: 19.999999999999996
2025-07-03 16:40:53,926 INFO 📄 Index 1 | Name: Düsseldorf | fcl: P, fcode: PPLA | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Düsseldorf, ADM4: Düsseldorf | Score: 84.25, Population: 620523 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:53,926 INFO 📄 Index 2 | Name: Essen | fcl: P, fcode: PPLA3 | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Essen, ADM4: Essen | Score: 72.31, Population: 593085 | Fuzzy match: 25.0
2025-07-03 16:40:53,926 INFO 📄 Index 3 | Name: Mülheim | fcl: P, fcode: PPL | ADM1: North Rhine-Westphalia, ADM2: Düsseldorf District, ADM3: Kreisfreie Stadt Mülheim an der Ruhr, ADM4: Mülheim | Score: 59.70, Population: 170921 | Fuzzy match: 0.0
2025-07-03 16:40:53,989 INFO 📄 Index 0 | Name: Cologne | fcl: P, fcode: PPLA2 | ADM1: North Rhine-Westphalia, ADM2: Cologne District, ADM3: Cologne, Urban District, ADM4: Cologne | Score: 95.52, Population: 963395 | Fuzzy match: 19.999999999999996
