2025-07-04 01:15:37,549 INFO 📍 Starting GeoNames lookup for city='nuernberg', country='germany'
2025-07-04 01:15:37,598 INFO 📄 Index 0 | Name: Nuremberg | fcl: P, fcode: PPLA3 | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Nuremberg, ADM4: Nuremberg | Score: 95.58, Population: 515543 | Fuzzy match: 77.77777777777779
2025-07-04 01:15:37,598 INFO 📄 Index 1 | Name: Katzwang | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Nuremberg, ADM4: Nuremberg | Score: 35.19, Population: 0 | Fuzzy match: 23.529411764705888
2025-07-04 01:15:37,598 INFO 📄 Index 2 | Name: Roth | fcl: P, fcode: PPLA3 | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Landkreis Roth, ADM4: Roth | Score: 34.29, Population: 25083 | Fuzzy match: 15.384615384615385
2025-07-04 01:15:37,598 INFO 📄 Index 3 | Name: Altdorf bei Nürnberg | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Nürnberger Land, ADM4: Altdorf b.Nürnberg | Score: 30.94, Population: 15312 | Fuzzy match: 48.275862068965516
2025-07-04 01:15:37,648 INFO 📄 Index 0 | Name: Nuremberg | fcl: P, fcode: PPLA3 | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Nuremberg, ADM4: Nuremberg | Score: 95.58, Population: 515543 | Fuzzy match: 77.77777777777779
2025-07-04 01:15:37,648 INFO 📄 Index 1 | Name: Katzwang | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Nuremberg, ADM4: Nuremberg | Score: 35.19, Population: 0 | Fuzzy match: 23.529411764705888
2025-07-04 01:15:37,648 INFO 📄 Index 2 | Name: Roth | fcl: P, fcode: PPLA3 | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Landkreis Roth, ADM4: Roth | Score: 34.29, Population: 25083 | Fuzzy match: 15.384615384615385
2025-07-04 01:15:37,648 INFO 📄 Index 3 | Name: Altdorf bei Nürnberg | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Nürnberger Land, ADM4: Altdorf b.Nürnberg | Score: 30.94, Population: 15312 | Fuzzy match: 48.275862068965516
2025-07-04 01:15:37,699 INFO 📄 Index 0 | Name: Nuremberg | fcl: P, fcode: PPLA3 | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Nuremberg, ADM4: Nuremberg | Score: 95.58, Population: 515543 | Fuzzy match: 77.77777777777779
2025-07-04 01:15:37,700 INFO 📄 Index 1 | Name: Katzwang | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Nuremberg, ADM4: Nuremberg | Score: 35.19, Population: 0 | Fuzzy match: 23.529411764705888
2025-07-04 01:15:37,700 INFO 📄 Index 2 | Name: Roth | fcl: P, fcode: PPLA3 | ADM1: Bavaria, ADM2: Middle Franconia, ADM3: Landkreis Roth, ADM4: Roth | Score: 34.29, Population: 25083 | Fuzzy match: 15.384615384615385
