2025-07-03 16:40:54,038 INFO 📍 Starting GeoNames lookup for city='oberlausitz', country='germany'
2025-07-03 16:40:54,156 INFO 📄 Index 0 | Name: Weißwasser | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Weißwasser/O.L. | Score: 37.73, Population: 22099 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:54,156 INFO 📄 Index 1 | Name: Budestecy | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Bautzen, ADM4: Großpostwitz/O.L. | Score: 23.45, Population: 3116 | Fuzzy match: 40.0
2025-07-03 16:40:54,157 INFO 📄 Index 2 | Name: Boxberg | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Boxberg/O.L. | Score: 20.67, Population: 3093 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:54,157 INFO 📄 Index 3 | Name: Reichenbach | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Reichenbach/O.L. | Score: 19.34, Population: 4422 | Fuzzy match: 18.181818181818176
2025-07-03 16:40:54,202 INFO 📄 Index 0 | Name: Weißwasser | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Weißwasser/O.L. | Score: 37.73, Population: 22099 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:54,202 INFO 📄 Index 1 | Name: Budestecy | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Bautzen, ADM4: Großpostwitz/O.L. | Score: 23.45, Population: 3116 | Fuzzy match: 40.0
2025-07-03 16:40:54,202 INFO 📄 Index 2 | Name: Boxberg | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Boxberg/O.L. | Score: 20.67, Population: 3093 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:54,202 INFO 📄 Index 3 | Name: Reichenbach | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Reichenbach/O.L. | Score: 19.34, Population: 4422 | Fuzzy match: 18.181818181818176
2025-07-03 16:40:54,252 INFO 📄 Index 0 | Name: Weißwasser | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Weißwasser/O.L. | Score: 37.73, Population: 22099 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:54,252 INFO 📄 Index 1 | Name: Budestecy | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Bautzen, ADM4: Großpostwitz/O.L. | Score: 23.45, Population: 3116 | Fuzzy match: 40.0
2025-07-03 16:40:54,252 INFO 📄 Index 2 | Name: Boxberg | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Boxberg/O.L. | Score: 20.67, Population: 3093 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:54,252 INFO 📄 Index 3 | Name: Reichenbach | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Reichenbach/O.L. | Score: 19.34, Population: 4422 | Fuzzy match: 18.181818181818176
2025-07-03 16:40:54,295 INFO 📄 Index 0 | Name: Weißwasser | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Weißwasser/O.L. | Score: 37.73, Population: 22099 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:54,295 INFO 📄 Index 1 | Name: Budestecy | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Bautzen, ADM4: Großpostwitz/O.L. | Score: 23.45, Population: 3116 | Fuzzy match: 40.0
2025-07-03 16:40:54,295 INFO 📄 Index 2 | Name: Boxberg | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Boxberg/O.L. | Score: 20.67, Population: 3093 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:54,295 INFO 📄 Index 3 | Name: Reichenbach | fcl: P, fcode: PPL | ADM1: Saxony, ADM2: , ADM3: Landkreis Görlitz, ADM4: Reichenbach/O.L. | Score: 19.34, Population: 4422 | Fuzzy match: 18.181818181818176
