2025-07-03 13:48:53,769 INFO 📍 Starting GeoNames lookup for city='saxonia', country='france'
2025-07-03 13:48:53,869 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 75.94, Population: 515140 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:53,869 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 72.01, Population: 597493 | Fuzzy match: 19.047619047619047
2025-07-03 13:48:53,869 INFO 📄 Index 2 | Name: Magdeburg | fcl: P, fcode: PPLA | ADM1: Saxony-Anhalt, ADM2: , ADM3: Landeshauptstadt Magdeburg, ADM4: Magdeburg, Landeshauptstadt | Score: 70.34, Population: 235775 | Fuzzy match: 12.5
2025-07-03 13:48:53,869 INFO 📄 Index 3 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 69.31, Population: 504971 | Fuzzy match: 14.28571428571429
2025-07-03 13:48:53,921 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 75.94, Population: 515140 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:53,921 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 72.01, Population: 597493 | Fuzzy match: 19.047619047619047
2025-07-03 13:48:53,921 INFO 📄 Index 2 | Name: Magdeburg | fcl: P, fcode: PPLA | ADM1: Saxony-Anhalt, ADM2: , ADM3: Landeshauptstadt Magdeburg, ADM4: Magdeburg, Landeshauptstadt | Score: 70.34, Population: 235775 | Fuzzy match: 12.5
2025-07-03 13:48:53,921 INFO 📄 Index 3 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 69.31, Population: 504971 | Fuzzy match: 14.28571428571429
2025-07-03 13:48:53,977 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 75.94, Population: 515140 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:53,977 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 72.01, Population: 597493 | Fuzzy match: 19.047619047619047
2025-07-03 13:48:53,977 INFO 📄 Index 2 | Name: Magdeburg | fcl: P, fcode: PPLA | ADM1: Saxony-Anhalt, ADM2: , ADM3: Landeshauptstadt Magdeburg, ADM4: Magdeburg, Landeshauptstadt | Score: 70.34, Population: 235775 | Fuzzy match: 12.5
