2025-07-03 13:44:08,936 INFO 📍 Starting GeoNames lookup for city='saxony', country='germany'
2025-07-03 13:44:08,992 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 69.69, Population: 515140 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:08,993 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 68.96, Population: 597493 | Fuzzy match: 19.999999999999996
2025-07-03 13:44:08,993 INFO 📄 Index 2 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 66.87, Population: 504971 | Fuzzy match: 0.0
2025-07-03 13:44:08,993 INFO 📄 Index 3 | Name: Dresden | fcl: P, fcode: PPLA | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Dresden, ADM4: Dresden | Score: 66.87, Population: 556227 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:09,041 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 69.69, Population: 515140 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:09,041 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 68.96, Population: 597493 | Fuzzy match: 19.999999999999996
2025-07-03 13:44:09,041 INFO 📄 Index 2 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 66.87, Population: 504971 | Fuzzy match: 0.0
2025-07-03 13:44:09,041 INFO 📄 Index 3 | Name: Dresden | fcl: P, fcode: PPLA | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Dresden, ADM4: Dresden | Score: 66.87, Population: 556227 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:09,087 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 69.69, Population: 515140 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:09,087 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 68.96, Population: 597493 | Fuzzy match: 19.999999999999996
2025-07-03 13:44:09,087 INFO 📄 Index 2 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 66.87, Population: 504971 | Fuzzy match: 0.0
2025-07-03 13:44:09,087 INFO 📄 Index 3 | Name: Dresden | fcl: P, fcode: PPLA | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Dresden, ADM4: Dresden | Score: 66.87, Population: 556227 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:09,133 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 69.69, Population: 515140 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:09,133 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 68.96, Population: 597493 | Fuzzy match: 19.999999999999996
2025-07-03 13:44:09,133 INFO 📄 Index 2 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 66.87, Population: 504971 | Fuzzy match: 0.0
2025-07-03 13:44:09,133 INFO 📄 Index 3 | Name: Dresden | fcl: P, fcode: PPLA | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Dresden, ADM4: Dresden | Score: 66.87, Population: 556227 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:09,179 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 69.69, Population: 515140 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:09,179 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 68.96, Population: 597493 | Fuzzy match: 19.999999999999996
2025-07-03 13:44:09,179 INFO 📄 Index 2 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 66.87, Population: 504971 | Fuzzy match: 0.0
2025-07-03 13:44:09,179 INFO 📄 Index 3 | Name: Dresden | fcl: P, fcode: PPLA | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Dresden, ADM4: Dresden | Score: 66.87, Population: 556227 | Fuzzy match: 30.76923076923077
2025-07-03 13:44:09,227 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 69.69, Population: 515140 | Fuzzy match: 30.76923076923077
