2025-07-03 13:36:52,580 INFO 📍 Starting GeoNames lookup for city='stuttgart-zuffenhausen', country='germany'
2025-07-03 13:36:52,623 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,623 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 13:36:52,623 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,623 INFO 📄 Index 3 | Name: Zuffenhausen-Schützenbühl | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 7.45, Population: 0 | Fuzzy match: 51.06382978723405
2025-07-03 13:36:52,712 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,712 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 13:36:52,712 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,712 INFO 📄 Index 3 | Name: Zuffenhausen-Schützenbühl | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 7.45, Population: 0 | Fuzzy match: 51.06382978723405
2025-07-03 13:36:52,755 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,755 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 13:36:52,755 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,755 INFO 📄 Index 3 | Name: Zuffenhausen-Schützenbühl | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 7.45, Population: 0 | Fuzzy match: 51.06382978723405
2025-07-03 13:36:52,797 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,798 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 13:36:52,798 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,798 INFO 📄 Index 3 | Name: Zuffenhausen-Schützenbühl | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 7.45, Population: 0 | Fuzzy match: 51.06382978723405
2025-07-03 13:36:52,840 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,841 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 13:36:52,841 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,841 INFO 📄 Index 3 | Name: Zuffenhausen-Schützenbühl | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 7.45, Population: 0 | Fuzzy match: 51.06382978723405
2025-07-03 13:36:52,883 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,884 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 13:36:52,884 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 13:36:52,884 INFO 📄 Index 3 | Name: Zuffenhausen-Schützenbühl | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 7.45, Population: 0 | Fuzzy match: 51.06382978723405
2025-07-03 13:36:52,884 WARNING ❌ No match found with fuzzy score > 80 for city: stuttgart-zuffenhausen
2025-07-03 13:36:52,884 WARNING ❌ Lookup failed for city='stuttgart-zuffenhausen', iso2='DE'
