2025-07-03 16:42:52,161 INFO 📍 Starting GeoNames lookup for city='wörth', country='australia'
2025-07-03 16:42:52,290 INFO 📄 Index 0 | Name: Wörth am Main | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Miltenberg, ADM4: Wörth a.Main | Score: 34.32, Population: 4983 | Fuzzy match: 55.55555555555556
2025-07-03 16:42:52,291 INFO 📄 Index 1 | Name: Wörth an der Donau | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Upper Palatinate, ADM3: Landkreis Regensburg, ADM4: Wörth a.d.Donau | Score: 32.80, Population: 4524 | Fuzzy match: 43.47826086956522
2025-07-03 16:42:52,291 INFO 📄 Index 2 | Name: Wörth am Rhein | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Landkreis Germersheim, ADM4: Wörth am Rhein | Score: 30.77, Population: 17272 | Fuzzy match: 52.63157894736843
2025-07-03 16:42:52,291 INFO 📄 Index 3 | Name: Wörth an der Isar | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Bavaria, ADM3: Landkreis Landshut, ADM4: Wörth a.d.Isar | Score: 29.80, Population: 2400 | Fuzzy match: 45.45454545454546
2025-07-03 16:42:52,338 INFO 📄 Index 0 | Name: Wörth am Main | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Miltenberg, ADM4: Wörth a.Main | Score: 34.32, Population: 4983 | Fuzzy match: 55.55555555555556
2025-07-03 16:42:52,338 INFO 📄 Index 1 | Name: Wörth an der Donau | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Upper Palatinate, ADM3: Landkreis Regensburg, ADM4: Wörth a.d.Donau | Score: 32.80, Population: 4524 | Fuzzy match: 43.47826086956522
2025-07-03 16:42:52,339 INFO 📄 Index 2 | Name: Wörth am Rhein | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Landkreis Germersheim, ADM4: Wörth am Rhein | Score: 30.77, Population: 17272 | Fuzzy match: 52.63157894736843
2025-07-03 16:42:52,339 INFO 📄 Index 3 | Name: Wörth an der Isar | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Bavaria, ADM3: Landkreis Landshut, ADM4: Wörth a.d.Isar | Score: 29.80, Population: 2400 | Fuzzy match: 45.45454545454546
2025-07-03 16:42:52,384 INFO 📄 Index 0 | Name: Wörth am Main | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Miltenberg, ADM4: Wörth a.Main | Score: 34.32, Population: 4983 | Fuzzy match: 55.55555555555556
2025-07-03 16:42:52,384 INFO 📄 Index 1 | Name: Wörth an der Donau | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Upper Palatinate, ADM3: Landkreis Regensburg, ADM4: Wörth a.d.Donau | Score: 32.80, Population: 4524 | Fuzzy match: 43.47826086956522
2025-07-03 16:42:52,384 INFO 📄 Index 2 | Name: Wörth am Rhein | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Landkreis Germersheim, ADM4: Wörth am Rhein | Score: 30.77, Population: 17272 | Fuzzy match: 52.63157894736843
2025-07-03 16:42:52,384 INFO 📄 Index 3 | Name: Wörth an der Isar | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Bavaria, ADM3: Landkreis Landshut, ADM4: Wörth a.d.Isar | Score: 29.80, Population: 2400 | Fuzzy match: 45.45454545454546
2025-07-03 16:42:52,431 INFO 📄 Index 0 | Name: Wörth am Main | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Miltenberg, ADM4: Wörth a.Main | Score: 34.32, Population: 4983 | Fuzzy match: 55.55555555555556
2025-07-03 16:42:52,432 INFO 📄 Index 1 | Name: Wörth an der Donau | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Upper Palatinate, ADM3: Landkreis Regensburg, ADM4: Wörth a.d.Donau | Score: 32.80, Population: 4524 | Fuzzy match: 43.47826086956522
2025-07-03 16:42:52,432 INFO 📄 Index 2 | Name: Wörth am Rhein | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Landkreis Germersheim, ADM4: Wörth am Rhein | Score: 30.77, Population: 17272 | Fuzzy match: 52.63157894736843
2025-07-03 16:42:52,432 INFO 📄 Index 3 | Name: Wörth an der Isar | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Bavaria, ADM3: Landkreis Landshut, ADM4: Wörth a.d.Isar | Score: 29.80, Population: 2400 | Fuzzy match: 45.45454545454546
2025-07-03 16:42:52,479 INFO 📄 Index 0 | Name: Wörth am Main | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Miltenberg, ADM4: Wörth a.Main | Score: 34.32, Population: 4983 | Fuzzy match: 55.55555555555556
2025-07-03 16:42:52,479 INFO 📄 Index 1 | Name: Wörth an der Donau | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Upper Palatinate, ADM3: Landkreis Regensburg, ADM4: Wörth a.d.Donau | Score: 32.80, Population: 4524 | Fuzzy match: 43.47826086956522
2025-07-03 16:42:52,479 INFO 📄 Index 2 | Name: Wörth am Rhein | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Landkreis Germersheim, ADM4: Wörth am Rhein | Score: 30.77, Population: 17272 | Fuzzy match: 52.63157894736843
2025-07-03 16:42:52,479 INFO 📄 Index 3 | Name: Wörth an der Isar | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Bavaria, ADM3: Landkreis Landshut, ADM4: Wörth a.d.Isar | Score: 29.80, Population: 2400 | Fuzzy match: 45.45454545454546
2025-07-03 16:42:52,526 INFO 📄 Index 0 | Name: Wörth am Main | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Franconia, ADM3: Landkreis Miltenberg, ADM4: Wörth a.Main | Score: 34.32, Population: 4983 | Fuzzy match: 55.55555555555556
2025-07-03 16:42:52,526 INFO 📄 Index 1 | Name: Wörth an der Donau | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Upper Palatinate, ADM3: Landkreis Regensburg, ADM4: Wörth a.d.Donau | Score: 32.80, Population: 4524 | Fuzzy match: 43.47826086956522
2025-07-03 16:42:52,526 INFO 📄 Index 2 | Name: Wörth am Rhein | fcl: P, fcode: PPL | ADM1: Rheinland-Pfalz, ADM2: , ADM3: Landkreis Germersheim, ADM4: Wörth am Rhein | Score: 30.77, Population: 17272 | Fuzzy match: 52.63157894736843
2025-07-03 16:42:52,526 INFO 📄 Index 3 | Name: Wörth an der Isar | fcl: P, fcode: PPL | ADM1: Bavaria, ADM2: Lower Bavaria, ADM3: Landkreis Landshut, ADM4: Wörth a.d.Isar | Score: 29.80, Population: 2400 | Fuzzy match: 45.45454545454546
2025-07-03 16:42:52,527 WARNING ❌ No match found with fuzzy score > 80 for city: wörth
2025-07-03 16:42:52,527 WARNING ❌ Lookup failed for city='wörth', iso2='DE'
