2025-07-03 13:48:59,093 INFO 📍 Starting GeoNames lookup for city='catalonia', country='france'
2025-07-03 13:48:59,162 INFO 📄 Index 0 | Name: Barcelona | fcl: P, fcode: PPLA | ADM1: Catalonia, ADM2: Barcelona, ADM3: Barcelona, ADM4:  | Score: 108.47, Population: 1620343 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,163 INFO 📄 Index 1 | Name: Terrassa | fcl: P, fcode: PPL | ADM1: Catalonia, ADM2: Barcelona, ADM3: Terrassa, ADM4:  | Score: 78.99, Population: 218535 | Fuzzy match: 35.29411764705882
2025-07-03 13:48:59,163 INFO 📄 Index 2 | Name: Tarragona | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Tarragona, ADM3: Tarragona Municipality, ADM4:  | Score: 78.99, Population: 132299 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,163 INFO 📄 Index 3 | Name: Lleida | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Lleida, ADM3: Lleida, ADM4:  | Score: 78.99, Population: 137856 | Fuzzy match: 40.0
2025-07-03 13:48:59,209 INFO 📄 Index 0 | Name: Barcelona | fcl: P, fcode: PPLA | ADM1: Catalonia, ADM2: Barcelona, ADM3: Barcelona, ADM4:  | Score: 108.47, Population: 1620343 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,210 INFO 📄 Index 1 | Name: Terrassa | fcl: P, fcode: PPL | ADM1: Catalonia, ADM2: Barcelona, ADM3: Terrassa, ADM4:  | Score: 78.99, Population: 218535 | Fuzzy match: 35.29411764705882
2025-07-03 13:48:59,210 INFO 📄 Index 2 | Name: Tarragona | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Tarragona, ADM3: Tarragona Municipality, ADM4:  | Score: 78.99, Population: 132299 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,210 INFO 📄 Index 3 | Name: Lleida | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Lleida, ADM3: Lleida, ADM4:  | Score: 78.99, Population: 137856 | Fuzzy match: 40.0
2025-07-03 13:48:59,255 INFO 📄 Index 0 | Name: Barcelona | fcl: P, fcode: PPLA | ADM1: Catalonia, ADM2: Barcelona, ADM3: Barcelona, ADM4:  | Score: 108.47, Population: 1620343 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,256 INFO 📄 Index 1 | Name: Terrassa | fcl: P, fcode: PPL | ADM1: Catalonia, ADM2: Barcelona, ADM3: Terrassa, ADM4:  | Score: 78.99, Population: 218535 | Fuzzy match: 35.29411764705882
2025-07-03 13:48:59,256 INFO 📄 Index 2 | Name: Tarragona | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Tarragona, ADM3: Tarragona Municipality, ADM4:  | Score: 78.99, Population: 132299 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,256 INFO 📄 Index 3 | Name: Lleida | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Lleida, ADM3: Lleida, ADM4:  | Score: 78.99, Population: 137856 | Fuzzy match: 40.0
2025-07-03 13:48:59,299 INFO 📄 Index 0 | Name: Barcelona | fcl: P, fcode: PPLA | ADM1: Catalonia, ADM2: Barcelona, ADM3: Barcelona, ADM4:  | Score: 108.47, Population: 1620343 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,299 INFO 📄 Index 1 | Name: Terrassa | fcl: P, fcode: PPL | ADM1: Catalonia, ADM2: Barcelona, ADM3: Terrassa, ADM4:  | Score: 78.99, Population: 218535 | Fuzzy match: 35.29411764705882
2025-07-03 13:48:59,299 INFO 📄 Index 2 | Name: Tarragona | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Tarragona, ADM3: Tarragona Municipality, ADM4:  | Score: 78.99, Population: 132299 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,299 INFO 📄 Index 3 | Name: Lleida | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Lleida, ADM3: Lleida, ADM4:  | Score: 78.99, Population: 137856 | Fuzzy match: 40.0
2025-07-03 13:48:59,341 INFO 📄 Index 0 | Name: Barcelona | fcl: P, fcode: PPLA | ADM1: Catalonia, ADM2: Barcelona, ADM3: Barcelona, ADM4:  | Score: 108.47, Population: 1620343 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,341 INFO 📄 Index 1 | Name: Terrassa | fcl: P, fcode: PPL | ADM1: Catalonia, ADM2: Barcelona, ADM3: Terrassa, ADM4:  | Score: 78.99, Population: 218535 | Fuzzy match: 35.29411764705882
2025-07-03 13:48:59,341 INFO 📄 Index 2 | Name: Tarragona | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Tarragona, ADM3: Tarragona Municipality, ADM4:  | Score: 78.99, Population: 132299 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,341 INFO 📄 Index 3 | Name: Lleida | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Lleida, ADM3: Lleida, ADM4:  | Score: 78.99, Population: 137856 | Fuzzy match: 40.0
2025-07-03 13:48:59,385 INFO 📄 Index 0 | Name: Barcelona | fcl: P, fcode: PPLA | ADM1: Catalonia, ADM2: Barcelona, ADM3: Barcelona, ADM4:  | Score: 108.47, Population: 1620343 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,385 INFO 📄 Index 1 | Name: Terrassa | fcl: P, fcode: PPL | ADM1: Catalonia, ADM2: Barcelona, ADM3: Terrassa, ADM4:  | Score: 78.99, Population: 218535 | Fuzzy match: 35.29411764705882
2025-07-03 13:48:59,385 INFO 📄 Index 2 | Name: Tarragona | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Tarragona, ADM3: Tarragona Municipality, ADM4:  | Score: 78.99, Population: 132299 | Fuzzy match: 55.55555555555556
2025-07-03 13:48:59,385 INFO 📄 Index 3 | Name: Lleida | fcl: P, fcode: PPLA2 | ADM1: Catalonia, ADM2: Lleida, ADM3: Lleida, ADM4:  | Score: 78.99, Population: 137856 | Fuzzy match: 40.0
2025-07-03 13:48:59,385 WARNING ❌ No match found with fuzzy score > 80 for city: catalonia
2025-07-03 13:48:59,385 WARNING ❌ Lookup failed for city='catalonia', iso2='ES'
