2025-07-03 13:50:44,343 INFO 📍 Starting GeoNames lookup for city='vitoria', country='usa'
2025-07-03 13:50:44,408 INFO 📄 Index 0 | Name: Vitoria-Gasteiz | fcl: P, fcode: PPLA | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 115.68, Population: 249176 | Fuzzy match: 63.63636363636363
2025-07-03 13:50:44,408 INFO 📄 Index 1 | Name: Zuhatzu / Zuazo de Vitoria | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 32.92, Population: 0 | Fuzzy match: 42.42424242424242
2025-07-03 13:50:44,408 INFO 📄 Index 2 | Name: Erretana | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 26.66666666666667
2025-07-03 13:50:44,408 INFO 📄 Index 3 | Name: Villafranca | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 13:50:44,457 INFO 📄 Index 0 | Name: Vitoria-Gasteiz | fcl: P, fcode: PPLA | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 115.68, Population: 249176 | Fuzzy match: 63.63636363636363
2025-07-03 13:50:44,457 INFO 📄 Index 1 | Name: Zuhatzu / Zuazo de Vitoria | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 32.92, Population: 0 | Fuzzy match: 42.42424242424242
2025-07-03 13:50:44,457 INFO 📄 Index 2 | Name: Erretana | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 26.66666666666667
2025-07-03 13:50:44,457 INFO 📄 Index 3 | Name: Villafranca | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 13:50:44,501 INFO 📄 Index 0 | Name: Vitoria-Gasteiz | fcl: P, fcode: PPLA | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 115.68, Population: 249176 | Fuzzy match: 63.63636363636363
2025-07-03 13:50:44,501 INFO 📄 Index 1 | Name: Zuhatzu / Zuazo de Vitoria | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 32.92, Population: 0 | Fuzzy match: 42.42424242424242
2025-07-03 13:50:44,501 INFO 📄 Index 2 | Name: Erretana | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 26.66666666666667
2025-07-03 13:50:44,501 INFO 📄 Index 3 | Name: Villafranca | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 13:50:44,546 INFO 📄 Index 0 | Name: Vitoria-Gasteiz | fcl: P, fcode: PPLA | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 115.68, Population: 249176 | Fuzzy match: 63.63636363636363
2025-07-03 13:50:44,546 INFO 📄 Index 1 | Name: Zuhatzu / Zuazo de Vitoria | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 32.92, Population: 0 | Fuzzy match: 42.42424242424242
2025-07-03 13:50:44,546 INFO 📄 Index 2 | Name: Erretana | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 26.66666666666667
2025-07-03 13:50:44,546 INFO 📄 Index 3 | Name: Villafranca | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 13:50:44,591 INFO 📄 Index 0 | Name: Vitoria-Gasteiz | fcl: P, fcode: PPLA | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 115.68, Population: 249176 | Fuzzy match: 63.63636363636363
2025-07-03 13:50:44,591 INFO 📄 Index 1 | Name: Zuhatzu / Zuazo de Vitoria | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 32.92, Population: 0 | Fuzzy match: 42.42424242424242
2025-07-03 13:50:44,591 INFO 📄 Index 2 | Name: Erretana | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 26.66666666666667
2025-07-03 13:50:44,591 INFO 📄 Index 3 | Name: Villafranca | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 13:50:44,635 INFO 📄 Index 0 | Name: Vitoria-Gasteiz | fcl: P, fcode: PPLA | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 115.68, Population: 249176 | Fuzzy match: 63.63636363636363
2025-07-03 13:50:44,635 INFO 📄 Index 1 | Name: Zuhatzu / Zuazo de Vitoria | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 32.92, Population: 0 | Fuzzy match: 42.42424242424242
2025-07-03 13:50:44,635 INFO 📄 Index 2 | Name: Erretana | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 26.66666666666667
2025-07-03 13:50:44,635 INFO 📄 Index 3 | Name: Villafranca | fcl: P, fcode: PPL | ADM1: Basque Country, ADM2: Araba / Álava, ADM3: Vitoria-Gasteiz, ADM4:  | Score: 30.27, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 13:50:44,635 WARNING ❌ No match found with fuzzy score > 80 for city: vitoria
2025-07-03 13:50:44,636 WARNING ❌ Lookup failed for city='vitoria', iso2='ES'
