2025-07-04 01:15:33,085 INFO 📍 Starting GeoNames lookup for city='beauvoir', country='germany'
2025-07-04 01:15:33,137 INFO 📄 Index 0 | Name: Mignaloux-Beauvoir | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Vienne, ADM3: Arrondissement of Poitiers, ADM4: Mignaloux-Beauvoir | Score: 37.04, Population: 3784 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,137 INFO 📄 Index 1 | Name: Saint-Hilaire-de-Beauvoir | fcl: P, fcode: PPL | ADM1: Occitanie, ADM2: Hérault, ADM3: Arrondissement of Lodève, ADM4: Saint-Hilaire-de-Beauvoir | Score: 35.01, Population: 310 | Fuzzy match: 48.484848484848484
2025-07-04 01:15:33,137 INFO 📄 Index 2 | Name: Beauvoir-sur-Niort | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Deux-Sèvres, ADM3: Arrondissement of Niort, ADM4: Beauvoir-sur-Niort | Score: 32.92, Population: 1377 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,137 INFO 📄 Index 3 | Name: Labastide-Beauvoir | fcl: P, fcode: PPL | ADM1: Occitanie, ADM2: Upper Garonne, ADM3: Arrondissement of Toulouse, ADM4: Labastide-Beauvoir | Score: 29.27, Population: 1016 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,186 INFO 📄 Index 0 | Name: Mignaloux-Beauvoir | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Vienne, ADM3: Arrondissement of Poitiers, ADM4: Mignaloux-Beauvoir | Score: 37.04, Population: 3784 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,186 INFO 📄 Index 1 | Name: Saint-Hilaire-de-Beauvoir | fcl: P, fcode: PPL | ADM1: Occitanie, ADM2: Hérault, ADM3: Arrondissement of Lodève, ADM4: Saint-Hilaire-de-Beauvoir | Score: 35.01, Population: 310 | Fuzzy match: 48.484848484848484
2025-07-04 01:15:33,186 INFO 📄 Index 2 | Name: Beauvoir-sur-Niort | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Deux-Sèvres, ADM3: Arrondissement of Niort, ADM4: Beauvoir-sur-Niort | Score: 32.92, Population: 1377 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,186 INFO 📄 Index 3 | Name: Labastide-Beauvoir | fcl: P, fcode: PPL | ADM1: Occitanie, ADM2: Upper Garonne, ADM3: Arrondissement of Toulouse, ADM4: Labastide-Beauvoir | Score: 29.27, Population: 1016 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,236 INFO 📄 Index 0 | Name: Mignaloux-Beauvoir | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Vienne, ADM3: Arrondissement of Poitiers, ADM4: Mignaloux-Beauvoir | Score: 37.04, Population: 3784 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,237 INFO 📄 Index 1 | Name: Saint-Hilaire-de-Beauvoir | fcl: P, fcode: PPL | ADM1: Occitanie, ADM2: Hérault, ADM3: Arrondissement of Lodève, ADM4: Saint-Hilaire-de-Beauvoir | Score: 35.01, Population: 310 | Fuzzy match: 48.484848484848484
2025-07-04 01:15:33,237 INFO 📄 Index 2 | Name: Beauvoir-sur-Niort | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Deux-Sèvres, ADM3: Arrondissement of Niort, ADM4: Beauvoir-sur-Niort | Score: 32.92, Population: 1377 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,237 INFO 📄 Index 3 | Name: Labastide-Beauvoir | fcl: P, fcode: PPL | ADM1: Occitanie, ADM2: Upper Garonne, ADM3: Arrondissement of Toulouse, ADM4: Labastide-Beauvoir | Score: 29.27, Population: 1016 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,287 INFO 📄 Index 0 | Name: Mignaloux-Beauvoir | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Vienne, ADM3: Arrondissement of Poitiers, ADM4: Mignaloux-Beauvoir | Score: 37.04, Population: 3784 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,287 INFO 📄 Index 1 | Name: Saint-Hilaire-de-Beauvoir | fcl: P, fcode: PPL | ADM1: Occitanie, ADM2: Hérault, ADM3: Arrondissement of Lodève, ADM4: Saint-Hilaire-de-Beauvoir | Score: 35.01, Population: 310 | Fuzzy match: 48.484848484848484
2025-07-04 01:15:33,287 INFO 📄 Index 2 | Name: Beauvoir-sur-Niort | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Deux-Sèvres, ADM3: Arrondissement of Niort, ADM4: Beauvoir-sur-Niort | Score: 32.92, Population: 1377 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,287 INFO 📄 Index 3 | Name: Labastide-Beauvoir | fcl: P, fcode: PPL | ADM1: Occitanie, ADM2: Upper Garonne, ADM3: Arrondissement of Toulouse, ADM4: Labastide-Beauvoir | Score: 29.27, Population: 1016 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,337 INFO 📄 Index 0 | Name: Mignaloux-Beauvoir | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Vienne, ADM3: Arrondissement of Poitiers, ADM4: Mignaloux-Beauvoir | Score: 37.04, Population: 3784 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:33,337 INFO 📄 Index 1 | Name: Saint-Hilaire-de-Beauvoir | fcl: P, fcode: PPL | ADM1: Occitanie, ADM2: Hérault, ADM3: Arrondissement of Lodève, ADM4: Saint-Hilaire-de-Beauvoir | Score: 35.01, Population: 310 | Fuzzy match: 48.484848484848484
2025-07-04 01:15:33,337 INFO 📄 Index 2 | Name: Beauvoir-sur-Niort | fcl: P, fcode: PPL | ADM1: Nouvelle-Aquitaine, ADM2: Deux-Sèvres, ADM3: Arrondissement of Niort, ADM4: Beauvoir-sur-Niort | Score: 32.92, Population: 1377 | Fuzzy match: 61.53846153846154
