2025-07-03 16:42:50,976 INFO 📍 Starting GeoNames lookup for city='dunkerque', country='australia'
2025-07-03 16:42:51,064 INFO 📄 Index 0 | Name: Dunkirk | fcl: P, fcode: PPLA3 | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Dunkerque | Score: 69.36, Population: 71287 | Fuzzy match: 62.5
2025-07-03 16:42:51,065 INFO 📄 Index 1 | Name: Hazebrouck | fcl: P, fcode: PPL | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Hazebrouck | Score: 46.53, Population: 23307 | Fuzzy match: 31.57894736842105
2025-07-03 16:42:51,065 INFO 📄 Index 2 | Name: Coudekerque-Branche | fcl: P, fcode: PPL | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Coudekerque-Branche | Score: 40.29, Population: 25201 | Fuzzy match: 50.0
2025-07-03 16:42:51,065 INFO 📄 Index 3 | Name: Grande-Synthe | fcl: P, fcode: PPL | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Grande-Synthe | Score: 35.75, Population: 23213 | Fuzzy match: 27.27272727272727
2025-07-03 16:42:51,108 INFO 📄 Index 0 | Name: Dunkirk | fcl: P, fcode: PPLA3 | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Dunkerque | Score: 69.36, Population: 71287 | Fuzzy match: 62.5
2025-07-03 16:42:51,108 INFO 📄 Index 1 | Name: Hazebrouck | fcl: P, fcode: PPL | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Hazebrouck | Score: 46.53, Population: 23307 | Fuzzy match: 31.57894736842105
2025-07-03 16:42:51,108 INFO 📄 Index 2 | Name: Coudekerque-Branche | fcl: P, fcode: PPL | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Coudekerque-Branche | Score: 40.29, Population: 25201 | Fuzzy match: 50.0
2025-07-03 16:42:51,108 INFO 📄 Index 3 | Name: Grande-Synthe | fcl: P, fcode: PPL | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Grande-Synthe | Score: 35.75, Population: 23213 | Fuzzy match: 27.27272727272727
2025-07-03 16:42:51,155 INFO 📄 Index 0 | Name: Dunkirk | fcl: P, fcode: PPLA3 | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Dunkerque | Score: 69.36, Population: 71287 | Fuzzy match: 62.5
2025-07-03 16:42:51,155 INFO 📄 Index 1 | Name: Hazebrouck | fcl: P, fcode: PPL | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Hazebrouck | Score: 46.53, Population: 23307 | Fuzzy match: 31.57894736842105
2025-07-03 16:42:51,155 INFO 📄 Index 2 | Name: Coudekerque-Branche | fcl: P, fcode: PPL | ADM1: Hauts-de-France, ADM2: North, ADM3: Dunkirk, ADM4: Coudekerque-Branche | Score: 40.29, Population: 25201 | Fuzzy match: 50.0
