2025-07-03 11:53:51,049 INFO 📍 Starting GeoNames lookup for city='flins', country='germany'
2025-07-03 11:53:51,096 INFO 📄 Index 0 | Name: Flins-sur-Seine | fcl: P, fcode: PPL | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-sur-Seine | Score: 29.13, Population: 2328 | Fuzzy match: 50.0
2025-07-03 11:53:51,097 INFO 📄 Index 1 | Name: Flins-Neuve-Église | fcl: P, fcode: PPL | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-Neuve-Église | Score: 21.21, Population: 162 | Fuzzy match: 43.47826086956522
2025-07-03 11:53:51,097 INFO 📄 Index 2 | Name: Flins-Neuve-Église | fcl: A, fcode: ADM4 | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-Neuve-Église | Score: 17.08, Population: 156 | Fuzzy match: 43.47826086956522
2025-07-03 11:53:51,097 INFO 📄 Index 3 | Name: Flins-sur-Seine | fcl: A, fcode: ADM4 | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-sur-Seine | Score: 16.21, Population: 2381 | Fuzzy match: 50.0
2025-07-03 11:53:51,144 INFO 📄 Index 0 | Name: Flins-sur-Seine | fcl: P, fcode: PPL | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-sur-Seine | Score: 29.13, Population: 2328 | Fuzzy match: 50.0
2025-07-03 11:53:51,144 INFO 📄 Index 1 | Name: Flins-Neuve-Église | fcl: P, fcode: PPL | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-Neuve-Église | Score: 21.21, Population: 162 | Fuzzy match: 43.47826086956522
2025-07-03 11:53:51,144 INFO 📄 Index 2 | Name: Flins-Neuve-Église | fcl: A, fcode: ADM4 | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-Neuve-Église | Score: 17.08, Population: 156 | Fuzzy match: 43.47826086956522
2025-07-03 11:53:51,145 INFO 📄 Index 3 | Name: Flins-sur-Seine | fcl: A, fcode: ADM4 | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-sur-Seine | Score: 16.21, Population: 2381 | Fuzzy match: 50.0
2025-07-03 11:53:51,194 INFO 📄 Index 0 | Name: Flins-sur-Seine | fcl: P, fcode: PPL | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-sur-Seine | Score: 29.13, Population: 2328 | Fuzzy match: 50.0
2025-07-03 11:53:51,194 INFO 📄 Index 1 | Name: Flins-Neuve-Église | fcl: P, fcode: PPL | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-Neuve-Église | Score: 21.21, Population: 162 | Fuzzy match: 43.47826086956522
2025-07-03 11:53:51,195 INFO 📄 Index 2 | Name: Flins-Neuve-Église | fcl: A, fcode: ADM4 | ADM1: Île-de-France, ADM2: Yvelines, ADM3: Arrondissement of Mantes-la-Jolie, ADM4: Flins-Neuve-Église | Score: 17.08, Population: 156 | Fuzzy match: 43.47826086956522
