2025-07-03 16:40:28,824 INFO 📍 Starting GeoNames lookup for city='essex', country='united states'
2025-07-03 16:40:28,964 INFO 📄 Index 0 | Name: Colchester | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Colchester District, ADM4:  | Score: 60.12, Population: 121859 | Fuzzy match: 40.0
2025-07-03 16:40:28,965 INFO 📄 Index 1 | Name: Basildon | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Basildon District, ADM4:  | Score: 60.12, Population: 144859 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:28,965 INFO 📄 Index 2 | Name: Chelmsford | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Essex, ADM3: Chelmsford District, ADM4:  | Score: 53.76, Population: 111511 | Fuzzy match: 26.66666666666667
2025-07-03 16:40:28,965 INFO 📄 Index 3 | Name: Harlow | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Harlow District, ADM4:  | Score: 52.22, Population: 94365 | Fuzzy match: 0.0
2025-07-03 16:40:29,010 INFO 📄 Index 0 | Name: Colchester | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Colchester District, ADM4:  | Score: 60.12, Population: 121859 | Fuzzy match: 40.0
2025-07-03 16:40:29,011 INFO 📄 Index 1 | Name: Basildon | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Basildon District, ADM4:  | Score: 60.12, Population: 144859 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:29,011 INFO 📄 Index 2 | Name: Chelmsford | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Essex, ADM3: Chelmsford District, ADM4:  | Score: 53.76, Population: 111511 | Fuzzy match: 26.66666666666667
2025-07-03 16:40:29,011 INFO 📄 Index 3 | Name: Harlow | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Harlow District, ADM4:  | Score: 52.22, Population: 94365 | Fuzzy match: 0.0
2025-07-03 16:40:29,054 INFO 📄 Index 0 | Name: Colchester | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Colchester District, ADM4:  | Score: 60.12, Population: 121859 | Fuzzy match: 40.0
2025-07-03 16:40:29,054 INFO 📄 Index 1 | Name: Basildon | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Basildon District, ADM4:  | Score: 60.12, Population: 144859 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:29,055 INFO 📄 Index 2 | Name: Chelmsford | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Essex, ADM3: Chelmsford District, ADM4:  | Score: 53.76, Population: 111511 | Fuzzy match: 26.66666666666667
2025-07-03 16:40:29,055 INFO 📄 Index 3 | Name: Harlow | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Harlow District, ADM4:  | Score: 52.22, Population: 94365 | Fuzzy match: 0.0
2025-07-03 16:40:29,098 INFO 📄 Index 0 | Name: Colchester | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Colchester District, ADM4:  | Score: 60.12, Population: 121859 | Fuzzy match: 40.0
2025-07-03 16:40:29,098 INFO 📄 Index 1 | Name: Basildon | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Basildon District, ADM4:  | Score: 60.12, Population: 144859 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:29,098 INFO 📄 Index 2 | Name: Chelmsford | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Essex, ADM3: Chelmsford District, ADM4:  | Score: 53.76, Population: 111511 | Fuzzy match: 26.66666666666667
2025-07-03 16:40:29,098 INFO 📄 Index 3 | Name: Harlow | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Harlow District, ADM4:  | Score: 52.22, Population: 94365 | Fuzzy match: 0.0
2025-07-03 16:40:29,145 INFO 📄 Index 0 | Name: Colchester | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Colchester District, ADM4:  | Score: 60.12, Population: 121859 | Fuzzy match: 40.0
2025-07-03 16:40:29,146 INFO 📄 Index 1 | Name: Basildon | fcl: P, fcode: PPL | ADM1: England, ADM2: Essex, ADM3: Basildon District, ADM4:  | Score: 60.12, Population: 144859 | Fuzzy match: 15.384615384615385
