2025-07-03 16:39:11,766 INFO 📍 Starting GeoNames lookup for city='merseyside', country='germany'
2025-07-03 16:39:11,874 INFO 📄 Index 0 | Name: Liverpool | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Liverpool, ADM3: , ADM4:  | Score: 86.26, Population: 864122 | Fuzzy match: 21.052631578947366
2025-07-03 16:39:11,874 INFO 📄 Index 1 | Name: Birkenhead | fcl: P, fcode: PPL | ADM1: England, ADM2: Wirral, ADM3: , ADM4:  | Score: 50.74, Population: 325264 | Fuzzy match: 30.000000000000004
2025-07-03 16:39:11,874 INFO 📄 Index 2 | Name: St Helens | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: St. Helens, ADM3: , ADM4:  | Score: 44.26, Population: 183200 | Fuzzy match: 31.57894736842105
2025-07-03 16:39:11,874 INFO 📄 Index 3 | Name: Southport | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Sefton, ADM3: , ADM4:  | Score: 37.78, Population: 91703 | Fuzzy match: 10.526315789473683
2025-07-03 16:39:11,921 INFO 📄 Index 0 | Name: Liverpool | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Liverpool, ADM3: , ADM4:  | Score: 86.26, Population: 864122 | Fuzzy match: 21.052631578947366
2025-07-03 16:39:11,921 INFO 📄 Index 1 | Name: Birkenhead | fcl: P, fcode: PPL | ADM1: England, ADM2: Wirral, ADM3: , ADM4:  | Score: 50.74, Population: 325264 | Fuzzy match: 30.000000000000004
2025-07-03 16:39:11,921 INFO 📄 Index 2 | Name: St Helens | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: St. Helens, ADM3: , ADM4:  | Score: 44.26, Population: 183200 | Fuzzy match: 31.57894736842105
2025-07-03 16:39:11,921 INFO 📄 Index 3 | Name: Southport | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Sefton, ADM3: , ADM4:  | Score: 37.78, Population: 91703 | Fuzzy match: 10.526315789473683
2025-07-03 16:39:11,968 INFO 📄 Index 0 | Name: Liverpool | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Liverpool, ADM3: , ADM4:  | Score: 86.26, Population: 864122 | Fuzzy match: 21.052631578947366
2025-07-03 16:39:11,968 INFO 📄 Index 1 | Name: Birkenhead | fcl: P, fcode: PPL | ADM1: England, ADM2: Wirral, ADM3: , ADM4:  | Score: 50.74, Population: 325264 | Fuzzy match: 30.000000000000004
2025-07-03 16:39:11,968 INFO 📄 Index 2 | Name: St Helens | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: St. Helens, ADM3: , ADM4:  | Score: 44.26, Population: 183200 | Fuzzy match: 31.57894736842105
2025-07-03 16:39:11,968 INFO 📄 Index 3 | Name: Southport | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Sefton, ADM3: , ADM4:  | Score: 37.78, Population: 91703 | Fuzzy match: 10.526315789473683
2025-07-03 16:39:12,012 INFO 📄 Index 0 | Name: Liverpool | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Liverpool, ADM3: , ADM4:  | Score: 86.26, Population: 864122 | Fuzzy match: 21.052631578947366
2025-07-03 16:39:12,012 INFO 📄 Index 1 | Name: Birkenhead | fcl: P, fcode: PPL | ADM1: England, ADM2: Wirral, ADM3: , ADM4:  | Score: 50.74, Population: 325264 | Fuzzy match: 30.000000000000004
2025-07-03 16:39:12,012 INFO 📄 Index 2 | Name: St Helens | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: St. Helens, ADM3: , ADM4:  | Score: 44.26, Population: 183200 | Fuzzy match: 31.57894736842105
2025-07-03 16:39:12,012 INFO 📄 Index 3 | Name: Southport | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Sefton, ADM3: , ADM4:  | Score: 37.78, Population: 91703 | Fuzzy match: 10.526315789473683
2025-07-03 16:39:12,054 INFO 📄 Index 0 | Name: Liverpool | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Liverpool, ADM3: , ADM4:  | Score: 86.26, Population: 864122 | Fuzzy match: 21.052631578947366
2025-07-03 16:39:12,055 INFO 📄 Index 1 | Name: Birkenhead | fcl: P, fcode: PPL | ADM1: England, ADM2: Wirral, ADM3: , ADM4:  | Score: 50.74, Population: 325264 | Fuzzy match: 30.000000000000004
2025-07-03 16:39:12,055 INFO 📄 Index 2 | Name: St Helens | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: St. Helens, ADM3: , ADM4:  | Score: 44.26, Population: 183200 | Fuzzy match: 31.57894736842105
2025-07-03 16:39:12,055 INFO 📄 Index 3 | Name: Southport | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Sefton, ADM3: , ADM4:  | Score: 37.78, Population: 91703 | Fuzzy match: 10.526315789473683
2025-07-03 16:39:12,096 INFO 📄 Index 0 | Name: Liverpool | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Liverpool, ADM3: , ADM4:  | Score: 86.26, Population: 864122 | Fuzzy match: 21.052631578947366
2025-07-03 16:39:12,096 INFO 📄 Index 1 | Name: Birkenhead | fcl: P, fcode: PPL | ADM1: England, ADM2: Wirral, ADM3: , ADM4:  | Score: 50.74, Population: 325264 | Fuzzy match: 30.000000000000004
2025-07-03 16:39:12,096 INFO 📄 Index 2 | Name: St Helens | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: St. Helens, ADM3: , ADM4:  | Score: 44.26, Population: 183200 | Fuzzy match: 31.57894736842105
2025-07-03 16:39:12,097 INFO 📄 Index 3 | Name: Southport | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Sefton, ADM3: , ADM4:  | Score: 37.78, Population: 91703 | Fuzzy match: 10.526315789473683
2025-07-03 16:39:12,097 WARNING ❌ No match found with fuzzy score > 80 for city: merseyside
2025-07-03 16:39:12,097 WARNING ❌ Lookup failed for city='merseyside', iso2='GB'
