2025-07-03 16:39:12,098 INFO 📍 Starting GeoNames lookup for city='midlands', country='germany'
2025-07-03 16:39:12,297 INFO 📄 Index 0 | Name: Birmingham | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Birmingham, ADM3: , ADM4:  | Score: 107.13, Population: 1144919 | Fuzzy match: 33.333333333333336
2025-07-03 16:39:12,297 INFO 📄 Index 1 | Name: Coventry | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Coventry, ADM3: , ADM4:  | Score: 53.56, Population: 345324 | Fuzzy match: 12.5
2025-07-03 16:39:12,297 INFO 📄 Index 2 | Name: Wolverhampton | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Wolverhampton, ADM3: , ADM4:  | Score: 53.56, Population: 263700 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:12,297 INFO 📄 Index 3 | Name: West Bromwich | fcl: P, fcode: PPL | ADM1: England, ADM2: Sandwell, ADM3: , ADM4:  | Score: 52.69, Population: 135618 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:12,347 INFO 📄 Index 0 | Name: Birmingham | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Birmingham, ADM3: , ADM4:  | Score: 107.13, Population: 1144919 | Fuzzy match: 33.333333333333336
2025-07-03 16:39:12,347 INFO 📄 Index 1 | Name: Coventry | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Coventry, ADM3: , ADM4:  | Score: 53.56, Population: 345324 | Fuzzy match: 12.5
2025-07-03 16:39:12,347 INFO 📄 Index 2 | Name: Wolverhampton | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Wolverhampton, ADM3: , ADM4:  | Score: 53.56, Population: 263700 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:12,348 INFO 📄 Index 3 | Name: West Bromwich | fcl: P, fcode: PPL | ADM1: England, ADM2: Sandwell, ADM3: , ADM4:  | Score: 52.69, Population: 135618 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:12,393 INFO 📄 Index 0 | Name: Birmingham | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Birmingham, ADM3: , ADM4:  | Score: 107.13, Population: 1144919 | Fuzzy match: 33.333333333333336
2025-07-03 16:39:12,393 INFO 📄 Index 1 | Name: Coventry | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Coventry, ADM3: , ADM4:  | Score: 53.56, Population: 345324 | Fuzzy match: 12.5
2025-07-03 16:39:12,393 INFO 📄 Index 2 | Name: Wolverhampton | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Wolverhampton, ADM3: , ADM4:  | Score: 53.56, Population: 263700 | Fuzzy match: 28.57142857142857
