2025-07-03 16:40:58,181 INFO 📍 Starting GeoNames lookup for city='suffolk', country='germany'
2025-07-03 16:40:58,267 INFO 📄 Index 0 | Name: Ipswich | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Suffolk, ADM3: Ipswich District, ADM4:  | Score: 53.62, Population: 178835 | Fuzzy match: 14.28571428571429
2025-07-03 16:40:58,267 INFO 📄 Index 1 | Name: Lowestoft | fcl: P, fcode: PPL | ADM1: England, ADM2: Suffolk, ADM3: Waveney District, ADM4:  | Score: 45.74, Population: 70945 | Fuzzy match: 25.0
2025-07-03 16:40:58,267 INFO 📄 Index 2 | Name: West Suffolk | fcl: A, fcode: ADM1H | ADM1: England, ADM2: , ADM3: , ADM4:  | Score: 45.63, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 16:40:58,267 INFO 📄 Index 3 | Name: Bury St | fcl: P, fcode: PPL | ADM1: England, ADM2: Suffolk, ADM3: St. Edmundsbury District, ADM4: Bury St. Edmunds | Score: 44.17, Population: 42812 | Fuzzy match: 14.28571428571429
2025-07-03 16:40:58,312 INFO 📄 Index 0 | Name: Ipswich | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Suffolk, ADM3: Ipswich District, ADM4:  | Score: 53.62, Population: 178835 | Fuzzy match: 14.28571428571429
2025-07-03 16:40:58,312 INFO 📄 Index 1 | Name: Lowestoft | fcl: P, fcode: PPL | ADM1: England, ADM2: Suffolk, ADM3: Waveney District, ADM4:  | Score: 45.74, Population: 70945 | Fuzzy match: 25.0
2025-07-03 16:40:58,312 INFO 📄 Index 2 | Name: West Suffolk | fcl: A, fcode: ADM1H | ADM1: England, ADM2: , ADM3: , ADM4:  | Score: 45.63, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 16:40:58,313 INFO 📄 Index 3 | Name: Bury St | fcl: P, fcode: PPL | ADM1: England, ADM2: Suffolk, ADM3: St. Edmundsbury District, ADM4: Bury St. Edmunds | Score: 44.17, Population: 42812 | Fuzzy match: 14.28571428571429
2025-07-03 16:40:58,357 INFO 📄 Index 0 | Name: Ipswich | fcl: P, fcode: PPLA2 | ADM1: England, ADM2: Suffolk, ADM3: Ipswich District, ADM4:  | Score: 53.62, Population: 178835 | Fuzzy match: 14.28571428571429
2025-07-03 16:40:58,357 INFO 📄 Index 1 | Name: Lowestoft | fcl: P, fcode: PPL | ADM1: England, ADM2: Suffolk, ADM3: Waveney District, ADM4:  | Score: 45.74, Population: 70945 | Fuzzy match: 25.0
2025-07-03 16:40:58,357 INFO 📄 Index 2 | Name: West Suffolk | fcl: A, fcode: ADM1H | ADM1: England, ADM2: , ADM3: , ADM4:  | Score: 45.63, Population: 0 | Fuzzy match: 73.6842105263158
