2025-07-03 13:51:12,365 INFO 📍 Starting GeoNames lookup for city='warwickshire', country='united states'
2025-07-03 13:51:12,656 INFO 📄 Index 0 | Name: Nuneaton | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Nuneaton and Bedworth District, ADM4:  | Score: 51.34, Population: 92698 | Fuzzy match: 9.999999999999998
2025-07-03 13:51:12,657 INFO 📄 Index 1 | Name: Royal Leamington Spa | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Warwick District, ADM4: Royal Leamington Spa | Score: 49.20, Population: 95172 | Fuzzy match: 18.75
2025-07-03 13:51:12,657 INFO 📄 Index 2 | Name: Stratford-upon-Avon | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Stratford-on-Avon District, ADM4: Stratford-upon-Avon | Score: 49.20, Population: 27830 | Fuzzy match: 12.903225806451612
2025-07-03 13:51:12,657 INFO 📄 Index 3 | Name: Rugby | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Rugby District, ADM4:  | Score: 44.97, Population: 73150 | Fuzzy match: 11.764705882352944
2025-07-03 13:51:12,703 INFO 📄 Index 0 | Name: Nuneaton | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Nuneaton and Bedworth District, ADM4:  | Score: 51.34, Population: 92698 | Fuzzy match: 9.999999999999998
2025-07-03 13:51:12,703 INFO 📄 Index 1 | Name: Royal Leamington Spa | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Warwick District, ADM4: Royal Leamington Spa | Score: 49.20, Population: 95172 | Fuzzy match: 18.75
2025-07-03 13:51:12,703 INFO 📄 Index 2 | Name: Stratford-upon-Avon | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Stratford-on-Avon District, ADM4: Stratford-upon-Avon | Score: 49.20, Population: 27830 | Fuzzy match: 12.903225806451612
2025-07-03 13:51:12,703 INFO 📄 Index 3 | Name: Rugby | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Rugby District, ADM4:  | Score: 44.97, Population: 73150 | Fuzzy match: 11.764705882352944
2025-07-03 13:51:12,745 INFO 📄 Index 0 | Name: Nuneaton | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Nuneaton and Bedworth District, ADM4:  | Score: 51.34, Population: 92698 | Fuzzy match: 9.999999999999998
2025-07-03 13:51:12,746 INFO 📄 Index 1 | Name: Royal Leamington Spa | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Warwick District, ADM4: Royal Leamington Spa | Score: 49.20, Population: 95172 | Fuzzy match: 18.75
2025-07-03 13:51:12,746 INFO 📄 Index 2 | Name: Stratford-upon-Avon | fcl: P, fcode: PPL | ADM1: England, ADM2: Warwickshire, ADM3: Stratford-on-Avon District, ADM4: Stratford-upon-Avon | Score: 49.20, Population: 27830 | Fuzzy match: 12.903225806451612
