2025-07-03 11:53:52,337 INFO 📍 Starting GeoNames lookup for city='saxony', country='germany'
2025-07-03 11:53:52,395 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 69.69, Population: 515140 | Fuzzy match: 30.76923076923077
2025-07-03 11:53:52,395 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 68.96, Population: 597493 | Fuzzy match: 19.999999999999996
2025-07-03 11:53:52,395 INFO 📄 Index 2 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 66.87, Population: 504971 | Fuzzy match: 0.0
2025-07-03 11:53:52,396 INFO 📄 Index 3 | Name: Dresden | fcl: P, fcode: PPLA | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Dresden, ADM4: Dresden | Score: 66.87, Population: 556227 | Fuzzy match: 30.76923076923077
2025-07-03 11:53:52,452 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 69.69, Population: 515140 | Fuzzy match: 30.76923076923077
2025-07-03 11:53:52,452 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 68.96, Population: 597493 | Fuzzy match: 19.999999999999996
2025-07-03 11:53:52,452 INFO 📄 Index 2 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 66.87, Population: 504971 | Fuzzy match: 0.0
2025-07-03 11:53:52,452 INFO 📄 Index 3 | Name: Dresden | fcl: P, fcode: PPLA | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Dresden, ADM4: Dresden | Score: 66.87, Population: 556227 | Fuzzy match: 30.76923076923077
2025-07-03 11:53:52,506 INFO 📄 Index 0 | Name: Hanover | fcl: P, fcode: PPLA | ADM1: Lower Saxony, ADM2: , ADM3: Region Hannover, ADM4: Hanover | Score: 69.69, Population: 515140 | Fuzzy match: 30.76923076923077
2025-07-03 11:53:52,506 INFO 📄 Index 1 | Name: Kleinzschocher | fcl: P, fcode: PPLX | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 68.96, Population: 597493 | Fuzzy match: 19.999999999999996
2025-07-03 11:53:52,506 INFO 📄 Index 2 | Name: Leipzig | fcl: P, fcode: PPLA3 | ADM1: Saxony, ADM2: , ADM3: Kreisfreie Stadt Leipzig, ADM4: Leipzig | Score: 66.87, Population: 504971 | Fuzzy match: 0.0
