2025-07-03 11:53:52,677 INFO 📍 Starting GeoNames lookup for city='stuttgart-zuffenhausen', country='germany'
2025-07-03 11:53:52,726 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 11:53:52,726 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 11:53:52,726 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 11:53:52,726 INFO 📄 Index 3 | Name: Zuffenhausen-Schützenbühl | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 7.45, Population: 0 | Fuzzy match: 51.06382978723405
2025-07-03 11:53:52,776 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 11:53:52,776 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 11:53:52,776 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 11:53:52,776 INFO 📄 Index 3 | Name: Zuffenhausen-Schützenbühl | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 7.45, Population: 0 | Fuzzy match: 51.06382978723405
2025-07-03 11:53:52,824 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 11:53:52,825 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 11:53:52,825 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 11:53:52,825 INFO 📄 Index 3 | Name: Zuffenhausen-Schützenbühl | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 7.45, Population: 0 | Fuzzy match: 51.06382978723405
2025-07-03 11:53:52,875 INFO 📄 Index 0 | Name: Zuffenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 19.32, Population: 0 | Fuzzy match: 70.58823529411764
2025-07-03 11:53:52,875 INFO 📄 Index 1 | Name: Zazenhausen | fcl: P, fcode: PPLX | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 15.51, Population: 0 | Fuzzy match: 60.60606060606061
2025-07-03 11:53:52,875 INFO 📄 Index 2 | Name: Zuffenhausen | fcl: A, fcode: ADM5 | ADM1: Baden-Wurttemberg, ADM2: Regierungsbezirk Stuttgart, ADM3: Stadtkreis Stuttgart, ADM4: Stuttgart | Score: 11.36, Population: 0 | Fuzzy match: 70.58823529411764
