2025-07-04 01:15:39,687 INFO 📍 Starting GeoNames lookup for city='goed', country='germany'
2025-07-04 01:15:39,735 INFO 📄 Index 0 | Name: Göd | fcl: P, fcode: PPL | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 39.67, Population: 15874 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:39,736 INFO 📄 Index 1 | Name: Horány | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 13.06, Population: 0 | Fuzzy match: 19.999999999999996
2025-07-04 01:15:39,736 INFO 📄 Index 2 | Name: Újtelep | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 8.58, Population: 0 | Fuzzy match: 18.181818181818176
2025-07-04 01:15:39,785 INFO 📄 Index 0 | Name: Göd | fcl: P, fcode: PPL | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 39.67, Population: 15874 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:39,786 INFO 📄 Index 1 | Name: Horány | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 13.06, Population: 0 | Fuzzy match: 19.999999999999996
2025-07-04 01:15:39,786 INFO 📄 Index 2 | Name: Újtelep | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 8.58, Population: 0 | Fuzzy match: 18.181818181818176
2025-07-04 01:15:39,835 INFO 📄 Index 0 | Name: Göd | fcl: P, fcode: PPL | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 39.67, Population: 15874 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:39,835 INFO 📄 Index 1 | Name: Horány | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 13.06, Population: 0 | Fuzzy match: 19.999999999999996
2025-07-04 01:15:39,836 INFO 📄 Index 2 | Name: Újtelep | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 8.58, Population: 0 | Fuzzy match: 18.181818181818176
2025-07-04 01:15:39,885 INFO 📄 Index 0 | Name: Göd | fcl: P, fcode: PPL | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 39.67, Population: 15874 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:39,885 INFO 📄 Index 1 | Name: Horány | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 13.06, Population: 0 | Fuzzy match: 19.999999999999996
2025-07-04 01:15:39,885 INFO 📄 Index 2 | Name: Újtelep | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 8.58, Population: 0 | Fuzzy match: 18.181818181818176
2025-07-04 01:15:39,935 INFO 📄 Index 0 | Name: Göd | fcl: P, fcode: PPL | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 39.67, Population: 15874 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:39,935 INFO 📄 Index 1 | Name: Horány | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 13.06, Population: 0 | Fuzzy match: 19.999999999999996
2025-07-04 01:15:39,935 INFO 📄 Index 2 | Name: Újtelep | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 8.58, Population: 0 | Fuzzy match: 18.181818181818176
2025-07-04 01:15:39,995 INFO 📄 Index 0 | Name: Göd | fcl: P, fcode: PPL | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 39.67, Population: 15874 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:39,995 INFO 📄 Index 1 | Name: Horány | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 13.06, Population: 0 | Fuzzy match: 19.999999999999996
2025-07-04 01:15:39,995 INFO 📄 Index 2 | Name: Újtelep | fcl: P, fcode: PPLX | ADM1: Pest County, ADM2: , ADM3: , ADM4:  | Score: 8.58, Population: 0 | Fuzzy match: 18.181818181818176
2025-07-04 01:15:39,995 WARNING ❌ No match found with fuzzy score > 80 for city: goed
2025-07-04 01:15:39,995 WARNING ❌ Lookup failed for city='goed', iso2='HU'
