2025-07-03 13:50:39,998 INFO 📍 Starting GeoNames lookup for city='karawang', country='usa'
2025-07-03 13:50:40,060 INFO 📄 Index 0 | Name: Cikampek | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: , ADM4:  | Score: 35.43, Population: 145620 | Fuzzy match: 25.0
2025-07-03 13:50:40,060 INFO 📄 Index 1 | Name: Kabupaten Karawang | fcl: A, fcode: ADM2 | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: , ADM4:  | Score: 33.99, Population: 2267233 | Fuzzy match: 61.53846153846154
2025-07-03 13:50:40,060 INFO 📄 Index 2 | Name: Rengasdengklok | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: , ADM4:  | Score: 31.81, Population: 201463 | Fuzzy match: 36.36363636363637
2025-07-03 13:50:40,060 INFO 📄 Index 3 | Name: Kecamatan Karawang Barat | fcl: A, fcode: ADM3 | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: Kecamatan Karawang Barat, ADM4:  | Score: 20.88, Population: 0 | Fuzzy match: 50.0
2025-07-03 13:50:40,103 INFO 📄 Index 0 | Name: Cikampek | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: , ADM4:  | Score: 35.43, Population: 145620 | Fuzzy match: 25.0
2025-07-03 13:50:40,104 INFO 📄 Index 1 | Name: Kabupaten Karawang | fcl: A, fcode: ADM2 | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: , ADM4:  | Score: 33.99, Population: 2267233 | Fuzzy match: 61.53846153846154
2025-07-03 13:50:40,104 INFO 📄 Index 2 | Name: Rengasdengklok | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: , ADM4:  | Score: 31.81, Population: 201463 | Fuzzy match: 36.36363636363637
2025-07-03 13:50:40,104 INFO 📄 Index 3 | Name: Kecamatan Karawang Barat | fcl: A, fcode: ADM3 | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: Kecamatan Karawang Barat, ADM4:  | Score: 20.88, Population: 0 | Fuzzy match: 50.0
2025-07-03 13:50:40,147 INFO 📄 Index 0 | Name: Cikampek | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: , ADM4:  | Score: 35.43, Population: 145620 | Fuzzy match: 25.0
2025-07-03 13:50:40,147 INFO 📄 Index 1 | Name: Kabupaten Karawang | fcl: A, fcode: ADM2 | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: , ADM4:  | Score: 33.99, Population: 2267233 | Fuzzy match: 61.53846153846154
2025-07-03 13:50:40,147 INFO 📄 Index 2 | Name: Rengasdengklok | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Karawang, ADM3: , ADM4:  | Score: 31.81, Population: 201463 | Fuzzy match: 36.36363636363637
