2025-07-03 16:40:39,482 INFO 📍 Starting GeoNames lookup for city='subang', country='thailand'
2025-07-03 16:40:39,805 INFO 📄 Index 0 | Name: Kabupaten Subang | fcl: A, fcode: ADM2 | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 32.77, Population: 1566916 | Fuzzy match: 54.54545454545454
2025-07-03 16:40:39,805 INFO 📄 Index 1 | Name: Pamanukan | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 30.34, Population: 114290 | Fuzzy match: 40.0
2025-07-03 16:40:39,805 INFO 📄 Index 2 | Name: Desa Subang Jaya | fcl: A, fcode: ADM4 | ADM1: Lampung, ADM2: , ADM3: , ADM4:  | Score: 18.72, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 16:40:39,805 INFO 📄 Index 3 | Name: Kelurahan Subang Mas | fcl: A, fcode: ADM4 | ADM1: Riau Islands, ADM2: Kota Batam, ADM3: Kecamatan Galang, ADM4: Kelurahan Subang Mas | Score: 18.35, Population: 0 | Fuzzy match: 46.15384615384615
2025-07-03 16:40:39,847 INFO 📄 Index 0 | Name: Kabupaten Subang | fcl: A, fcode: ADM2 | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 32.77, Population: 1566916 | Fuzzy match: 54.54545454545454
2025-07-03 16:40:39,848 INFO 📄 Index 1 | Name: Pamanukan | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 30.34, Population: 114290 | Fuzzy match: 40.0
2025-07-03 16:40:39,848 INFO 📄 Index 2 | Name: Desa Subang Jaya | fcl: A, fcode: ADM4 | ADM1: Lampung, ADM2: , ADM3: , ADM4:  | Score: 18.72, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 16:40:39,848 INFO 📄 Index 3 | Name: Kelurahan Subang Mas | fcl: A, fcode: ADM4 | ADM1: Riau Islands, ADM2: Kota Batam, ADM3: Kecamatan Galang, ADM4: Kelurahan Subang Mas | Score: 18.35, Population: 0 | Fuzzy match: 46.15384615384615
2025-07-03 16:40:39,890 INFO 📄 Index 0 | Name: Kabupaten Subang | fcl: A, fcode: ADM2 | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 32.77, Population: 1566916 | Fuzzy match: 54.54545454545454
2025-07-03 16:40:39,890 INFO 📄 Index 1 | Name: Pamanukan | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 30.34, Population: 114290 | Fuzzy match: 40.0
2025-07-03 16:40:39,891 INFO 📄 Index 2 | Name: Desa Subang Jaya | fcl: A, fcode: ADM4 | ADM1: Lampung, ADM2: , ADM3: , ADM4:  | Score: 18.72, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 16:40:39,891 INFO 📄 Index 3 | Name: Kelurahan Subang Mas | fcl: A, fcode: ADM4 | ADM1: Riau Islands, ADM2: Kota Batam, ADM3: Kecamatan Galang, ADM4: Kelurahan Subang Mas | Score: 18.35, Population: 0 | Fuzzy match: 46.15384615384615
2025-07-03 16:40:39,934 INFO 📄 Index 0 | Name: Kabupaten Subang | fcl: A, fcode: ADM2 | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 32.77, Population: 1566916 | Fuzzy match: 54.54545454545454
2025-07-03 16:40:39,934 INFO 📄 Index 1 | Name: Pamanukan | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 30.34, Population: 114290 | Fuzzy match: 40.0
2025-07-03 16:40:39,934 INFO 📄 Index 2 | Name: Desa Subang Jaya | fcl: A, fcode: ADM4 | ADM1: Lampung, ADM2: , ADM3: , ADM4:  | Score: 18.72, Population: 0 | Fuzzy match: 54.54545454545454
2025-07-03 16:40:39,934 INFO 📄 Index 3 | Name: Kelurahan Subang Mas | fcl: A, fcode: ADM4 | ADM1: Riau Islands, ADM2: Kota Batam, ADM3: Kecamatan Galang, ADM4: Kelurahan Subang Mas | Score: 18.35, Population: 0 | Fuzzy match: 46.15384615384615
2025-07-03 16:40:39,980 INFO 📄 Index 0 | Name: Kabupaten Subang | fcl: A, fcode: ADM2 | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 32.77, Population: 1566916 | Fuzzy match: 54.54545454545454
2025-07-03 16:40:39,981 INFO 📄 Index 1 | Name: Pamanukan | fcl: P, fcode: PPL | ADM1: West Java, ADM2: Kabupaten Subang, ADM3: , ADM4:  | Score: 30.34, Population: 114290 | Fuzzy match: 40.0
2025-07-03 16:40:39,981 INFO 📄 Index 2 | Name: Desa Subang Jaya | fcl: A, fcode: ADM4 | ADM1: Lampung, ADM2: , ADM3: , ADM4:  | Score: 18.72, Population: 0 | Fuzzy match: 54.54545454545454
