2025-07-04 01:15:40,718 INFO 📍 Starting GeoNames lookup for city='sulawesi', country='germany'
2025-07-04 01:15:40,771 INFO 📄 Index 0 | Name: Makassar | fcl: P, fcode: PPLA | ADM1: South Sulawesi, ADM2: Kota Makassar, ADM3: , ADM4:  | Score: 86.46, Population: 1423877 | Fuzzy match: 25.0
2025-07-04 01:15:40,772 INFO 📄 Index 1 | Name: Southeast Sulawesi | fcl: A, fcode: ADM1 | ADM1: Southeast Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 82.84, Population: 2659156 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:40,772 INFO 📄 Index 2 | Name: South Sulawesi | fcl: A, fcode: ADM1 | ADM1: South Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 80.58, Population: 9139531 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:40,772 INFO 📄 Index 3 | Name: North Sulawesi | fcl: A, fcode: ADM1 | ADM1: North Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 75.60, Population: 2638631 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:40,826 INFO 📄 Index 0 | Name: Makassar | fcl: P, fcode: PPLA | ADM1: South Sulawesi, ADM2: Kota Makassar, ADM3: , ADM4:  | Score: 86.46, Population: 1423877 | Fuzzy match: 25.0
2025-07-04 01:15:40,826 INFO 📄 Index 1 | Name: Southeast Sulawesi | fcl: A, fcode: ADM1 | ADM1: Southeast Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 82.84, Population: 2659156 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:40,826 INFO 📄 Index 2 | Name: South Sulawesi | fcl: A, fcode: ADM1 | ADM1: South Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 80.58, Population: 9139531 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:40,827 INFO 📄 Index 3 | Name: North Sulawesi | fcl: A, fcode: ADM1 | ADM1: North Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 75.60, Population: 2638631 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:40,879 INFO 📄 Index 0 | Name: Makassar | fcl: P, fcode: PPLA | ADM1: South Sulawesi, ADM2: Kota Makassar, ADM3: , ADM4:  | Score: 86.46, Population: 1423877 | Fuzzy match: 25.0
2025-07-04 01:15:40,879 INFO 📄 Index 1 | Name: Southeast Sulawesi | fcl: A, fcode: ADM1 | ADM1: Southeast Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 82.84, Population: 2659156 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:40,879 INFO 📄 Index 2 | Name: South Sulawesi | fcl: A, fcode: ADM1 | ADM1: South Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 80.58, Population: 9139531 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:40,879 INFO 📄 Index 3 | Name: North Sulawesi | fcl: A, fcode: ADM1 | ADM1: North Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 75.60, Population: 2638631 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:40,931 INFO 📄 Index 0 | Name: Makassar | fcl: P, fcode: PPLA | ADM1: South Sulawesi, ADM2: Kota Makassar, ADM3: , ADM4:  | Score: 86.46, Population: 1423877 | Fuzzy match: 25.0
2025-07-04 01:15:40,931 INFO 📄 Index 1 | Name: Southeast Sulawesi | fcl: A, fcode: ADM1 | ADM1: Southeast Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 82.84, Population: 2659156 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:40,931 INFO 📄 Index 2 | Name: South Sulawesi | fcl: A, fcode: ADM1 | ADM1: South Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 80.58, Population: 9139531 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:40,931 INFO 📄 Index 3 | Name: North Sulawesi | fcl: A, fcode: ADM1 | ADM1: North Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 75.60, Population: 2638631 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:40,984 INFO 📄 Index 0 | Name: Makassar | fcl: P, fcode: PPLA | ADM1: South Sulawesi, ADM2: Kota Makassar, ADM3: , ADM4:  | Score: 86.46, Population: 1423877 | Fuzzy match: 25.0
2025-07-04 01:15:40,984 INFO 📄 Index 1 | Name: Southeast Sulawesi | fcl: A, fcode: ADM1 | ADM1: Southeast Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 82.84, Population: 2659156 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:40,984 INFO 📄 Index 2 | Name: South Sulawesi | fcl: A, fcode: ADM1 | ADM1: South Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 80.58, Population: 9139531 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:40,984 INFO 📄 Index 3 | Name: North Sulawesi | fcl: A, fcode: ADM1 | ADM1: North Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 75.60, Population: 2638631 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:41,045 INFO 📄 Index 0 | Name: Makassar | fcl: P, fcode: PPLA | ADM1: South Sulawesi, ADM2: Kota Makassar, ADM3: , ADM4:  | Score: 86.46, Population: 1423877 | Fuzzy match: 25.0
2025-07-04 01:15:41,045 INFO 📄 Index 1 | Name: Southeast Sulawesi | fcl: A, fcode: ADM1 | ADM1: Southeast Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 82.84, Population: 2659156 | Fuzzy match: 61.53846153846154
2025-07-04 01:15:41,046 INFO 📄 Index 2 | Name: South Sulawesi | fcl: A, fcode: ADM1 | ADM1: South Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 80.58, Population: 9139531 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:41,046 INFO 📄 Index 3 | Name: North Sulawesi | fcl: A, fcode: ADM1 | ADM1: North Sulawesi, ADM2: , ADM3: , ADM4:  | Score: 75.60, Population: 2638631 | Fuzzy match: 72.72727272727273
2025-07-04 01:15:41,046 WARNING ❌ No match found with fuzzy score > 80 for city: sulawesi
2025-07-04 01:15:41,046 WARNING ❌ Lookup failed for city='sulawesi', iso2='ID'
