2025-07-03 13:50:39,574 INFO 📍 Starting GeoNames lookup for city='bangalore', country='usa'
2025-07-03 13:50:39,640 INFO 📄 Index 0 | Name: Bengaluru | fcl: P, fcode: PPLA | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 98.69, Population: 8443675 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:39,640 INFO 📄 Index 1 | Name: Bengaluru Rural | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Rural, ADM3: , ADM4:  | Score: 41.58, Population: 990923 | Fuzzy match: 50.0
2025-07-03 13:50:39,640 INFO 📄 Index 2 | Name: Yelahanka | fcl: P, fcode: PPL | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: Bangalore (North), ADM4:  | Score: 35.00, Population: 116447 | Fuzzy match: 33.333333333333336
2025-07-03 13:50:39,640 INFO 📄 Index 3 | Name: Bengaluru Urban | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 34.56, Population: 9621551 | Fuzzy match: 50.0
2025-07-03 13:50:39,688 INFO 📄 Index 0 | Name: Bengaluru | fcl: P, fcode: PPLA | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 98.69, Population: 8443675 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:39,688 INFO 📄 Index 1 | Name: Bengaluru Rural | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Rural, ADM3: , ADM4:  | Score: 41.58, Population: 990923 | Fuzzy match: 50.0
2025-07-03 13:50:39,689 INFO 📄 Index 2 | Name: Yelahanka | fcl: P, fcode: PPL | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: Bangalore (North), ADM4:  | Score: 35.00, Population: 116447 | Fuzzy match: 33.333333333333336
2025-07-03 13:50:39,689 INFO 📄 Index 3 | Name: Bengaluru Urban | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 34.56, Population: 9621551 | Fuzzy match: 50.0
2025-07-03 13:50:39,732 INFO 📄 Index 0 | Name: Bengaluru | fcl: P, fcode: PPLA | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 98.69, Population: 8443675 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:39,732 INFO 📄 Index 1 | Name: Bengaluru Rural | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Rural, ADM3: , ADM4:  | Score: 41.58, Population: 990923 | Fuzzy match: 50.0
2025-07-03 13:50:39,732 INFO 📄 Index 2 | Name: Yelahanka | fcl: P, fcode: PPL | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: Bangalore (North), ADM4:  | Score: 35.00, Population: 116447 | Fuzzy match: 33.333333333333336
2025-07-03 13:50:39,732 INFO 📄 Index 3 | Name: Bengaluru Urban | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 34.56, Population: 9621551 | Fuzzy match: 50.0
2025-07-03 13:50:39,777 INFO 📄 Index 0 | Name: Bengaluru | fcl: P, fcode: PPLA | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 98.69, Population: 8443675 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:39,777 INFO 📄 Index 1 | Name: Bengaluru Rural | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Rural, ADM3: , ADM4:  | Score: 41.58, Population: 990923 | Fuzzy match: 50.0
2025-07-03 13:50:39,777 INFO 📄 Index 2 | Name: Yelahanka | fcl: P, fcode: PPL | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: Bangalore (North), ADM4:  | Score: 35.00, Population: 116447 | Fuzzy match: 33.333333333333336
2025-07-03 13:50:39,777 INFO 📄 Index 3 | Name: Bengaluru Urban | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 34.56, Population: 9621551 | Fuzzy match: 50.0
2025-07-03 13:50:39,823 INFO 📄 Index 0 | Name: Bengaluru | fcl: P, fcode: PPLA | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 98.69, Population: 8443675 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:39,823 INFO 📄 Index 1 | Name: Bengaluru Rural | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Rural, ADM3: , ADM4:  | Score: 41.58, Population: 990923 | Fuzzy match: 50.0
2025-07-03 13:50:39,823 INFO 📄 Index 2 | Name: Yelahanka | fcl: P, fcode: PPL | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: Bangalore (North), ADM4:  | Score: 35.00, Population: 116447 | Fuzzy match: 33.333333333333336
2025-07-03 13:50:39,824 INFO 📄 Index 3 | Name: Bengaluru Urban | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 34.56, Population: 9621551 | Fuzzy match: 50.0
2025-07-03 13:50:39,869 INFO 📄 Index 0 | Name: Bengaluru | fcl: P, fcode: PPLA | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 98.69, Population: 8443675 | Fuzzy match: 66.66666666666667
2025-07-03 13:50:39,869 INFO 📄 Index 1 | Name: Bengaluru Rural | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Rural, ADM3: , ADM4:  | Score: 41.58, Population: 990923 | Fuzzy match: 50.0
2025-07-03 13:50:39,869 INFO 📄 Index 2 | Name: Yelahanka | fcl: P, fcode: PPL | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: Bangalore (North), ADM4:  | Score: 35.00, Population: 116447 | Fuzzy match: 33.333333333333336
2025-07-03 13:50:39,869 INFO 📄 Index 3 | Name: Bengaluru Urban | fcl: A, fcode: ADM2 | ADM1: Karnataka, ADM2: Bengaluru Urban, ADM3: , ADM4:  | Score: 34.56, Population: 9621551 | Fuzzy match: 50.0
2025-07-03 13:50:39,869 WARNING ❌ No match found with fuzzy score > 80 for city: bangalore
2025-07-03 13:50:39,869 WARNING ❌ Lookup failed for city='bangalore', iso2='IN'
