2025-07-03 16:39:28,409 INFO 📍 Starting GeoNames lookup for city='franciacorta', country='poland'
2025-07-03 16:39:28,485 INFO 📄 Index 0 | Name: Paderno Franciacorta | fcl: P, fcode: PPLA3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 46.45, Population: 3423 | Fuzzy match: 75.0
2025-07-03 16:39:28,485 INFO 📄 Index 1 | Name: Paderno Franciacorta | fcl: A, fcode: ADM3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 32.26, Population: 3660 | Fuzzy match: 75.0
2025-07-03 16:39:28,485 INFO 📄 Index 2 | Name: Tre Cortili | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 27 | Fuzzy match: 34.78260869565217
2025-07-03 16:39:28,485 INFO 📄 Index 3 | Name: Colombaia | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 25 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:28,528 INFO 📄 Index 0 | Name: Paderno Franciacorta | fcl: P, fcode: PPLA3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 46.45, Population: 3423 | Fuzzy match: 75.0
2025-07-03 16:39:28,528 INFO 📄 Index 1 | Name: Paderno Franciacorta | fcl: A, fcode: ADM3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 32.26, Population: 3660 | Fuzzy match: 75.0
2025-07-03 16:39:28,528 INFO 📄 Index 2 | Name: Tre Cortili | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 27 | Fuzzy match: 34.78260869565217
2025-07-03 16:39:28,528 INFO 📄 Index 3 | Name: Colombaia | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 25 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:28,574 INFO 📄 Index 0 | Name: Paderno Franciacorta | fcl: P, fcode: PPLA3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 46.45, Population: 3423 | Fuzzy match: 75.0
2025-07-03 16:39:28,574 INFO 📄 Index 1 | Name: Paderno Franciacorta | fcl: A, fcode: ADM3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 32.26, Population: 3660 | Fuzzy match: 75.0
2025-07-03 16:39:28,574 INFO 📄 Index 2 | Name: Tre Cortili | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 27 | Fuzzy match: 34.78260869565217
2025-07-03 16:39:28,575 INFO 📄 Index 3 | Name: Colombaia | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 25 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:28,622 INFO 📄 Index 0 | Name: Paderno Franciacorta | fcl: P, fcode: PPLA3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 46.45, Population: 3423 | Fuzzy match: 75.0
2025-07-03 16:39:28,622 INFO 📄 Index 1 | Name: Paderno Franciacorta | fcl: A, fcode: ADM3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 32.26, Population: 3660 | Fuzzy match: 75.0
2025-07-03 16:39:28,622 INFO 📄 Index 2 | Name: Tre Cortili | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 27 | Fuzzy match: 34.78260869565217
2025-07-03 16:39:28,622 INFO 📄 Index 3 | Name: Colombaia | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 25 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:28,667 INFO 📄 Index 0 | Name: Paderno Franciacorta | fcl: P, fcode: PPLA3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 46.45, Population: 3423 | Fuzzy match: 75.0
2025-07-03 16:39:28,668 INFO 📄 Index 1 | Name: Paderno Franciacorta | fcl: A, fcode: ADM3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 32.26, Population: 3660 | Fuzzy match: 75.0
2025-07-03 16:39:28,668 INFO 📄 Index 2 | Name: Tre Cortili | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 27 | Fuzzy match: 34.78260869565217
2025-07-03 16:39:28,668 INFO 📄 Index 3 | Name: Colombaia | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 25 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:28,715 INFO 📄 Index 0 | Name: Paderno Franciacorta | fcl: P, fcode: PPLA3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 46.45, Population: 3423 | Fuzzy match: 75.0
2025-07-03 16:39:28,715 INFO 📄 Index 1 | Name: Paderno Franciacorta | fcl: A, fcode: ADM3 | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 32.26, Population: 3660 | Fuzzy match: 75.0
2025-07-03 16:39:28,715 INFO 📄 Index 2 | Name: Tre Cortili | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 27 | Fuzzy match: 34.78260869565217
2025-07-03 16:39:28,715 INFO 📄 Index 3 | Name: Colombaia | fcl: P, fcode: PPL | ADM1: Lombardy, ADM2: Province of Brescia, ADM3: Paderno Franciacorta, ADM4:  | Score: 18.28, Population: 25 | Fuzzy match: 28.57142857142857
2025-07-03 16:39:28,715 WARNING ❌ No match found with fuzzy score > 80 for city: franciacorta
2025-07-03 16:39:28,715 WARNING ❌ Lookup failed for city='franciacorta', iso2='IT'
