2025-07-03 16:40:24,120 INFO 📍 Starting GeoNames lookup for city='mirafiori', country='united states'
2025-07-03 16:40:24,239 INFO 📄 Index 0 | Name: Mirafiori South | fcl: P, fcode: PPLX | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 29.30, Population: 33677 | Fuzzy match: 75.0
2025-07-03 16:40:24,239 INFO 📄 Index 1 | Name: Mirafiori North | fcl: P, fcode: PPLX | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 22.21, Population: 41337 | Fuzzy match: 75.0
2025-07-03 16:40:24,240 INFO 📄 Index 2 | Name: Santa Rita - Mirafiori | fcl: A, fcode: ADM4 | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 19.17, Population: 0 | Fuzzy match: 58.06451612903225
2025-07-03 16:40:24,240 INFO 📄 Index 3 | Name: Santa Rita | fcl: P, fcode: PPLX | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 5.84, Population: 0 | Fuzzy match: 21.052631578947366
2025-07-03 16:40:24,282 INFO 📄 Index 0 | Name: Mirafiori South | fcl: P, fcode: PPLX | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 29.30, Population: 33677 | Fuzzy match: 75.0
2025-07-03 16:40:24,283 INFO 📄 Index 1 | Name: Mirafiori North | fcl: P, fcode: PPLX | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 22.21, Population: 41337 | Fuzzy match: 75.0
2025-07-03 16:40:24,283 INFO 📄 Index 2 | Name: Santa Rita - Mirafiori | fcl: A, fcode: ADM4 | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 19.17, Population: 0 | Fuzzy match: 58.06451612903225
2025-07-03 16:40:24,283 INFO 📄 Index 3 | Name: Santa Rita | fcl: P, fcode: PPLX | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 5.84, Population: 0 | Fuzzy match: 21.052631578947366
2025-07-03 16:40:24,326 INFO 📄 Index 0 | Name: Mirafiori South | fcl: P, fcode: PPLX | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 29.30, Population: 33677 | Fuzzy match: 75.0
2025-07-03 16:40:24,326 INFO 📄 Index 1 | Name: Mirafiori North | fcl: P, fcode: PPLX | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 22.21, Population: 41337 | Fuzzy match: 75.0
2025-07-03 16:40:24,326 INFO 📄 Index 2 | Name: Santa Rita - Mirafiori | fcl: A, fcode: ADM4 | ADM1: Piedmont, ADM2: Turin, ADM3: Torino, ADM4: Santa Rita - Mirafiori | Score: 19.17, Population: 0 | Fuzzy match: 58.06451612903225
