2025-07-03 13:50:40,473 INFO 📍 Starting GeoNames lookup for city='pomigliano', country='usa'
2025-07-03 13:50:40,534 INFO 📄 Index 0 | Name: Pomigliano d'Arco | fcl: P, fcode: PPLA3 | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 49.03, Population: 38921 | Fuzzy match: 74.07407407407408
2025-07-03 13:50:40,535 INFO 📄 Index 1 | Name: Pomigliano d'Arco | fcl: A, fcode: ADM3 | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 26.78, Population: 39637 | Fuzzy match: 74.07407407407408
2025-07-03 13:50:40,535 INFO 📄 Index 2 | Name: Cutinelli | fcl: P, fcode: PPL | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 15.42, Population: 237 | Fuzzy match: 31.57894736842105
2025-07-03 13:50:40,535 INFO 📄 Index 3 | Name: Papaccio | fcl: P, fcode: PPL | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 15.42, Population: 22 | Fuzzy match: 33.333333333333336
2025-07-03 13:50:40,577 INFO 📄 Index 0 | Name: Pomigliano d'Arco | fcl: P, fcode: PPLA3 | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 49.03, Population: 38921 | Fuzzy match: 74.07407407407408
2025-07-03 13:50:40,577 INFO 📄 Index 1 | Name: Pomigliano d'Arco | fcl: A, fcode: ADM3 | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 26.78, Population: 39637 | Fuzzy match: 74.07407407407408
2025-07-03 13:50:40,577 INFO 📄 Index 2 | Name: Cutinelli | fcl: P, fcode: PPL | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 15.42, Population: 237 | Fuzzy match: 31.57894736842105
2025-07-03 13:50:40,577 INFO 📄 Index 3 | Name: Papaccio | fcl: P, fcode: PPL | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 15.42, Population: 22 | Fuzzy match: 33.333333333333336
2025-07-03 13:50:40,621 INFO 📄 Index 0 | Name: Pomigliano d'Arco | fcl: P, fcode: PPLA3 | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 49.03, Population: 38921 | Fuzzy match: 74.07407407407408
2025-07-03 13:50:40,621 INFO 📄 Index 1 | Name: Pomigliano d'Arco | fcl: A, fcode: ADM3 | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 26.78, Population: 39637 | Fuzzy match: 74.07407407407408
2025-07-03 13:50:40,621 INFO 📄 Index 2 | Name: Cutinelli | fcl: P, fcode: PPL | ADM1: Campania, ADM2: Naples, ADM3: Pomigliano d'Arco, ADM4:  | Score: 15.42, Population: 237 | Fuzzy match: 31.57894736842105
