2025-07-03 16:43:08,798 INFO 📍 Starting GeoNames lookup for city='hyogo', country='china'
2025-07-03 16:43:08,957 INFO 📄 Index 0 | Name: Kobe | fcl: P, fcode: PPLA | ADM1: Hyōgo, ADM2: Kōbe Shi, ADM3: Chuo-ku, ADM4:  | Score: 119.59, Population: 1525152 | Fuzzy match: 22.22222222222222
2025-07-03 16:43:08,957 INFO 📄 Index 1 | Name: Hyōgo | fcl: A, fcode: ADM1 | ADM1: Hyōgo, ADM2: , ADM3: , ADM4:  | Score: 89.26, Population: 5469762 | Fuzzy match: 80.0
2025-07-03 16:43:08,957 INFO 📄 Index 2 | Name: Himeji | fcl: P, fcode: PPLA2 | ADM1: Hyōgo, ADM2: Himeji Shi, ADM3: , ADM4:  | Score: 86.76, Population: 530495 | Fuzzy match: 18.181818181818176
2025-07-03 16:43:08,957 INFO 📄 Index 3 | Name: Kawanishi | fcl: P, fcode: PPL | ADM1: Hyōgo, ADM2: , ADM3: , ADM4:  | Score: 86.76, Population: 155165 | Fuzzy match: 14.28571428571429
2025-07-03 16:43:09,002 INFO 📄 Index 0 | Name: Kobe | fcl: P, fcode: PPLA | ADM1: Hyōgo, ADM2: Kōbe Shi, ADM3: Chuo-ku, ADM4:  | Score: 119.59, Population: 1525152 | Fuzzy match: 22.22222222222222
2025-07-03 16:43:09,002 INFO 📄 Index 1 | Name: Hyōgo | fcl: A, fcode: ADM1 | ADM1: Hyōgo, ADM2: , ADM3: , ADM4:  | Score: 89.26, Population: 5469762 | Fuzzy match: 80.0
2025-07-03 16:43:09,003 INFO 📄 Index 2 | Name: Himeji | fcl: P, fcode: PPLA2 | ADM1: Hyōgo, ADM2: Himeji Shi, ADM3: , ADM4:  | Score: 86.76, Population: 530495 | Fuzzy match: 18.181818181818176
2025-07-03 16:43:09,003 INFO 📄 Index 3 | Name: Kawanishi | fcl: P, fcode: PPL | ADM1: Hyōgo, ADM2: , ADM3: , ADM4:  | Score: 86.76, Population: 155165 | Fuzzy match: 14.28571428571429
2025-07-03 16:43:09,046 INFO 📄 Index 0 | Name: Kobe | fcl: P, fcode: PPLA | ADM1: Hyōgo, ADM2: Kōbe Shi, ADM3: Chuo-ku, ADM4:  | Score: 119.59, Population: 1525152 | Fuzzy match: 22.22222222222222
2025-07-03 16:43:09,046 INFO 📄 Index 1 | Name: Hyōgo | fcl: A, fcode: ADM1 | ADM1: Hyōgo, ADM2: , ADM3: , ADM4:  | Score: 89.26, Population: 5469762 | Fuzzy match: 80.0
2025-07-03 16:43:09,046 INFO 📄 Index 2 | Name: Himeji | fcl: P, fcode: PPLA2 | ADM1: Hyōgo, ADM2: Himeji Shi, ADM3: , ADM4:  | Score: 86.76, Population: 530495 | Fuzzy match: 18.181818181818176
2025-07-03 16:43:09,047 INFO 📄 Index 3 | Name: Kawanishi | fcl: P, fcode: PPL | ADM1: Hyōgo, ADM2: , ADM3: , ADM4:  | Score: 86.76, Population: 155165 | Fuzzy match: 14.28571428571429
2025-07-03 16:43:09,091 INFO 📄 Index 0 | Name: Kobe | fcl: P, fcode: PPLA | ADM1: Hyōgo, ADM2: Kōbe Shi, ADM3: Chuo-ku, ADM4:  | Score: 119.59, Population: 1525152 | Fuzzy match: 22.22222222222222
