2025-07-04 01:15:41,973 INFO 📍 Starting GeoNames lookup for city='hyuga', country='germany'
2025-07-04 01:15:42,066 INFO 📄 Index 0 | Name: Hyūga Shi | fcl: A, fcode: ADM2 | ADM1: Miyazaki, ADM2: Hyūga Shi, ADM3: , ADM4:  | Score: 41.13, Population: 63687 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:42,067 INFO 📄 Index 1 | Name: Hyūga | fcl: P, fcode: PPLA2 | ADM1: Miyazaki, ADM2: Hyūga Shi, ADM3: , ADM4:  | Score: 36.65, Population: 60037 | Fuzzy match: 80.0
2025-07-04 01:15:42,067 INFO 📄 Index 2 | Name: Hyūga | fcl: P, fcode: PPL | ADM1: Hokkaido, ADM2: Matsumae-gun, ADM3: Fukushima Chō, ADM4:  | Score: 26.41, Population: 0 | Fuzzy match: 80.0
2025-07-04 01:15:42,067 INFO 📄 Index 3 | Name: Mimitsu | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: Hyūga Shi, ADM3: , ADM4:  | Score: 20.00, Population: 0 | Fuzzy match: 16.666666666666664
2025-07-04 01:15:42,145 INFO 📄 Index 0 | Name: Hyūga Shi | fcl: A, fcode: ADM2 | ADM1: Miyazaki, ADM2: Hyūga Shi, ADM3: , ADM4:  | Score: 41.13, Population: 63687 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:42,145 INFO 📄 Index 1 | Name: Hyūga | fcl: P, fcode: PPLA2 | ADM1: Miyazaki, ADM2: Hyūga Shi, ADM3: , ADM4:  | Score: 36.65, Population: 60037 | Fuzzy match: 80.0
2025-07-04 01:15:42,145 INFO 📄 Index 2 | Name: Hyūga | fcl: P, fcode: PPL | ADM1: Hokkaido, ADM2: Matsumae-gun, ADM3: Fukushima Chō, ADM4:  | Score: 26.41, Population: 0 | Fuzzy match: 80.0
2025-07-04 01:15:42,145 INFO 📄 Index 3 | Name: Mimitsu | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: Hyūga Shi, ADM3: , ADM4:  | Score: 20.00, Population: 0 | Fuzzy match: 16.666666666666664
2025-07-04 01:15:42,193 INFO 📄 Index 0 | Name: Hyūga Shi | fcl: A, fcode: ADM2 | ADM1: Miyazaki, ADM2: Hyūga Shi, ADM3: , ADM4:  | Score: 41.13, Population: 63687 | Fuzzy match: 57.14285714285714
2025-07-04 01:15:42,193 INFO 📄 Index 1 | Name: Hyūga | fcl: P, fcode: PPLA2 | ADM1: Miyazaki, ADM2: Hyūga Shi, ADM3: , ADM4:  | Score: 36.65, Population: 60037 | Fuzzy match: 80.0
2025-07-04 01:15:42,193 INFO 📄 Index 2 | Name: Hyūga | fcl: P, fcode: PPL | ADM1: Hokkaido, ADM2: Matsumae-gun, ADM3: Fukushima Chō, ADM4:  | Score: 26.41, Population: 0 | Fuzzy match: 80.0
