2025-07-04 01:15:43,127 INFO 📍 Starting GeoNames lookup for city='kikuyo', country='germany'
2025-07-04 01:15:43,224 INFO 📄 Index 0 | Name: Okino | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 34.33, Population: 43337 | Fuzzy match: 54.54545454545454
2025-07-04 01:15:43,224 INFO 📄 Index 1 | Name: Kikuyō Machi | fcl: A, fcode: ADM3 | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 24.59, Population: 39261 | Fuzzy match: 55.55555555555556
2025-07-04 01:15:43,224 INFO 📄 Index 2 | Name: Tsukure | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 19.96, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-04 01:15:43,224 INFO 📄 Index 3 | Name: Musashigaoka | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 19.96, Population: 0 | Fuzzy match: 22.22222222222222
2025-07-04 01:15:43,267 INFO 📄 Index 0 | Name: Okino | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 34.33, Population: 43337 | Fuzzy match: 54.54545454545454
2025-07-04 01:15:43,267 INFO 📄 Index 1 | Name: Kikuyō Machi | fcl: A, fcode: ADM3 | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 24.59, Population: 39261 | Fuzzy match: 55.55555555555556
2025-07-04 01:15:43,267 INFO 📄 Index 2 | Name: Tsukure | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 19.96, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-04 01:15:43,267 INFO 📄 Index 3 | Name: Musashigaoka | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 19.96, Population: 0 | Fuzzy match: 22.22222222222222
2025-07-04 01:15:43,323 INFO 📄 Index 0 | Name: Okino | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 34.33, Population: 43337 | Fuzzy match: 54.54545454545454
2025-07-04 01:15:43,324 INFO 📄 Index 1 | Name: Kikuyō Machi | fcl: A, fcode: ADM3 | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 24.59, Population: 39261 | Fuzzy match: 55.55555555555556
2025-07-04 01:15:43,324 INFO 📄 Index 2 | Name: Tsukure | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 19.96, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-04 01:15:43,324 INFO 📄 Index 3 | Name: Musashigaoka | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 19.96, Population: 0 | Fuzzy match: 22.22222222222222
2025-07-04 01:15:43,498 INFO 📄 Index 0 | Name: Okino | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 34.33, Population: 43337 | Fuzzy match: 54.54545454545454
2025-07-04 01:15:43,499 INFO 📄 Index 1 | Name: Kikuyō Machi | fcl: A, fcode: ADM3 | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 24.59, Population: 39261 | Fuzzy match: 55.55555555555556
2025-07-04 01:15:43,499 INFO 📄 Index 2 | Name: Tsukure | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 19.96, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-04 01:15:43,499 INFO 📄 Index 3 | Name: Musashigaoka | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 19.96, Population: 0 | Fuzzy match: 22.22222222222222
2025-07-04 01:15:43,577 INFO 📄 Index 0 | Name: Okino | fcl: P, fcode: PPL | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 34.33, Population: 43337 | Fuzzy match: 54.54545454545454
2025-07-04 01:15:43,577 INFO 📄 Index 1 | Name: Kikuyō Machi | fcl: A, fcode: ADM3 | ADM1: Kumamoto, ADM2: Kikuchi-gun, ADM3: Kikuyō Machi, ADM4:  | Score: 24.59, Population: 39261 | Fuzzy match: 55.55555555555556
