2025-07-03 16:40:11,160 INFO 📍 Starting GeoNames lookup for city='kunitomi', country='usa'
2025-07-03 16:40:11,271 INFO 📄 Index 0 | Name: Kunitomi-mura | fcl: A, fcode: ADM4H | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 32.50, Population: 0 | Fuzzy match: 76.19047619047619
2025-07-03 16:40:11,271 INFO 📄 Index 1 | Name: Kunitomi Chō | fcl: A, fcode: ADM3 | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 24.89, Population: 20687 | Fuzzy match: 80.0
2025-07-03 16:40:11,271 INFO 📄 Index 2 | Name: Honjō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.99, Population: 18398 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:11,271 INFO 📄 Index 3 | Name: Sanmyō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.29, Population: 0 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:11,315 INFO 📄 Index 0 | Name: Kunitomi-mura | fcl: A, fcode: ADM4H | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 32.50, Population: 0 | Fuzzy match: 76.19047619047619
2025-07-03 16:40:11,315 INFO 📄 Index 1 | Name: Kunitomi Chō | fcl: A, fcode: ADM3 | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 24.89, Population: 20687 | Fuzzy match: 80.0
2025-07-03 16:40:11,315 INFO 📄 Index 2 | Name: Honjō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.99, Population: 18398 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:11,315 INFO 📄 Index 3 | Name: Sanmyō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.29, Population: 0 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:11,361 INFO 📄 Index 0 | Name: Kunitomi-mura | fcl: A, fcode: ADM4H | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 32.50, Population: 0 | Fuzzy match: 76.19047619047619
2025-07-03 16:40:11,361 INFO 📄 Index 1 | Name: Kunitomi Chō | fcl: A, fcode: ADM3 | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 24.89, Population: 20687 | Fuzzy match: 80.0
2025-07-03 16:40:11,361 INFO 📄 Index 2 | Name: Honjō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.99, Population: 18398 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:11,361 INFO 📄 Index 3 | Name: Sanmyō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.29, Population: 0 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:11,407 INFO 📄 Index 0 | Name: Kunitomi-mura | fcl: A, fcode: ADM4H | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 32.50, Population: 0 | Fuzzy match: 76.19047619047619
2025-07-03 16:40:11,408 INFO 📄 Index 1 | Name: Kunitomi Chō | fcl: A, fcode: ADM3 | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 24.89, Population: 20687 | Fuzzy match: 80.0
2025-07-03 16:40:11,408 INFO 📄 Index 2 | Name: Honjō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.99, Population: 18398 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:11,408 INFO 📄 Index 3 | Name: Sanmyō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.29, Population: 0 | Fuzzy match: 28.57142857142857
2025-07-03 16:40:11,455 INFO 📄 Index 0 | Name: Kunitomi-mura | fcl: A, fcode: ADM4H | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 32.50, Population: 0 | Fuzzy match: 76.19047619047619
2025-07-03 16:40:11,456 INFO 📄 Index 1 | Name: Kunitomi Chō | fcl: A, fcode: ADM3 | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 24.89, Population: 20687 | Fuzzy match: 80.0
2025-07-03 16:40:11,456 INFO 📄 Index 2 | Name: Honjō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.99, Population: 18398 | Fuzzy match: 15.384615384615385
2025-07-03 16:40:11,456 INFO 📄 Index 3 | Name: Sanmyō | fcl: P, fcode: PPL | ADM1: Miyazaki, ADM2: HIgashimorokata Gun, ADM3: Kunitomi Chō, ADM4:  | Score: 18.29, Population: 0 | Fuzzy match: 28.57142857142857
