2025-07-04 01:17:09,008 INFO 📍 Starting GeoNames lookup for city='kyushu', country='china'
2025-07-04 01:17:09,205 INFO 📄 Index 0 | Name: Fukuoka | fcl: P, fcode: PPLA | ADM1: Fukuoka, ADM2: Fukuoka City, ADM3: Hakata, ADM4:  | Score: 74.33, Population: 1612392 | Fuzzy match: 30.76923076923077
2025-07-04 01:17:09,205 INFO 📄 Index 1 | Name: Nagasaki | fcl: A, fcode: ADM1 | ADM1: Nagasaki, ADM2: , ADM3: , ADM4:  | Score: 60.96, Population: 1314078 | Fuzzy match: 14.28571428571429
2025-07-04 01:17:09,205 INFO 📄 Index 2 | Name: Kagoshima | fcl: A, fcode: ADM1 | ADM1: Kagoshima, ADM2: , ADM3: , ADM4:  | Score: 60.96, Population: 1564175 | Fuzzy match: 40.0
2025-07-04 01:17:09,205 INFO 📄 Index 3 | Name: Naha | fcl: P, fcode: PPLA | ADM1: Okinawa, ADM2: Naha Shi, ADM3: , ADM4:  | Score: 60.48, Population: 317625 | Fuzzy match: 19.999999999999996
2025-07-04 01:17:09,279 INFO 📄 Index 0 | Name: Fukuoka | fcl: P, fcode: PPLA | ADM1: Fukuoka, ADM2: Fukuoka City, ADM3: Hakata, ADM4:  | Score: 74.33, Population: 1612392 | Fuzzy match: 30.76923076923077
2025-07-04 01:17:09,279 INFO 📄 Index 1 | Name: Nagasaki | fcl: A, fcode: ADM1 | ADM1: Nagasaki, ADM2: , ADM3: , ADM4:  | Score: 60.96, Population: 1314078 | Fuzzy match: 14.28571428571429
2025-07-04 01:17:09,279 INFO 📄 Index 2 | Name: Kagoshima | fcl: A, fcode: ADM1 | ADM1: Kagoshima, ADM2: , ADM3: , ADM4:  | Score: 60.96, Population: 1564175 | Fuzzy match: 40.0
2025-07-04 01:17:09,280 INFO 📄 Index 3 | Name: Naha | fcl: P, fcode: PPLA | ADM1: Okinawa, ADM2: Naha Shi, ADM3: , ADM4:  | Score: 60.48, Population: 317625 | Fuzzy match: 19.999999999999996
2025-07-04 01:17:09,442 INFO 📄 Index 0 | Name: Fukuoka | fcl: P, fcode: PPLA | ADM1: Fukuoka, ADM2: Fukuoka City, ADM3: Hakata, ADM4:  | Score: 74.33, Population: 1612392 | Fuzzy match: 30.76923076923077
2025-07-04 01:17:09,442 INFO 📄 Index 1 | Name: Nagasaki | fcl: A, fcode: ADM1 | ADM1: Nagasaki, ADM2: , ADM3: , ADM4:  | Score: 60.96, Population: 1314078 | Fuzzy match: 14.28571428571429
2025-07-04 01:17:09,442 INFO 📄 Index 2 | Name: Kagoshima | fcl: A, fcode: ADM1 | ADM1: Kagoshima, ADM2: , ADM3: , ADM4:  | Score: 60.96, Population: 1564175 | Fuzzy match: 40.0
2025-07-04 01:17:09,442 INFO 📄 Index 3 | Name: Naha | fcl: P, fcode: PPLA | ADM1: Okinawa, ADM2: Naha Shi, ADM3: , ADM4:  | Score: 60.48, Population: 317625 | Fuzzy match: 19.999999999999996
2025-07-04 01:17:09,514 INFO 📄 Index 0 | Name: Fukuoka | fcl: P, fcode: PPLA | ADM1: Fukuoka, ADM2: Fukuoka City, ADM3: Hakata, ADM4:  | Score: 74.33, Population: 1612392 | Fuzzy match: 30.76923076923077
2025-07-04 01:17:09,515 INFO 📄 Index 1 | Name: Nagasaki | fcl: A, fcode: ADM1 | ADM1: Nagasaki, ADM2: , ADM3: , ADM4:  | Score: 60.96, Population: 1314078 | Fuzzy match: 14.28571428571429
2025-07-04 01:17:09,515 INFO 📄 Index 2 | Name: Kagoshima | fcl: A, fcode: ADM1 | ADM1: Kagoshima, ADM2: , ADM3: , ADM4:  | Score: 60.96, Population: 1564175 | Fuzzy match: 40.0
2025-07-04 01:17:09,515 INFO 📄 Index 3 | Name: Naha | fcl: P, fcode: PPLA | ADM1: Okinawa, ADM2: Naha Shi, ADM3: , ADM4:  | Score: 60.48, Population: 317625 | Fuzzy match: 19.999999999999996
