2025-07-03 13:48:56,899 INFO 📍 Starting GeoNames lookup for city='oppama', country='france'
2025-07-03 13:48:57,010 INFO 📄 Index 0 | Name: Oppama-higashichō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 52.17391304347826
2025-07-03 13:48:57,011 INFO 📄 Index 1 | Name: Oppama-honchō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 13:48:57,011 INFO 📄 Index 2 | Name: Oppamachō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 16.93, Population: 0 | Fuzzy match: 80.0
2025-07-03 13:48:57,060 INFO 📄 Index 0 | Name: Oppama-higashichō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 52.17391304347826
2025-07-03 13:48:57,060 INFO 📄 Index 1 | Name: Oppama-honchō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 13:48:57,060 INFO 📄 Index 2 | Name: Oppamachō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 16.93, Population: 0 | Fuzzy match: 80.0
2025-07-03 13:48:57,103 INFO 📄 Index 0 | Name: Oppama-higashichō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 52.17391304347826
2025-07-03 13:48:57,103 INFO 📄 Index 1 | Name: Oppama-honchō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 13:48:57,103 INFO 📄 Index 2 | Name: Oppamachō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 16.93, Population: 0 | Fuzzy match: 80.0
2025-07-03 13:48:57,147 INFO 📄 Index 0 | Name: Oppama-higashichō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 52.17391304347826
2025-07-03 13:48:57,147 INFO 📄 Index 1 | Name: Oppama-honchō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 13:48:57,147 INFO 📄 Index 2 | Name: Oppamachō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 16.93, Population: 0 | Fuzzy match: 80.0
2025-07-03 13:48:57,192 INFO 📄 Index 0 | Name: Oppama-higashichō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 52.17391304347826
2025-07-03 13:48:57,192 INFO 📄 Index 1 | Name: Oppama-honchō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 13:48:57,192 INFO 📄 Index 2 | Name: Oppamachō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 16.93, Population: 0 | Fuzzy match: 80.0
2025-07-03 13:48:57,235 INFO 📄 Index 0 | Name: Oppama-higashichō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 52.17391304347826
2025-07-03 13:48:57,236 INFO 📄 Index 1 | Name: Oppama-honchō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 19.06, Population: 0 | Fuzzy match: 63.1578947368421
2025-07-03 13:48:57,236 INFO 📄 Index 2 | Name: Oppamachō | fcl: P, fcode: PPL | ADM1: Kanagawa, ADM2: Yokosuka, ADM3: , ADM4:  | Score: 16.93, Population: 0 | Fuzzy match: 80.0
2025-07-03 13:48:57,236 WARNING ❌ No match found with fuzzy score > 80 for city: oppama
2025-07-03 13:48:57,236 WARNING ❌ Lookup failed for city='oppama', iso2='JP'
