2025-07-03 16:40:55,632 INFO 📍 Starting GeoNames lookup for city='seosan', country='germany'
2025-07-03 16:40:55,754 INFO 📄 Index 0 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: South Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 28.44, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,754 INFO 📄 Index 1 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: North Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 26.58, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,754 INFO 📄 Index 2 | Name: Sŏsan 2-dong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,754 INFO 📄 Index 3 | Name: Sŏsan 1-tong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,797 INFO 📄 Index 0 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: South Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 28.44, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,797 INFO 📄 Index 1 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: North Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 26.58, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,797 INFO 📄 Index 2 | Name: Sŏsan 2-dong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,797 INFO 📄 Index 3 | Name: Sŏsan 1-tong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,840 INFO 📄 Index 0 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: South Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 28.44, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,841 INFO 📄 Index 1 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: North Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 26.58, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,841 INFO 📄 Index 2 | Name: Sŏsan 2-dong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,841 INFO 📄 Index 3 | Name: Sŏsan 1-tong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,887 INFO 📄 Index 0 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: South Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 28.44, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,887 INFO 📄 Index 1 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: North Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 26.58, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,888 INFO 📄 Index 2 | Name: Sŏsan 2-dong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,888 INFO 📄 Index 3 | Name: Sŏsan 1-tong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,933 INFO 📄 Index 0 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: South Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 28.44, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,933 INFO 📄 Index 1 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: North Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 26.58, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,933 INFO 📄 Index 2 | Name: Sŏsan 2-dong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,933 INFO 📄 Index 3 | Name: Sŏsan 1-tong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,981 INFO 📄 Index 0 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: South Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 28.44, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,981 INFO 📄 Index 1 | Name: Sŏsan | fcl: P, fcode: PPL | ADM1: North Hwanghae, ADM2: , ADM3: , ADM4:  | Score: 26.58, Population: 0 | Fuzzy match: 72.72727272727273
2025-07-03 16:40:55,981 INFO 📄 Index 2 | Name: Sŏsan 2-dong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,981 INFO 📄 Index 3 | Name: Sŏsan 1-tong | fcl: A, fcode: ADM3 | ADM1: Pyongyang, ADM2: , ADM3: , ADM4:  | Score: 25.17, Population: 0 | Fuzzy match: 44.44444444444444
2025-07-03 16:40:55,982 WARNING ❌ No match found with fuzzy score > 80 for city: seosan
2025-07-03 16:40:55,982 WARNING ❌ Lookup failed for city='seosan', iso2='KP'
