2025-07-03 16:39:45,566 INFO 📍 Starting GeoNames lookup for city='gyeonggi', country='romania'
2025-07-03 16:39:45,692 INFO 📄 Index 0 | Name: Seoul | fcl: P, fcode: PPLC | ADM1: Seoul, ADM2: , ADM3: , ADM4:  | Score: 140.97, Population: 10349312 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,692 INFO 📄 Index 1 | Name: Incheon | fcl: P, fcode: PPLA | ADM1: Incheon, ADM2: , ADM3: , ADM4:  | Score: 115.23, Population: 2954955 | Fuzzy match: 40.0
2025-07-03 16:39:45,692 INFO 📄 Index 2 | Name: Suwon | fcl: P, fcode: PPLA | ADM1: Gyeonggi-do, ADM2: Suwon-si, ADM3: , ADM4:  | Score: 114.60, Population: 1241311 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,693 INFO 📄 Index 3 | Name: Goyang-si | fcl: P, fcode: PPLA2 | ADM1: Gyeonggi-do, ADM2: Goyang-si, ADM3: , ADM4:  | Score: 83.95, Population: 1073069 | Fuzzy match: 58.82352941176471
2025-07-03 16:39:45,751 INFO 📄 Index 0 | Name: Seoul | fcl: P, fcode: PPLC | ADM1: Seoul, ADM2: , ADM3: , ADM4:  | Score: 140.97, Population: 10349312 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,751 INFO 📄 Index 1 | Name: Incheon | fcl: P, fcode: PPLA | ADM1: Incheon, ADM2: , ADM3: , ADM4:  | Score: 115.23, Population: 2954955 | Fuzzy match: 40.0
2025-07-03 16:39:45,751 INFO 📄 Index 2 | Name: Suwon | fcl: P, fcode: PPLA | ADM1: Gyeonggi-do, ADM2: Suwon-si, ADM3: , ADM4:  | Score: 114.60, Population: 1241311 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,751 INFO 📄 Index 3 | Name: Goyang-si | fcl: P, fcode: PPLA2 | ADM1: Gyeonggi-do, ADM2: Goyang-si, ADM3: , ADM4:  | Score: 83.95, Population: 1073069 | Fuzzy match: 58.82352941176471
2025-07-03 16:39:45,809 INFO 📄 Index 0 | Name: Seoul | fcl: P, fcode: PPLC | ADM1: Seoul, ADM2: , ADM3: , ADM4:  | Score: 140.97, Population: 10349312 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,809 INFO 📄 Index 1 | Name: Incheon | fcl: P, fcode: PPLA | ADM1: Incheon, ADM2: , ADM3: , ADM4:  | Score: 115.23, Population: 2954955 | Fuzzy match: 40.0
2025-07-03 16:39:45,810 INFO 📄 Index 2 | Name: Suwon | fcl: P, fcode: PPLA | ADM1: Gyeonggi-do, ADM2: Suwon-si, ADM3: , ADM4:  | Score: 114.60, Population: 1241311 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,810 INFO 📄 Index 3 | Name: Goyang-si | fcl: P, fcode: PPLA2 | ADM1: Gyeonggi-do, ADM2: Goyang-si, ADM3: , ADM4:  | Score: 83.95, Population: 1073069 | Fuzzy match: 58.82352941176471
2025-07-03 16:39:45,867 INFO 📄 Index 0 | Name: Seoul | fcl: P, fcode: PPLC | ADM1: Seoul, ADM2: , ADM3: , ADM4:  | Score: 140.97, Population: 10349312 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,867 INFO 📄 Index 1 | Name: Incheon | fcl: P, fcode: PPLA | ADM1: Incheon, ADM2: , ADM3: , ADM4:  | Score: 115.23, Population: 2954955 | Fuzzy match: 40.0
2025-07-03 16:39:45,868 INFO 📄 Index 2 | Name: Suwon | fcl: P, fcode: PPLA | ADM1: Gyeonggi-do, ADM2: Suwon-si, ADM3: , ADM4:  | Score: 114.60, Population: 1241311 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,868 INFO 📄 Index 3 | Name: Goyang-si | fcl: P, fcode: PPLA2 | ADM1: Gyeonggi-do, ADM2: Goyang-si, ADM3: , ADM4:  | Score: 83.95, Population: 1073069 | Fuzzy match: 58.82352941176471
2025-07-03 16:39:45,925 INFO 📄 Index 0 | Name: Seoul | fcl: P, fcode: PPLC | ADM1: Seoul, ADM2: , ADM3: , ADM4:  | Score: 140.97, Population: 10349312 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,925 INFO 📄 Index 1 | Name: Incheon | fcl: P, fcode: PPLA | ADM1: Incheon, ADM2: , ADM3: , ADM4:  | Score: 115.23, Population: 2954955 | Fuzzy match: 40.0
2025-07-03 16:39:45,925 INFO 📄 Index 2 | Name: Suwon | fcl: P, fcode: PPLA | ADM1: Gyeonggi-do, ADM2: Suwon-si, ADM3: , ADM4:  | Score: 114.60, Population: 1241311 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,925 INFO 📄 Index 3 | Name: Goyang-si | fcl: P, fcode: PPLA2 | ADM1: Gyeonggi-do, ADM2: Goyang-si, ADM3: , ADM4:  | Score: 83.95, Population: 1073069 | Fuzzy match: 58.82352941176471
2025-07-03 16:39:45,982 INFO 📄 Index 0 | Name: Seoul | fcl: P, fcode: PPLC | ADM1: Seoul, ADM2: , ADM3: , ADM4:  | Score: 140.97, Population: 10349312 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,983 INFO 📄 Index 1 | Name: Incheon | fcl: P, fcode: PPLA | ADM1: Incheon, ADM2: , ADM3: , ADM4:  | Score: 115.23, Population: 2954955 | Fuzzy match: 40.0
2025-07-03 16:39:45,983 INFO 📄 Index 2 | Name: Suwon | fcl: P, fcode: PPLA | ADM1: Gyeonggi-do, ADM2: Suwon-si, ADM3: , ADM4:  | Score: 114.60, Population: 1241311 | Fuzzy match: 30.76923076923077
2025-07-03 16:39:45,983 INFO 📄 Index 3 | Name: Goyang-si | fcl: P, fcode: PPLA2 | ADM1: Gyeonggi-do, ADM2: Goyang-si, ADM3: , ADM4:  | Score: 83.95, Population: 1073069 | Fuzzy match: 58.82352941176471
2025-07-03 16:39:45,983 WARNING ❌ No match found with fuzzy score > 80 for city: gyeonggi
2025-07-03 16:39:45,983 WARNING ❌ Lookup failed for city='gyeonggi', iso2='KR'
