2025-07-03 16:40:24,625 INFO 📍 Starting GeoNames lookup for city='icheon', country='united states'
2025-07-03 16:40:24,851 INFO 📄 Index 0 | Name: Icheon-si | fcl: P, fcode: PPL | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: , ADM4:  | Score: 72.02, Population: 196230 | Fuzzy match: 80.0
2025-07-03 16:40:24,851 INFO 📄 Index 1 | Name: Icheon-si | fcl: A, fcode: ADM2 | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: , ADM4:  | Score: 51.22, Population: 223422 | Fuzzy match: 80.0
2025-07-03 16:40:24,852 INFO 📄 Index 2 | Name: Pubal | fcl: P, fcode: PPL | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: Bubal-eup, ADM4:  | Score: 39.23, Population: 63026 | Fuzzy match: 0.0
2025-07-03 16:40:24,852 INFO 📄 Index 3 | Name: Simugol | fcl: P, fcode: PPL | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: Moga-myeon, ADM4:  | Score: 28.73, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-03 16:40:24,895 INFO 📄 Index 0 | Name: Icheon-si | fcl: P, fcode: PPL | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: , ADM4:  | Score: 72.02, Population: 196230 | Fuzzy match: 80.0
2025-07-03 16:40:24,896 INFO 📄 Index 1 | Name: Icheon-si | fcl: A, fcode: ADM2 | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: , ADM4:  | Score: 51.22, Population: 223422 | Fuzzy match: 80.0
2025-07-03 16:40:24,896 INFO 📄 Index 2 | Name: Pubal | fcl: P, fcode: PPL | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: Bubal-eup, ADM4:  | Score: 39.23, Population: 63026 | Fuzzy match: 0.0
2025-07-03 16:40:24,896 INFO 📄 Index 3 | Name: Simugol | fcl: P, fcode: PPL | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: Moga-myeon, ADM4:  | Score: 28.73, Population: 0 | Fuzzy match: 30.76923076923077
2025-07-03 16:40:24,943 INFO 📄 Index 0 | Name: Icheon-si | fcl: P, fcode: PPL | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: , ADM4:  | Score: 72.02, Population: 196230 | Fuzzy match: 80.0
2025-07-03 16:40:24,943 INFO 📄 Index 1 | Name: Icheon-si | fcl: A, fcode: ADM2 | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: , ADM4:  | Score: 51.22, Population: 223422 | Fuzzy match: 80.0
2025-07-03 16:40:24,943 INFO 📄 Index 2 | Name: Pubal | fcl: P, fcode: PPL | ADM1: Gyeonggi-do, ADM2: Icheon-si, ADM3: Bubal-eup, ADM4:  | Score: 39.23, Population: 63026 | Fuzzy match: 0.0
