2025-07-03 13:50:41,653 INFO 📍 Starting GeoNames lookup for city='namyang', country='usa'
2025-07-03 13:50:41,753 INFO 📄 Index 0 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gyeongsangnam-do, ADM2: Sacheon-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,753 INFO 📄 Index 1 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gangwon-do, ADM2: Samcheok-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,753 INFO 📄 Index 2 | Name: Namyang-eup | fcl: A, fcode: ADM3 | ADM1: Gyeonggi-do, ADM2: Hwaseong-si, ADM3: Namyang-eup, ADM4:  | Score: 27.48, Population: 42691 | Fuzzy match: 77.77777777777779
2025-07-03 13:50:41,753 INFO 📄 Index 3 | Name: Namyang-myeon | fcl: A, fcode: ADM3 | ADM1: Chungcheongnam-do, ADM2: Cheongyang-gun, ADM3: Namyang-myeon, ADM4:  | Score: 25.09, Population: 0 | Fuzzy match: 70.0
2025-07-03 13:50:41,796 INFO 📄 Index 0 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gyeongsangnam-do, ADM2: Sacheon-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,796 INFO 📄 Index 1 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gangwon-do, ADM2: Samcheok-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,796 INFO 📄 Index 2 | Name: Namyang-eup | fcl: A, fcode: ADM3 | ADM1: Gyeonggi-do, ADM2: Hwaseong-si, ADM3: Namyang-eup, ADM4:  | Score: 27.48, Population: 42691 | Fuzzy match: 77.77777777777779
2025-07-03 13:50:41,797 INFO 📄 Index 3 | Name: Namyang-myeon | fcl: A, fcode: ADM3 | ADM1: Chungcheongnam-do, ADM2: Cheongyang-gun, ADM3: Namyang-myeon, ADM4:  | Score: 25.09, Population: 0 | Fuzzy match: 70.0
2025-07-03 13:50:41,841 INFO 📄 Index 0 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gyeongsangnam-do, ADM2: Sacheon-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,841 INFO 📄 Index 1 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gangwon-do, ADM2: Samcheok-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,841 INFO 📄 Index 2 | Name: Namyang-eup | fcl: A, fcode: ADM3 | ADM1: Gyeonggi-do, ADM2: Hwaseong-si, ADM3: Namyang-eup, ADM4:  | Score: 27.48, Population: 42691 | Fuzzy match: 77.77777777777779
2025-07-03 13:50:41,841 INFO 📄 Index 3 | Name: Namyang-myeon | fcl: A, fcode: ADM3 | ADM1: Chungcheongnam-do, ADM2: Cheongyang-gun, ADM3: Namyang-myeon, ADM4:  | Score: 25.09, Population: 0 | Fuzzy match: 70.0
2025-07-03 13:50:41,885 INFO 📄 Index 0 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gyeongsangnam-do, ADM2: Sacheon-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,885 INFO 📄 Index 1 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gangwon-do, ADM2: Samcheok-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,885 INFO 📄 Index 2 | Name: Namyang-eup | fcl: A, fcode: ADM3 | ADM1: Gyeonggi-do, ADM2: Hwaseong-si, ADM3: Namyang-eup, ADM4:  | Score: 27.48, Population: 42691 | Fuzzy match: 77.77777777777779
2025-07-03 13:50:41,885 INFO 📄 Index 3 | Name: Namyang-myeon | fcl: A, fcode: ADM3 | ADM1: Chungcheongnam-do, ADM2: Cheongyang-gun, ADM3: Namyang-myeon, ADM4:  | Score: 25.09, Population: 0 | Fuzzy match: 70.0
2025-07-03 13:50:41,928 INFO 📄 Index 0 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gyeongsangnam-do, ADM2: Sacheon-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,929 INFO 📄 Index 1 | Name: Namyang-dong | fcl: A, fcode: ADM3 | ADM1: Gangwon-do, ADM2: Samcheok-si, ADM3: Namyang-dong, ADM4:  | Score: 27.48, Population: 0 | Fuzzy match: 73.6842105263158
2025-07-03 13:50:41,929 INFO 📄 Index 2 | Name: Namyang-eup | fcl: A, fcode: ADM3 | ADM1: Gyeonggi-do, ADM2: Hwaseong-si, ADM3: Namyang-eup, ADM4:  | Score: 27.48, Population: 42691 | Fuzzy match: 77.77777777777779
2025-07-03 13:50:41,929 INFO 📄 Index 3 | Name: Namyang-myeon | fcl: A, fcode: ADM3 | ADM1: Chungcheongnam-do, ADM2: Cheongyang-gun, ADM3: Namyang-myeon, ADM4:  | Score: 25.09, Population: 0 | Fuzzy match: 70.0
