2025-07-03 13:48:28,287 INFO 📍 Starting GeoNames lookup for city='seosan', country='china'
2025-07-03 13:48:28,351 INFO 📄 Index 0 | Name: Seosan City | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: , ADM4:  | Score: 63.19, Population: 74208 | Fuzzy match: 70.58823529411764
2025-07-03 13:48:28,351 INFO 📄 Index 1 | Name: Seosan-si | fcl: A, fcode: ADM2 | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: , ADM4:  | Score: 42.72, Population: 163055 | Fuzzy match: 80.0
2025-07-03 13:48:28,351 INFO 📄 Index 2 | Name: Taesal-li | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: Daesan-eup, ADM4:  | Score: 30.95, Population: 23149 | Fuzzy match: 40.0
2025-07-03 13:48:28,351 INFO 📄 Index 3 | Name: Mong-mal | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: Buseok-myeon, ADM4:  | Score: 24.58, Population: 0 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:28,395 INFO 📄 Index 0 | Name: Seosan City | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: , ADM4:  | Score: 63.19, Population: 74208 | Fuzzy match: 70.58823529411764
2025-07-03 13:48:28,395 INFO 📄 Index 1 | Name: Seosan-si | fcl: A, fcode: ADM2 | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: , ADM4:  | Score: 42.72, Population: 163055 | Fuzzy match: 80.0
2025-07-03 13:48:28,395 INFO 📄 Index 2 | Name: Taesal-li | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: Daesan-eup, ADM4:  | Score: 30.95, Population: 23149 | Fuzzy match: 40.0
2025-07-03 13:48:28,396 INFO 📄 Index 3 | Name: Mong-mal | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: Buseok-myeon, ADM4:  | Score: 24.58, Population: 0 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:28,439 INFO 📄 Index 0 | Name: Seosan City | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: , ADM4:  | Score: 63.19, Population: 74208 | Fuzzy match: 70.58823529411764
2025-07-03 13:48:28,440 INFO 📄 Index 1 | Name: Seosan-si | fcl: A, fcode: ADM2 | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: , ADM4:  | Score: 42.72, Population: 163055 | Fuzzy match: 80.0
2025-07-03 13:48:28,440 INFO 📄 Index 2 | Name: Taesal-li | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: Daesan-eup, ADM4:  | Score: 30.95, Population: 23149 | Fuzzy match: 40.0
2025-07-03 13:48:28,440 INFO 📄 Index 3 | Name: Mong-mal | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: Buseok-myeon, ADM4:  | Score: 24.58, Population: 0 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:28,481 INFO 📄 Index 0 | Name: Seosan City | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: , ADM4:  | Score: 63.19, Population: 74208 | Fuzzy match: 70.58823529411764
2025-07-03 13:48:28,481 INFO 📄 Index 1 | Name: Seosan-si | fcl: A, fcode: ADM2 | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: , ADM4:  | Score: 42.72, Population: 163055 | Fuzzy match: 80.0
2025-07-03 13:48:28,481 INFO 📄 Index 2 | Name: Taesal-li | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: Daesan-eup, ADM4:  | Score: 30.95, Population: 23149 | Fuzzy match: 40.0
2025-07-03 13:48:28,481 INFO 📄 Index 3 | Name: Mong-mal | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: Buseok-myeon, ADM4:  | Score: 24.58, Population: 0 | Fuzzy match: 28.57142857142857
2025-07-03 13:48:28,526 INFO 📄 Index 0 | Name: Seosan City | fcl: P, fcode: PPL | ADM1: Chungcheongnam-do, ADM2: Seosan-si, ADM3: , ADM4:  | Score: 63.19, Population: 74208 | Fuzzy match: 70.58823529411764
