2025-07-03 16:40:26,090 INFO 📍 Starting GeoNames lookup for city='olawa', country='united states'
2025-07-03 16:40:26,197 INFO 📄 Index 0 | Name: Oława | fcl: P, fcode: PPL | ADM1: Lower Silesia, ADM2: Oława County, ADM3: Oława, ADM4:  | Score: 52.94, Population: 33029 | Fuzzy match: 80.0
2025-07-03 16:40:26,197 INFO 📄 Index 1 | Name: Oława County | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Oława County, ADM3: , ADM4:  | Score: 46.45, Population: 76723 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:26,197 INFO 📄 Index 2 | Name: Jelcz Laskowice | fcl: P, fcode: PPL | ADM1: Lower Silesia, ADM2: Oława County, ADM3: Gmina Jelcz-Laskowice, ADM4:  | Score: 36.94, Population: 15340 | Fuzzy match: 30.000000000000004
2025-07-03 16:40:26,197 INFO 📄 Index 3 | Name: Bystrzyca | fcl: P, fcode: PPL | ADM1: Lower Silesia, ADM2: Oława County, ADM3: Oława, ADM4:  | Score: 32.22, Population: 2200 | Fuzzy match: 14.28571428571429
2025-07-03 16:40:26,243 INFO 📄 Index 0 | Name: Oława | fcl: P, fcode: PPL | ADM1: Lower Silesia, ADM2: Oława County, ADM3: Oława, ADM4:  | Score: 52.94, Population: 33029 | Fuzzy match: 80.0
2025-07-03 16:40:26,244 INFO 📄 Index 1 | Name: Oława County | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Oława County, ADM3: , ADM4:  | Score: 46.45, Population: 76723 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:26,244 INFO 📄 Index 2 | Name: Jelcz Laskowice | fcl: P, fcode: PPL | ADM1: Lower Silesia, ADM2: Oława County, ADM3: Gmina Jelcz-Laskowice, ADM4:  | Score: 36.94, Population: 15340 | Fuzzy match: 30.000000000000004
2025-07-03 16:40:26,244 INFO 📄 Index 3 | Name: Bystrzyca | fcl: P, fcode: PPL | ADM1: Lower Silesia, ADM2: Oława County, ADM3: Oława, ADM4:  | Score: 32.22, Population: 2200 | Fuzzy match: 14.28571428571429
2025-07-03 16:40:26,290 INFO 📄 Index 0 | Name: Oława | fcl: P, fcode: PPL | ADM1: Lower Silesia, ADM2: Oława County, ADM3: Oława, ADM4:  | Score: 52.94, Population: 33029 | Fuzzy match: 80.0
2025-07-03 16:40:26,290 INFO 📄 Index 1 | Name: Oława County | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Oława County, ADM3: , ADM4:  | Score: 46.45, Population: 76723 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:26,290 INFO 📄 Index 2 | Name: Jelcz Laskowice | fcl: P, fcode: PPL | ADM1: Lower Silesia, ADM2: Oława County, ADM3: Gmina Jelcz-Laskowice, ADM4:  | Score: 36.94, Population: 15340 | Fuzzy match: 30.000000000000004
