2025-07-03 13:50:43,164 INFO 📍 Starting GeoNames lookup for city='waldenburg', country='usa'
2025-07-03 13:50:43,228 INFO 📄 Index 0 | Name: Wałbrzych | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: Wałbrzych, ADM4:  | Score: 54.01, Population: 127431 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,229 INFO 📄 Index 1 | Name: Wałbrzych | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: , ADM4:  | Score: 34.13, Population: 109971 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,229 INFO 📄 Index 2 | Name: Wałbrzych County | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: , ADM4:  | Score: 33.33, Population: 55820 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:43,229 INFO 📄 Index 3 | Name: Boguszów-Gorce | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: Boguszów-Gorce, ADM4:  | Score: 28.66, Population: 16726 | Fuzzy match: 25.0
2025-07-03 13:50:43,273 INFO 📄 Index 0 | Name: Wałbrzych | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: Wałbrzych, ADM4:  | Score: 54.01, Population: 127431 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,273 INFO 📄 Index 1 | Name: Wałbrzych | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: , ADM4:  | Score: 34.13, Population: 109971 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,273 INFO 📄 Index 2 | Name: Wałbrzych County | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: , ADM4:  | Score: 33.33, Population: 55820 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:43,273 INFO 📄 Index 3 | Name: Boguszów-Gorce | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: Boguszów-Gorce, ADM4:  | Score: 28.66, Population: 16726 | Fuzzy match: 25.0
2025-07-03 13:50:43,316 INFO 📄 Index 0 | Name: Wałbrzych | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: Wałbrzych, ADM4:  | Score: 54.01, Population: 127431 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,316 INFO 📄 Index 1 | Name: Wałbrzych | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: , ADM4:  | Score: 34.13, Population: 109971 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,316 INFO 📄 Index 2 | Name: Wałbrzych County | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: , ADM4:  | Score: 33.33, Population: 55820 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:43,316 INFO 📄 Index 3 | Name: Boguszów-Gorce | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: Boguszów-Gorce, ADM4:  | Score: 28.66, Population: 16726 | Fuzzy match: 25.0
2025-07-03 13:50:43,360 INFO 📄 Index 0 | Name: Wałbrzych | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: Wałbrzych, ADM4:  | Score: 54.01, Population: 127431 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,360 INFO 📄 Index 1 | Name: Wałbrzych | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: , ADM4:  | Score: 34.13, Population: 109971 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,360 INFO 📄 Index 2 | Name: Wałbrzych County | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: , ADM4:  | Score: 33.33, Population: 55820 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:43,360 INFO 📄 Index 3 | Name: Boguszów-Gorce | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: Boguszów-Gorce, ADM4:  | Score: 28.66, Population: 16726 | Fuzzy match: 25.0
2025-07-03 13:50:43,403 INFO 📄 Index 0 | Name: Wałbrzych | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: Wałbrzych, ADM4:  | Score: 54.01, Population: 127431 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,404 INFO 📄 Index 1 | Name: Wałbrzych | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: , ADM4:  | Score: 34.13, Population: 109971 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,404 INFO 📄 Index 2 | Name: Wałbrzych County | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: , ADM4:  | Score: 33.33, Population: 55820 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:43,404 INFO 📄 Index 3 | Name: Boguszów-Gorce | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: Boguszów-Gorce, ADM4:  | Score: 28.66, Population: 16726 | Fuzzy match: 25.0
2025-07-03 13:50:43,447 INFO 📄 Index 0 | Name: Wałbrzych | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: Wałbrzych, ADM4:  | Score: 54.01, Population: 127431 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,448 INFO 📄 Index 1 | Name: Wałbrzych | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych, ADM3: , ADM4:  | Score: 34.13, Population: 109971 | Fuzzy match: 42.10526315789473
2025-07-03 13:50:43,448 INFO 📄 Index 2 | Name: Wałbrzych County | fcl: A, fcode: ADM2 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: , ADM4:  | Score: 33.33, Population: 55820 | Fuzzy match: 30.76923076923077
2025-07-03 13:50:43,448 INFO 📄 Index 3 | Name: Boguszów-Gorce | fcl: P, fcode: PPLA3 | ADM1: Lower Silesia, ADM2: Wałbrzych County, ADM3: Boguszów-Gorce, ADM4:  | Score: 28.66, Population: 16726 | Fuzzy match: 25.0
2025-07-03 13:50:43,448 WARNING ❌ No match found with fuzzy score > 80 for city: waldenburg
2025-07-03 13:50:43,448 WARNING ❌ Lookup failed for city='waldenburg', iso2='PL'
