2025-07-03 16:39:47,192 INFO 📍 Starting GeoNames lookup for city='sebes', country='romania'
2025-07-03 16:39:47,295 INFO 📄 Index 0 | Name: Municipiul Sebeş | fcl: A, fcode: ADM2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 42.50, Population: 26490 | Fuzzy match: 38.095238095238095
2025-07-03 16:39:47,296 INFO 📄 Index 1 | Name: Sebeş | fcl: P, fcode: PPLA2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 41.20, Population: 27246 | Fuzzy match: 80.0
2025-07-03 16:39:47,296 INFO 📄 Index 2 | Name: Sebeș | fcl: P, fcode: PPL | ADM1: Mureș County, ADM2: Comuna Ruşii Munţi, ADM3: , ADM4:  | Score: 26.37, Population: 156 | Fuzzy match: 80.0
2025-07-03 16:39:47,296 INFO 📄 Index 3 | Name: Răhău | fcl: P, fcode: PPL | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 20.97, Population: 920 | Fuzzy match: 0.0
2025-07-03 16:39:47,341 INFO 📄 Index 0 | Name: Municipiul Sebeş | fcl: A, fcode: ADM2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 42.50, Population: 26490 | Fuzzy match: 38.095238095238095
2025-07-03 16:39:47,341 INFO 📄 Index 1 | Name: Sebeş | fcl: P, fcode: PPLA2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 41.20, Population: 27246 | Fuzzy match: 80.0
2025-07-03 16:39:47,341 INFO 📄 Index 2 | Name: Sebeș | fcl: P, fcode: PPL | ADM1: Mureș County, ADM2: Comuna Ruşii Munţi, ADM3: , ADM4:  | Score: 26.37, Population: 156 | Fuzzy match: 80.0
2025-07-03 16:39:47,341 INFO 📄 Index 3 | Name: Răhău | fcl: P, fcode: PPL | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 20.97, Population: 920 | Fuzzy match: 0.0
2025-07-03 16:39:47,382 INFO 📄 Index 0 | Name: Municipiul Sebeş | fcl: A, fcode: ADM2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 42.50, Population: 26490 | Fuzzy match: 38.095238095238095
2025-07-03 16:39:47,382 INFO 📄 Index 1 | Name: Sebeş | fcl: P, fcode: PPLA2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 41.20, Population: 27246 | Fuzzy match: 80.0
2025-07-03 16:39:47,382 INFO 📄 Index 2 | Name: Sebeș | fcl: P, fcode: PPL | ADM1: Mureș County, ADM2: Comuna Ruşii Munţi, ADM3: , ADM4:  | Score: 26.37, Population: 156 | Fuzzy match: 80.0
2025-07-03 16:39:47,382 INFO 📄 Index 3 | Name: Răhău | fcl: P, fcode: PPL | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 20.97, Population: 920 | Fuzzy match: 0.0
2025-07-03 16:39:47,424 INFO 📄 Index 0 | Name: Municipiul Sebeş | fcl: A, fcode: ADM2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 42.50, Population: 26490 | Fuzzy match: 38.095238095238095
2025-07-03 16:39:47,424 INFO 📄 Index 1 | Name: Sebeş | fcl: P, fcode: PPLA2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 41.20, Population: 27246 | Fuzzy match: 80.0
2025-07-03 16:39:47,424 INFO 📄 Index 2 | Name: Sebeș | fcl: P, fcode: PPL | ADM1: Mureș County, ADM2: Comuna Ruşii Munţi, ADM3: , ADM4:  | Score: 26.37, Population: 156 | Fuzzy match: 80.0
2025-07-03 16:39:47,424 INFO 📄 Index 3 | Name: Răhău | fcl: P, fcode: PPL | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 20.97, Population: 920 | Fuzzy match: 0.0
2025-07-03 16:39:47,466 INFO 📄 Index 0 | Name: Municipiul Sebeş | fcl: A, fcode: ADM2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 42.50, Population: 26490 | Fuzzy match: 38.095238095238095
2025-07-03 16:39:47,466 INFO 📄 Index 1 | Name: Sebeş | fcl: P, fcode: PPLA2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 41.20, Population: 27246 | Fuzzy match: 80.0
2025-07-03 16:39:47,466 INFO 📄 Index 2 | Name: Sebeș | fcl: P, fcode: PPL | ADM1: Mureș County, ADM2: Comuna Ruşii Munţi, ADM3: , ADM4:  | Score: 26.37, Population: 156 | Fuzzy match: 80.0
2025-07-03 16:39:47,466 INFO 📄 Index 3 | Name: Răhău | fcl: P, fcode: PPL | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 20.97, Population: 920 | Fuzzy match: 0.0
2025-07-03 16:39:47,508 INFO 📄 Index 0 | Name: Municipiul Sebeş | fcl: A, fcode: ADM2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 42.50, Population: 26490 | Fuzzy match: 38.095238095238095
2025-07-03 16:39:47,508 INFO 📄 Index 1 | Name: Sebeş | fcl: P, fcode: PPLA2 | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 41.20, Population: 27246 | Fuzzy match: 80.0
2025-07-03 16:39:47,508 INFO 📄 Index 2 | Name: Sebeș | fcl: P, fcode: PPL | ADM1: Mureș County, ADM2: Comuna Ruşii Munţi, ADM3: , ADM4:  | Score: 26.37, Population: 156 | Fuzzy match: 80.0
2025-07-03 16:39:47,509 INFO 📄 Index 3 | Name: Răhău | fcl: P, fcode: PPL | ADM1: Alba County, ADM2: Municipiul Sebeş, ADM3: , ADM4:  | Score: 20.97, Population: 920 | Fuzzy match: 0.0
2025-07-03 16:39:47,509 WARNING ❌ No match found with fuzzy score > 80 for city: sebes
2025-07-03 16:39:47,509 WARNING ❌ Lookup failed for city='sebes', iso2='RO'
