2025-07-03 13:48:59,581 INFO 📍 Starting GeoNames lookup for city='göteborg', country='france'
2025-07-03 13:48:59,646 INFO 📄 Index 0 | Name: Gothenburg | fcl: P, fcode: PPLA | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 97.33, Population: 608462 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:59,646 INFO 📄 Index 1 | Name: Gothenburg Municipality | fcl: A, fcode: ADM2 | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 37.51, Population: 600559 | Fuzzy match: 38.70967741935484
2025-07-03 13:48:59,647 INFO 📄 Index 2 | Name: Majorna | fcl: P, fcode: PPLX | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 29.73, Population: 29254 | Fuzzy match: 26.66666666666667
2025-07-03 13:48:59,647 INFO 📄 Index 3 | Name: Västra Frölunda | fcl: P, fcode: PPL | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 28.91, Population: 15924 | Fuzzy match: 26.086956521739136
2025-07-03 13:48:59,692 INFO 📄 Index 0 | Name: Gothenburg | fcl: P, fcode: PPLA | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 97.33, Population: 608462 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:59,692 INFO 📄 Index 1 | Name: Gothenburg Municipality | fcl: A, fcode: ADM2 | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 37.51, Population: 600559 | Fuzzy match: 38.70967741935484
2025-07-03 13:48:59,692 INFO 📄 Index 2 | Name: Majorna | fcl: P, fcode: PPLX | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 29.73, Population: 29254 | Fuzzy match: 26.66666666666667
2025-07-03 13:48:59,692 INFO 📄 Index 3 | Name: Västra Frölunda | fcl: P, fcode: PPL | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 28.91, Population: 15924 | Fuzzy match: 26.086956521739136
2025-07-03 13:48:59,735 INFO 📄 Index 0 | Name: Gothenburg | fcl: P, fcode: PPLA | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 97.33, Population: 608462 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:59,735 INFO 📄 Index 1 | Name: Gothenburg Municipality | fcl: A, fcode: ADM2 | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 37.51, Population: 600559 | Fuzzy match: 38.70967741935484
2025-07-03 13:48:59,735 INFO 📄 Index 2 | Name: Majorna | fcl: P, fcode: PPLX | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 29.73, Population: 29254 | Fuzzy match: 26.66666666666667
2025-07-03 13:48:59,735 INFO 📄 Index 3 | Name: Västra Frölunda | fcl: P, fcode: PPL | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 28.91, Population: 15924 | Fuzzy match: 26.086956521739136
2025-07-03 13:48:59,778 INFO 📄 Index 0 | Name: Gothenburg | fcl: P, fcode: PPLA | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 97.33, Population: 608462 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:59,778 INFO 📄 Index 1 | Name: Gothenburg Municipality | fcl: A, fcode: ADM2 | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 37.51, Population: 600559 | Fuzzy match: 38.70967741935484
2025-07-03 13:48:59,778 INFO 📄 Index 2 | Name: Majorna | fcl: P, fcode: PPLX | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 29.73, Population: 29254 | Fuzzy match: 26.66666666666667
2025-07-03 13:48:59,778 INFO 📄 Index 3 | Name: Västra Frölunda | fcl: P, fcode: PPL | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 28.91, Population: 15924 | Fuzzy match: 26.086956521739136
2025-07-03 13:48:59,823 INFO 📄 Index 0 | Name: Gothenburg | fcl: P, fcode: PPLA | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 97.33, Population: 608462 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:59,823 INFO 📄 Index 1 | Name: Gothenburg Municipality | fcl: A, fcode: ADM2 | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 37.51, Population: 600559 | Fuzzy match: 38.70967741935484
2025-07-03 13:48:59,823 INFO 📄 Index 2 | Name: Majorna | fcl: P, fcode: PPLX | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 29.73, Population: 29254 | Fuzzy match: 26.66666666666667
2025-07-03 13:48:59,823 INFO 📄 Index 3 | Name: Västra Frölunda | fcl: P, fcode: PPL | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 28.91, Population: 15924 | Fuzzy match: 26.086956521739136
2025-07-03 13:48:59,867 INFO 📄 Index 0 | Name: Gothenburg | fcl: P, fcode: PPLA | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 97.33, Population: 608462 | Fuzzy match: 66.66666666666667
2025-07-03 13:48:59,867 INFO 📄 Index 1 | Name: Gothenburg Municipality | fcl: A, fcode: ADM2 | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 37.51, Population: 600559 | Fuzzy match: 38.70967741935484
2025-07-03 13:48:59,867 INFO 📄 Index 2 | Name: Majorna | fcl: P, fcode: PPLX | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 29.73, Population: 29254 | Fuzzy match: 26.66666666666667
2025-07-03 13:48:59,867 INFO 📄 Index 3 | Name: Västra Frölunda | fcl: P, fcode: PPL | ADM1: Västra Götaland, ADM2: Gothenburg Municipality, ADM3: , ADM4:  | Score: 28.91, Population: 15924 | Fuzzy match: 26.086956521739136
2025-07-03 13:48:59,867 WARNING ❌ No match found with fuzzy score > 80 for city: göteborg
2025-07-03 13:48:59,868 WARNING ❌ Lookup failed for city='göteborg', iso2='SE'
