2025-07-03 16:40:57,336 INFO 📍 Starting GeoNames lookup for city='umea', country='germany'
2025-07-03 16:40:57,473 INFO 📄 Index 0 | Name: Umeå | fcl: P, fcode: PPLA | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: , ADM4:  | Score: 125.94, Population: 130224 | Fuzzy match: 75.0
2025-07-03 16:40:57,473 INFO 📄 Index 1 | Name: Umeå Kommun | fcl: A, fcode: ADM2 | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: , ADM4:  | Score: 39.50, Population: 134249 | Fuzzy match: 40.0
2025-07-03 16:40:57,474 INFO 📄 Index 2 | Name: Röbäck | fcl: P, fcode: PPL | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: Umeå stadsförs., ADM4: Umeå | Score: 31.32, Population: 2460 | Fuzzy match: 0.0
2025-07-03 16:40:57,474 INFO 📄 Index 3 | Name: Obbola | fcl: P, fcode: PPL | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: , ADM4:  | Score: 26.86, Population: 2173 | Fuzzy match: 19.999999999999996
2025-07-03 16:40:57,523 INFO 📄 Index 0 | Name: Umeå | fcl: P, fcode: PPLA | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: , ADM4:  | Score: 125.94, Population: 130224 | Fuzzy match: 75.0
2025-07-03 16:40:57,523 INFO 📄 Index 1 | Name: Umeå Kommun | fcl: A, fcode: ADM2 | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: , ADM4:  | Score: 39.50, Population: 134249 | Fuzzy match: 40.0
2025-07-03 16:40:57,523 INFO 📄 Index 2 | Name: Röbäck | fcl: P, fcode: PPL | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: Umeå stadsförs., ADM4: Umeå | Score: 31.32, Population: 2460 | Fuzzy match: 0.0
2025-07-03 16:40:57,523 INFO 📄 Index 3 | Name: Obbola | fcl: P, fcode: PPL | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: , ADM4:  | Score: 26.86, Population: 2173 | Fuzzy match: 19.999999999999996
2025-07-03 16:40:57,568 INFO 📄 Index 0 | Name: Umeå | fcl: P, fcode: PPLA | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: , ADM4:  | Score: 125.94, Population: 130224 | Fuzzy match: 75.0
2025-07-03 16:40:57,569 INFO 📄 Index 1 | Name: Umeå Kommun | fcl: A, fcode: ADM2 | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: , ADM4:  | Score: 39.50, Population: 134249 | Fuzzy match: 40.0
2025-07-03 16:40:57,569 INFO 📄 Index 2 | Name: Röbäck | fcl: P, fcode: PPL | ADM1: Västerbotten, ADM2: Umeå Kommun, ADM3: Umeå stadsförs., ADM4: Umeå | Score: 31.32, Population: 2460 | Fuzzy match: 0.0
