2025-07-03 16:39:47,895 INFO 📍 Starting GeoNames lookup for city='jurong', country='romania'
2025-07-03 16:39:47,980 INFO 📄 Index 0 | Name: Jurong Town | fcl: P, fcode: PPL | ADM1: SG.05, ADM2: , ADM3: , ADM4:  | Score: 117.13, Population: 262730 | Fuzzy match: 70.58823529411764
2025-07-03 16:39:47,980 INFO 📄 Index 1 | Name: Jurong West | fcl: P, fcode: PPL | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 106.26, Population: 257470 | Fuzzy match: 70.58823529411764
2025-07-03 16:39:47,980 INFO 📄 Index 2 | Name: Jurong East | fcl: P, fcode: PPL | ADM1: SG.04, ADM2: , ADM3: , ADM4:  | Score: 94.77, Population: 78600 | Fuzzy match: 70.58823529411764
2025-07-03 16:39:47,980 INFO 📄 Index 3 | Name: Kampong Ulu Jurong | fcl: P, fcode: PPL | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 27.39, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:48,023 INFO 📄 Index 0 | Name: Jurong Town | fcl: P, fcode: PPL | ADM1: SG.05, ADM2: , ADM3: , ADM4:  | Score: 117.13, Population: 262730 | Fuzzy match: 70.58823529411764
2025-07-03 16:39:48,024 INFO 📄 Index 1 | Name: Jurong West | fcl: P, fcode: PPL | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 106.26, Population: 257470 | Fuzzy match: 70.58823529411764
2025-07-03 16:39:48,024 INFO 📄 Index 2 | Name: Jurong East | fcl: P, fcode: PPL | ADM1: SG.04, ADM2: , ADM3: , ADM4:  | Score: 94.77, Population: 78600 | Fuzzy match: 70.58823529411764
2025-07-03 16:39:48,024 INFO 📄 Index 3 | Name: Kampong Ulu Jurong | fcl: P, fcode: PPL | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 27.39, Population: 0 | Fuzzy match: 50.0
2025-07-03 16:39:48,069 INFO 📄 Index 0 | Name: Jurong Town | fcl: P, fcode: PPL | ADM1: SG.05, ADM2: , ADM3: , ADM4:  | Score: 117.13, Population: 262730 | Fuzzy match: 70.58823529411764
2025-07-03 16:39:48,069 INFO 📄 Index 1 | Name: Jurong West | fcl: P, fcode: PPL | ADM1: , ADM2: , ADM3: , ADM4:  | Score: 106.26, Population: 257470 | Fuzzy match: 70.58823529411764
2025-07-03 16:39:48,069 INFO 📄 Index 2 | Name: Jurong East | fcl: P, fcode: PPL | ADM1: SG.04, ADM2: , ADM3: , ADM4:  | Score: 94.77, Population: 78600 | Fuzzy match: 70.58823529411764
