2025-07-03 13:49:00,340 INFO 📍 Starting GeoNames lookup for city='ayutthaya', country='france'
2025-07-03 13:49:00,404 INFO 📄 Index 0 | Name: Phra Nakhon Si Ayutthaya | fcl: P, fcode: PPLA | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 75.18, Population: 50830 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:00,404 INFO 📄 Index 1 | Name: Phra Nakhon Si Ayutthaya Province | fcl: A, fcode: ADM1 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: , ADM3: , ADM4:  | Score: 63.73, Population: 817441 | Fuzzy match: 42.85714285714286
2025-07-03 13:49:00,404 INFO 📄 Index 2 | Name: Phra Nakhon Si Ayutthaya | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 38.83, Population: 150856 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:00,404 INFO 📄 Index 3 | Name: Wang Noi | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Wang Noi, ADM3: , ADM4:  | Score: 37.81, Population: 86342 | Fuzzy match: 11.764705882352944
2025-07-03 13:49:00,445 INFO 📄 Index 0 | Name: Phra Nakhon Si Ayutthaya | fcl: P, fcode: PPLA | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 75.18, Population: 50830 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:00,446 INFO 📄 Index 1 | Name: Phra Nakhon Si Ayutthaya Province | fcl: A, fcode: ADM1 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: , ADM3: , ADM4:  | Score: 63.73, Population: 817441 | Fuzzy match: 42.85714285714286
2025-07-03 13:49:00,446 INFO 📄 Index 2 | Name: Phra Nakhon Si Ayutthaya | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 38.83, Population: 150856 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:00,446 INFO 📄 Index 3 | Name: Wang Noi | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Wang Noi, ADM3: , ADM4:  | Score: 37.81, Population: 86342 | Fuzzy match: 11.764705882352944
2025-07-03 13:49:00,492 INFO 📄 Index 0 | Name: Phra Nakhon Si Ayutthaya | fcl: P, fcode: PPLA | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 75.18, Population: 50830 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:00,492 INFO 📄 Index 1 | Name: Phra Nakhon Si Ayutthaya Province | fcl: A, fcode: ADM1 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: , ADM3: , ADM4:  | Score: 63.73, Population: 817441 | Fuzzy match: 42.85714285714286
2025-07-03 13:49:00,492 INFO 📄 Index 2 | Name: Phra Nakhon Si Ayutthaya | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 38.83, Population: 150856 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:00,492 INFO 📄 Index 3 | Name: Wang Noi | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Wang Noi, ADM3: , ADM4:  | Score: 37.81, Population: 86342 | Fuzzy match: 11.764705882352944
2025-07-03 13:49:01,159 INFO 📄 Index 0 | Name: Phra Nakhon Si Ayutthaya | fcl: P, fcode: PPLA | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 75.18, Population: 50830 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:01,159 INFO 📄 Index 1 | Name: Phra Nakhon Si Ayutthaya Province | fcl: A, fcode: ADM1 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: , ADM3: , ADM4:  | Score: 63.73, Population: 817441 | Fuzzy match: 42.85714285714286
2025-07-03 13:49:01,159 INFO 📄 Index 2 | Name: Phra Nakhon Si Ayutthaya | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 38.83, Population: 150856 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:01,159 INFO 📄 Index 3 | Name: Wang Noi | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Wang Noi, ADM3: , ADM4:  | Score: 37.81, Population: 86342 | Fuzzy match: 11.764705882352944
2025-07-03 13:49:01,203 INFO 📄 Index 0 | Name: Phra Nakhon Si Ayutthaya | fcl: P, fcode: PPLA | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 75.18, Population: 50830 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:01,203 INFO 📄 Index 1 | Name: Phra Nakhon Si Ayutthaya Province | fcl: A, fcode: ADM1 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: , ADM3: , ADM4:  | Score: 63.73, Population: 817441 | Fuzzy match: 42.85714285714286
2025-07-03 13:49:01,203 INFO 📄 Index 2 | Name: Phra Nakhon Si Ayutthaya | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 38.83, Population: 150856 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:01,203 INFO 📄 Index 3 | Name: Wang Noi | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Wang Noi, ADM3: , ADM4:  | Score: 37.81, Population: 86342 | Fuzzy match: 11.764705882352944
2025-07-03 13:49:01,248 INFO 📄 Index 0 | Name: Phra Nakhon Si Ayutthaya | fcl: P, fcode: PPLA | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 75.18, Population: 50830 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:01,248 INFO 📄 Index 1 | Name: Phra Nakhon Si Ayutthaya Province | fcl: A, fcode: ADM1 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: , ADM3: , ADM4:  | Score: 63.73, Population: 817441 | Fuzzy match: 42.85714285714286
2025-07-03 13:49:01,248 INFO 📄 Index 2 | Name: Phra Nakhon Si Ayutthaya | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Phra Nakhon Si Ayutthaya, ADM3: , ADM4:  | Score: 38.83, Population: 150856 | Fuzzy match: 54.54545454545454
2025-07-03 13:49:01,248 INFO 📄 Index 3 | Name: Wang Noi | fcl: A, fcode: ADM2 | ADM1: Phra Nakhon Si Ayutthaya, ADM2: Wang Noi, ADM3: , ADM4:  | Score: 37.81, Population: 86342 | Fuzzy match: 11.764705882352944
2025-07-03 13:49:01,249 WARNING ❌ No match found with fuzzy score > 80 for city: ayutthaya
2025-07-03 13:49:01,249 WARNING ❌ Lookup failed for city='ayutthaya', iso2='TH'
