2025-07-03 16:40:28,032 INFO 📍 Starting GeoNames lookup for city='chonburi', country='united states'
2025-07-03 16:40:28,220 INFO 📄 Index 0 | Name: Chon Buri | fcl: P, fcode: PPLA | ADM1: Chon Buri, ADM2: Mueang Chon Buri, ADM3: , ADM4:  | Score: 112.37, Population: 219164 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,221 INFO 📄 Index 1 | Name: Si Racha | fcl: P, fcode: PPLA2 | ADM1: Chon Buri, ADM2: Si Racha, ADM3: , ADM4:  | Score: 82.70, Population: 178916 | Fuzzy match: 37.5
2025-07-03 16:40:28,221 INFO 📄 Index 2 | Name: Chon Buri | fcl: A, fcode: ADM1 | ADM1: Chon Buri, ADM2: , ADM3: , ADM4:  | Score: 63.98, Population: 1535445 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,221 INFO 📄 Index 3 | Name: Pattaya | fcl: P, fcode: PPL | ADM1: Chon Buri, ADM2: Bang Lamung, ADM3: , ADM4:  | Score: 57.89, Population: 119532 | Fuzzy match: 0.0
2025-07-03 16:40:28,264 INFO 📄 Index 0 | Name: Chon Buri | fcl: P, fcode: PPLA | ADM1: Chon Buri, ADM2: Mueang Chon Buri, ADM3: , ADM4:  | Score: 112.37, Population: 219164 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,264 INFO 📄 Index 1 | Name: Si Racha | fcl: P, fcode: PPLA2 | ADM1: Chon Buri, ADM2: Si Racha, ADM3: , ADM4:  | Score: 82.70, Population: 178916 | Fuzzy match: 37.5
2025-07-03 16:40:28,264 INFO 📄 Index 2 | Name: Chon Buri | fcl: A, fcode: ADM1 | ADM1: Chon Buri, ADM2: , ADM3: , ADM4:  | Score: 63.98, Population: 1535445 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,264 INFO 📄 Index 3 | Name: Pattaya | fcl: P, fcode: PPL | ADM1: Chon Buri, ADM2: Bang Lamung, ADM3: , ADM4:  | Score: 57.89, Population: 119532 | Fuzzy match: 0.0
2025-07-03 16:40:28,306 INFO 📄 Index 0 | Name: Chon Buri | fcl: P, fcode: PPLA | ADM1: Chon Buri, ADM2: Mueang Chon Buri, ADM3: , ADM4:  | Score: 112.37, Population: 219164 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,307 INFO 📄 Index 1 | Name: Si Racha | fcl: P, fcode: PPLA2 | ADM1: Chon Buri, ADM2: Si Racha, ADM3: , ADM4:  | Score: 82.70, Population: 178916 | Fuzzy match: 37.5
2025-07-03 16:40:28,307 INFO 📄 Index 2 | Name: Chon Buri | fcl: A, fcode: ADM1 | ADM1: Chon Buri, ADM2: , ADM3: , ADM4:  | Score: 63.98, Population: 1535445 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,307 INFO 📄 Index 3 | Name: Pattaya | fcl: P, fcode: PPL | ADM1: Chon Buri, ADM2: Bang Lamung, ADM3: , ADM4:  | Score: 57.89, Population: 119532 | Fuzzy match: 0.0
2025-07-03 16:40:28,354 INFO 📄 Index 0 | Name: Chon Buri | fcl: P, fcode: PPLA | ADM1: Chon Buri, ADM2: Mueang Chon Buri, ADM3: , ADM4:  | Score: 112.37, Population: 219164 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,354 INFO 📄 Index 1 | Name: Si Racha | fcl: P, fcode: PPLA2 | ADM1: Chon Buri, ADM2: Si Racha, ADM3: , ADM4:  | Score: 82.70, Population: 178916 | Fuzzy match: 37.5
2025-07-03 16:40:28,354 INFO 📄 Index 2 | Name: Chon Buri | fcl: A, fcode: ADM1 | ADM1: Chon Buri, ADM2: , ADM3: , ADM4:  | Score: 63.98, Population: 1535445 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,354 INFO 📄 Index 3 | Name: Pattaya | fcl: P, fcode: PPL | ADM1: Chon Buri, ADM2: Bang Lamung, ADM3: , ADM4:  | Score: 57.89, Population: 119532 | Fuzzy match: 0.0
2025-07-03 16:40:28,397 INFO 📄 Index 0 | Name: Chon Buri | fcl: P, fcode: PPLA | ADM1: Chon Buri, ADM2: Mueang Chon Buri, ADM3: , ADM4:  | Score: 112.37, Population: 219164 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,397 INFO 📄 Index 1 | Name: Si Racha | fcl: P, fcode: PPLA2 | ADM1: Chon Buri, ADM2: Si Racha, ADM3: , ADM4:  | Score: 82.70, Population: 178916 | Fuzzy match: 37.5
2025-07-03 16:40:28,397 INFO 📄 Index 2 | Name: Chon Buri | fcl: A, fcode: ADM1 | ADM1: Chon Buri, ADM2: , ADM3: , ADM4:  | Score: 63.98, Population: 1535445 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,397 INFO 📄 Index 3 | Name: Pattaya | fcl: P, fcode: PPL | ADM1: Chon Buri, ADM2: Bang Lamung, ADM3: , ADM4:  | Score: 57.89, Population: 119532 | Fuzzy match: 0.0
2025-07-03 16:40:28,439 INFO 📄 Index 0 | Name: Chon Buri | fcl: P, fcode: PPLA | ADM1: Chon Buri, ADM2: Mueang Chon Buri, ADM3: , ADM4:  | Score: 112.37, Population: 219164 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,439 INFO 📄 Index 1 | Name: Si Racha | fcl: P, fcode: PPLA2 | ADM1: Chon Buri, ADM2: Si Racha, ADM3: , ADM4:  | Score: 82.70, Population: 178916 | Fuzzy match: 37.5
2025-07-03 16:40:28,439 INFO 📄 Index 2 | Name: Chon Buri | fcl: A, fcode: ADM1 | ADM1: Chon Buri, ADM2: , ADM3: , ADM4:  | Score: 63.98, Population: 1535445 | Fuzzy match: 47.05882352941176
2025-07-03 16:40:28,439 INFO 📄 Index 3 | Name: Pattaya | fcl: P, fcode: PPL | ADM1: Chon Buri, ADM2: Bang Lamung, ADM3: , ADM4:  | Score: 57.89, Population: 119532 | Fuzzy match: 0.0
2025-07-03 16:40:28,439 WARNING ❌ No match found with fuzzy score > 80 for city: chonburi
2025-07-03 16:40:28,440 WARNING ❌ Lookup failed for city='chonburi', iso2='TH'
