2025-07-03 12:13:49,413 INFO 📍 Starting GeoNames lookup for city='silicon valley', country='china'
2025-07-03 12:13:49,465 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 29.41, Population: 864816 | Fuzzy match: 37.03703703703704
2025-07-03 12:13:49,465 INFO 📄 Index 1 | Name: San Jose | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 29.41, Population: 1026908 | Fuzzy match: 27.27272727272727
2025-07-03 12:13:49,465 INFO 📄 Index 2 | Name: Sunnyvale | fcl: P, fcode: PPL | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 25.85, Population: 155805 | Fuzzy match: 52.17391304347826
2025-07-03 12:13:49,465 INFO 📄 Index 3 | Name: San Mateo | fcl: P, fcode: PPL | ADM1: California, ADM2: San Mateo, ADM3: , ADM4:  | Score: 25.85, Population: 103536 | Fuzzy match: 26.086956521739136
2025-07-03 12:13:49,518 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 29.41, Population: 864816 | Fuzzy match: 37.03703703703704
2025-07-03 12:13:49,519 INFO 📄 Index 1 | Name: San Jose | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 29.41, Population: 1026908 | Fuzzy match: 27.27272727272727
2025-07-03 12:13:49,519 INFO 📄 Index 2 | Name: Sunnyvale | fcl: P, fcode: PPL | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 25.85, Population: 155805 | Fuzzy match: 52.17391304347826
2025-07-03 12:13:49,519 INFO 📄 Index 3 | Name: San Mateo | fcl: P, fcode: PPL | ADM1: California, ADM2: San Mateo, ADM3: , ADM4:  | Score: 25.85, Population: 103536 | Fuzzy match: 26.086956521739136
2025-07-03 12:13:49,574 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 29.41, Population: 864816 | Fuzzy match: 37.03703703703704
2025-07-03 12:13:49,575 INFO 📄 Index 1 | Name: San Jose | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 29.41, Population: 1026908 | Fuzzy match: 27.27272727272727
2025-07-03 12:13:49,575 INFO 📄 Index 2 | Name: Sunnyvale | fcl: P, fcode: PPL | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 25.85, Population: 155805 | Fuzzy match: 52.17391304347826
2025-07-03 12:13:49,575 INFO 📄 Index 3 | Name: San Mateo | fcl: P, fcode: PPL | ADM1: California, ADM2: San Mateo, ADM3: , ADM4:  | Score: 25.85, Population: 103536 | Fuzzy match: 26.086956521739136
2025-07-03 12:13:49,645 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 29.41, Population: 864816 | Fuzzy match: 37.03703703703704
2025-07-03 12:13:49,645 INFO 📄 Index 1 | Name: San Jose | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 29.41, Population: 1026908 | Fuzzy match: 27.27272727272727
2025-07-03 12:13:49,645 INFO 📄 Index 2 | Name: Sunnyvale | fcl: P, fcode: PPL | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 25.85, Population: 155805 | Fuzzy match: 52.17391304347826
2025-07-03 12:13:49,645 INFO 📄 Index 3 | Name: San Mateo | fcl: P, fcode: PPL | ADM1: California, ADM2: San Mateo, ADM3: , ADM4:  | Score: 25.85, Population: 103536 | Fuzzy match: 26.086956521739136
2025-07-03 12:13:49,697 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 29.41, Population: 864816 | Fuzzy match: 37.03703703703704
2025-07-03 12:13:49,697 INFO 📄 Index 1 | Name: San Jose | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 29.41, Population: 1026908 | Fuzzy match: 27.27272727272727
2025-07-03 12:13:49,697 INFO 📄 Index 2 | Name: Sunnyvale | fcl: P, fcode: PPL | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 25.85, Population: 155805 | Fuzzy match: 52.17391304347826
2025-07-03 12:13:49,697 INFO 📄 Index 3 | Name: San Mateo | fcl: P, fcode: PPL | ADM1: California, ADM2: San Mateo, ADM3: , ADM4:  | Score: 25.85, Population: 103536 | Fuzzy match: 26.086956521739136
2025-07-03 12:13:49,748 INFO 📄 Index 0 | Name: San Francisco | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: San Francisco County, ADM3: , ADM4:  | Score: 29.41, Population: 864816 | Fuzzy match: 37.03703703703704
2025-07-03 12:13:49,749 INFO 📄 Index 1 | Name: San Jose | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 29.41, Population: 1026908 | Fuzzy match: 27.27272727272727
2025-07-03 12:13:49,749 INFO 📄 Index 2 | Name: Sunnyvale | fcl: P, fcode: PPL | ADM1: California, ADM2: Santa Clara, ADM3: , ADM4:  | Score: 25.85, Population: 155805 | Fuzzy match: 52.17391304347826
2025-07-03 12:13:49,749 INFO 📄 Index 3 | Name: San Mateo | fcl: P, fcode: PPL | ADM1: California, ADM2: San Mateo, ADM3: , ADM4:  | Score: 25.85, Population: 103536 | Fuzzy match: 26.086956521739136
2025-07-03 12:13:49,749 WARNING ❌ No match found with fuzzy score > 80 for city: silicon valley
2025-07-03 12:13:49,749 WARNING ❌ Lookup failed for city='silicon valley', iso2='US'
