2025-07-03 16:42:33,913 INFO 📍 Starting GeoNames lookup for city='alameda', country='germany'
2025-07-03 16:42:34,007 INFO 📄 Index 0 | Name: Fremont | fcl: P, fcode: PPL | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 56.85, Population: 232206 | Fuzzy match: 14.28571428571429
2025-07-03 16:42:34,007 INFO 📄 Index 1 | Name: Hayward | fcl: P, fcode: PPL | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 56.85, Population: 158289 | Fuzzy match: 42.85714285714286
2025-07-03 16:42:34,007 INFO 📄 Index 2 | Name: Oakland | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 56.85, Population: 419267 | Fuzzy match: 57.14285714285714
2025-07-03 16:42:34,007 INFO 📄 Index 3 | Name: Berkeley | fcl: P, fcode: PPL | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 51.99, Population: 120972 | Fuzzy match: 26.66666666666667
2025-07-03 16:42:34,075 INFO 📄 Index 0 | Name: Fremont | fcl: P, fcode: PPL | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 56.85, Population: 232206 | Fuzzy match: 14.28571428571429
2025-07-03 16:42:34,075 INFO 📄 Index 1 | Name: Hayward | fcl: P, fcode: PPL | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 56.85, Population: 158289 | Fuzzy match: 42.85714285714286
2025-07-03 16:42:34,075 INFO 📄 Index 2 | Name: Oakland | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 56.85, Population: 419267 | Fuzzy match: 57.14285714285714
2025-07-03 16:42:34,075 INFO 📄 Index 3 | Name: Berkeley | fcl: P, fcode: PPL | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 51.99, Population: 120972 | Fuzzy match: 26.66666666666667
2025-07-03 16:42:34,144 INFO 📄 Index 0 | Name: Fremont | fcl: P, fcode: PPL | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 56.85, Population: 232206 | Fuzzy match: 14.28571428571429
2025-07-03 16:42:34,144 INFO 📄 Index 1 | Name: Hayward | fcl: P, fcode: PPL | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 56.85, Population: 158289 | Fuzzy match: 42.85714285714286
2025-07-03 16:42:34,144 INFO 📄 Index 2 | Name: Oakland | fcl: P, fcode: PPLA2 | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 56.85, Population: 419267 | Fuzzy match: 57.14285714285714
2025-07-03 16:42:34,144 INFO 📄 Index 3 | Name: Berkeley | fcl: P, fcode: PPL | ADM1: California, ADM2: Alameda, ADM3: , ADM4:  | Score: 51.99, Population: 120972 | Fuzzy match: 26.66666666666667
