2025-07-04 01:15:50,751 INFO 📍 Starting GeoNames lookup for city='bay_city', country='germany'
2025-07-04 01:15:50,799 INFO 📄 Index 0 | Name: Village of Bay City | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Pierce, ADM3: Village of Bay City, ADM4:  | Score: 8.69, Population: 500 | Fuzzy match: 51.85185185185186
2025-07-04 01:15:50,799 INFO 📄 Index 1 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Michigan, ADM2: Bay, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 34932 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,799 INFO 📄 Index 2 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Oregon, ADM2: Tillamook, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,799 INFO 📄 Index 3 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Texas, ADM2: Matagorda, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,849 INFO 📄 Index 0 | Name: Village of Bay City | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Pierce, ADM3: Village of Bay City, ADM4:  | Score: 8.69, Population: 500 | Fuzzy match: 51.85185185185186
2025-07-04 01:15:50,849 INFO 📄 Index 1 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Michigan, ADM2: Bay, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 34932 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,849 INFO 📄 Index 2 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Oregon, ADM2: Tillamook, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,849 INFO 📄 Index 3 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Texas, ADM2: Matagorda, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,899 INFO 📄 Index 0 | Name: Village of Bay City | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Pierce, ADM3: Village of Bay City, ADM4:  | Score: 8.69, Population: 500 | Fuzzy match: 51.85185185185186
2025-07-04 01:15:50,899 INFO 📄 Index 1 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Michigan, ADM2: Bay, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 34932 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,899 INFO 📄 Index 2 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Oregon, ADM2: Tillamook, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,899 INFO 📄 Index 3 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Texas, ADM2: Matagorda, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,949 INFO 📄 Index 0 | Name: Village of Bay City | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Pierce, ADM3: Village of Bay City, ADM4:  | Score: 8.69, Population: 500 | Fuzzy match: 51.85185185185186
2025-07-04 01:15:50,949 INFO 📄 Index 1 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Michigan, ADM2: Bay, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 34932 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,949 INFO 📄 Index 2 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Oregon, ADM2: Tillamook, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,949 INFO 📄 Index 3 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Texas, ADM2: Matagorda, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,999 INFO 📄 Index 0 | Name: Village of Bay City | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Pierce, ADM3: Village of Bay City, ADM4:  | Score: 8.69, Population: 500 | Fuzzy match: 51.85185185185186
2025-07-04 01:15:50,999 INFO 📄 Index 1 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Michigan, ADM2: Bay, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 34932 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,999 INFO 📄 Index 2 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Oregon, ADM2: Tillamook, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:50,999 INFO 📄 Index 3 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Texas, ADM2: Matagorda, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:51,049 INFO 📄 Index 0 | Name: Village of Bay City | fcl: A, fcode: ADM3 | ADM1: Wisconsin, ADM2: Pierce, ADM3: Village of Bay City, ADM4:  | Score: 8.69, Population: 500 | Fuzzy match: 51.85185185185186
2025-07-04 01:15:51,049 INFO 📄 Index 1 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Michigan, ADM2: Bay, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 34932 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:51,049 INFO 📄 Index 2 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Oregon, ADM2: Tillamook, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:51,049 INFO 📄 Index 3 | Name: City of Bay City | fcl: A, fcode: ADM3 | ADM1: Texas, ADM2: Matagorda, ADM3: City of Bay City, ADM4:  | Score: 8.69, Population: 0 | Fuzzy match: 58.33333333333333
2025-07-04 01:15:51,049 WARNING ❌ No match found with fuzzy score > 80 for city: bay_city
2025-07-04 01:15:51,049 WARNING ❌ Lookup failed for city='bay_city', iso2='US'
